ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,24.263,CIN,@,NWE,L 24-38,*,7,5,82,16.40,0,71.4%,11.71,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2010,2010-09-19,2,24.270,CIN,,BAL,W 15-10,*,6,5,42,8.40,0,83.3%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2010,2010-09-26,3,24.277,CIN,@,CAR,W 20-7,,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0
4,2010,2010-10-03,4,24.284,CIN,@,CLE,L 20-23,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,2010-10-24,6,24.305,CIN,@,ATL,L 32-39,,6,6,131,21.83,1,100.0%,21.83,0,0,,0,0,0,,0,1,6,0.0,1,0
6,2010,2010-10-31,7,24.312,CIN,,MIA,L 14-22,,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2010,2010-11-08,8,24.320,CIN,,PIT,L 21-27,,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2010,2010-11-14,9,24.326,CIN,@,IND,L 17-23,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2010,2010-11-21,10,24.333,CIN,,BUF,L 31-49,,9,5,71,14.20,0,55.6%,7.89,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2010,2010-11-25,11,24.337,CIN,@,NYJ,L 10-26,,8,5,38,7.60,1,62.5%,4.75,0,0,,0,0,0,,0,1,6,0.0,0,0
11,2010,2010-12-05,12,24.347,CIN,,NOR,L 30-34,,4,4,25,6.25,0,100.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2010,2010-12-12,13,24.354,CIN,@,PIT,L 7-23,*,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2010,2010-12-19,14,24.361,CIN,,CLE,W 19-17,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2010,2010-12-26,15,25.003,CIN,,SDG,W 34-20,,2,1,3,3.00,1,50.0%,1.50,0,0,,0,0,0,,0,1,6,0.0,0,0
15,2010,2011-01-02,16,25.010,CIN,@,BAL,L 7-13,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2011,2011-09-11,1,25.262,CIN,@,CLE,W 27-17,,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2011,2011-09-18,2,25.269,CIN,@,DEN,L 22-24,,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2012,2012-09-23,3,26.275,TAM,@,DAL,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,3,10,3.33,0,0,0,0.0,0,0
19,2012,2012-11-25,11,26.338,JAX,,TEN,W 24-19,,1,1,24,24.00,0,100.0%,24.00,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
20,2012,2012-12-02,12,26.345,JAX,@,BUF,L 18-34,,8,3,19,6.33,0,37.5%,2.38,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2012,2012-12-09,13,26.352,JAX,,NYJ,L 10-17,,7,5,55,11.00,0,71.4%,7.86,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2012,2012-12-16,14,26.359,JAX,@,MIA,L 3-24,,4,2,13,6.50,0,50.0%,3.25,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
23,2012,2012-12-23,15,27.000,JAX,,NWE,L 16-23,*,10,5,82,16.40,0,50.0%,8.20,0,0,,0,4,36,9.00,0,0,0,0.0,0,0
24,2012,2012-12-30,16,27.007,JAX,@,TEN,L 20-38,*,9,7,51,7.29,1,77.8%,5.67,6,117,19.50,0,4,25,6.25,0,1,6,0.0,0,0
