ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.184,DET,,ATL,W 28-17,,,,,,,,,
2,1997,1997-09-07,2,23.191,DET,,TAM,L 17-24,,,,,,,,,
3,1997,1997-09-14,3,23.198,DET,@,CHI,W 32-7,,0,0,,0,1.0,0,0,0
4,1997,1997-09-21,4,23.205,DET,@,NOR,L 17-35,,,,,,,,,
5,1997,1997-09-28,5,23.212,DET,,GNB,W 26-15,,0,0,,0,1.0,0,0,0
6,1997,1997-10-05,6,23.219,DET,@,BUF,L 13-22,,,,,,,,,
7,1997,1997-10-12,7,23.226,DET,@,TAM,W 27-9,,,,,,,,,
8,1997,1997-11-02,9,23.247,DET,@,GNB,L 10-20,,,,,,,,,
9,1997,1997-11-09,10,23.254,DET,@,WAS,L 7-30,,,,,,,,,
10,1997,1997-11-16,11,23.261,DET,,MIN,W 38-15,,,,,,,,,
11,1997,1997-11-23,12,23.268,DET,,IND,W 32-10,,0,0,,0,0.0,1,29,0
12,1997,1997-11-27,13,23.272,DET,,CHI,W 55-20,,,,,,,,,
13,1997,1997-12-07,14,23.282,DET,@,MIA,L 30-33,,,,,,,,,
14,1997,1997-12-14,15,23.289,DET,@,MIN,W 14-13,,,,,,,,,
15,1997,1997-12-21,16,23.296,DET,,NYJ,W 13-10,,,,,,,,,
16,1998,1998-09-06,1,24.190,DET,@,GNB,L 19-38,,,,,,,,,
17,1998,1998-09-13,2,24.197,DET,,CIN,L 28-34,,,,,,,,,
18,1998,1998-09-20,3,24.204,DET,@,MIN,L 6-29,,,,,,,,,
19,1998,1998-09-28,4,24.212,DET,,TAM,W 27-6,,,,,,,,,
20,1998,1998-10-04,5,24.218,DET,@,CHI,L 27-31,,1,16,16.00,0,1.0,0,0,0
21,1998,1998-10-15,6,24.229,DET,,GNB,W 27-20,,1,-4,-4.00,0,0.0,0,0,0
22,1998,1998-10-25,7,24.239,DET,,MIN,L 13-34,,,,,,,,,
23,1998,1998-11-01,8,24.246,DET,,ARI,L 15-17,,0,0,,0,1.0,0,0,0
24,1998,1998-11-08,9,24.253,DET,@,PHI,L 9-10,,,,,,,,,
25,1998,1998-11-15,10,24.260,DET,,CHI,W 26-3,,0,0,,0,1.0,0,0,0
26,1998,1998-11-22,11,24.267,DET,@,TAM,W 28-25,,,,,,,,,
27,1998,1998-11-26,12,24.271,DET,,PIT,W 19-16,,,,,,,,,
28,1998,1998-12-06,13,24.281,DET,@,JAX,L 22-37,,,,,,,,,
29,1998,1998-12-14,14,24.289,DET,@,SFO,L 13-35,,,,,,,,,
30,1998,1998-12-20,15,24.295,DET,,ATL,L 17-24,,,,,,,,,
31,1999,1999-10-31,7,25.245,DET,,TAM,W 20-3,,,,,,,,,
