ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1979,1979-09-02,1,23.203,BAL,@,KAN,L 0-14,1,3,3.00,0,0,0,,0,0,0,,0
2,1979,1979-09-09,2,23.210,BAL,,TAM,L 26-29,6,1,0.17,0,2,-3,-1.50,0,2,39,19.50,0
3,1979,1979-09-16,3,23.217,BAL,@,CLE,L 10-13,,,,,,,,,,,,
4,1979,1979-10-07,6,23.238,BAL,,NYJ,W 10-8,0,0,,0,0,0,,0,1,20,20.00,0
5,1979,1979-10-14,7,23.245,BAL,,HOU,L 16-28,,,,,,,,,,,,
6,1979,1979-10-21,8,23.252,BAL,@,BUF,W 14-13,0,0,,0,0,0,,0,1,21,21.00,0
7,1979,1979-10-28,9,23.259,BAL,,NWE,W 31-26,,,,,,,,,,,,
8,1979,1979-11-04,10,23.266,BAL,,CIN,W 38-28,,,,,,,,,,,,
9,1979,1979-11-11,11,23.273,BAL,@,MIA,L 0-19,0,0,,0,0,0,,0,3,55,18.33,0
10,1979,1979-11-18,12,23.280,BAL,@,NWE,L 21-50,0,0,,0,1,12,12.00,0,1,0,0.00,0
11,1979,1979-12-16,16,23.308,BAL,@,NYG,W 31-7,6,37,6.17,0,0,0,,0,0,0,,0
12,1980,1980-09-07,1,24.209,BAL,@,NYJ,W 17-14,0,0,,0,0,0,,0,2,36,18.00,0
13,1980,1980-09-14,2,24.216,BAL,,PIT,L 17-20,0,0,,0,0,0,,0,1,19,19.00,0
14,1980,1980-09-21,3,24.223,BAL,@,HOU,L 16-21,0,0,,0,1,9,9.00,0,0,0,,0
