ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
53,2017,2017-11-06,8,27.132,DET,@,GNB,W 30-17,,0,0,,0,0,0,0.0,3,0,0,0,0
54,2017,2017-11-12,9,27.138,DET,,CLE,W 38-24,,0,0,,0,0,0,0.0,1,1,0,0,0
55,2017,2017-11-19,10,27.145,DET,@,CHI,W 27-24,,0,0,,0,1,6,0.0,0,1,0,0,0
56,2017,2017-11-23,11,27.149,DET,,MIN,L 23-30,,0,0,,0,0,0,0.0,6,0,0,0,0
57,2017,2017-12-03,12,27.159,DET,@,BAL,L 20-44,,0,0,,0,0,0,0.0,1,0,0,0,0
58,2017,2017-12-10,13,27.166,DET,@,TAM,W 24-21,,0,0,,0,0,0,0.5,1,1,0,0,0
59,2017,2017-12-16,14,27.172,DET,,CHI,W 20-10,,0,0,,0,0,0,0.0,5,0,0,0,0
60,2017,2017-12-24,15,27.180,DET,@,CIN,L 17-26,,0,0,,0,0,0,0.0,1,0,0,0,0
61,2017,2017-12-31,16,27.187,DET,,GNB,W 35-11,*,0,0,,0,0,0,0.0,3,0,0,0,0
62,2018,2018-09-09,1,28.074,JAX,@,NYG,W 20-15,,0,0,,0,0,0,0.0,3,1,0,0,0
63,2018,2018-09-16,2,28.081,JAX,,NWE,W 31-20,,0,0,,0,0,0,1.0,4,0,0,0,0
