ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2002,2002-09-08,1,22.017,NOR,@,TAM,W 26-20,*,,,,,,,,
2,2002,2002-09-15,2,22.024,NOR,,GNB,W 35-20,,,,,,,,,
3,2002,2002-11-10,9,22.080,NOR,@,CAR,W 34-24,,,,,,,,,
4,2002,2002-11-17,10,22.087,NOR,@,ATL,L 17-24,,,,,,,,,
5,2002,2002-11-24,11,22.094,NOR,,CLE,L 15-24,,,,,,,,,
6,2002,2002-12-01,12,22.101,NOR,,TAM,W 23-20,,,,,,,,,
7,2002,2002-12-08,13,22.108,NOR,@,BAL,W 37-25,,,,,,,,,
8,2002,2002-12-15,14,22.115,NOR,,MIN,L 31-32,,,,,,,,,
9,2002,2002-12-22,15,22.122,NOR,@,CIN,L 13-20,,,,,,,,,
10,2002,2002-12-29,16,22.129,NOR,,CAR,L 6-10,,0,0,,0,1,0,0.00,0
11,2003,2003-09-07,1,23.016,NOR,@,SEA,L 10-27,,,,,,,,,
12,2003,2003-09-14,2,23.023,NOR,,HOU,W 31-10,,,,,,,,,
13,2003,2003-09-21,3,23.030,NOR,@,TEN,L 12-27,,,,,,,,,
14,2003,2003-09-28,4,23.037,NOR,,IND,L 21-55,,,,,,,,,
15,2003,2003-10-05,5,23.044,NOR,@,CAR,L 13-19,,,,,,,,,
16,2003,2003-11-16,10,23.086,NOR,,ATL,W 23-20,,,,,,,,,
17,2003,2003-11-23,11,23.093,NOR,@,PHI,L 20-33,,3,57,19.00,0,0,0,,0
18,2003,2003-11-30,12,23.100,NOR,@,WAS,W 24-20,,2,71,35.50,0,2,22,11.00,0
19,2003,2003-12-07,13,23.107,NOR,,TAM,L 7-14,,,,,,,,,
20,2003,2003-12-14,14,23.114,NOR,,NYG,W 45-7,,,,,,,,,
21,2003,2003-12-21,15,23.121,NOR,@,JAX,L 19-20,,,,,,,,,
22,2003,2003-12-28,16,23.128,NOR,,DAL,W 13-7,,,,,,,,,
