ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1960,1960-09-10,1,23.021,LAC,,DTX,W 21-20,1,12,12.00,0,0,0
2,1960,1960-09-18,2,23.029,LAC,@,HOU,L 28-38,1,12,12.00,0,0,0
3,1960,1960-10-02,4,23.043,LAC,@,BUF,W 24-10,1,11,11.00,1,1,6
4,1960,1960-10-16,6,23.057,LAC,@,DEN,W 23-19,2,11,5.50,0,0,0
5,1960,1960-10-28,7,23.069,LAC,@,BOS,W 45-16,4,43,10.75,0,0,0
6,1960,1960-11-04,8,23.076,LAC,@,NYT,W 21-7,2,70,35.00,0,0,0
7,1960,1960-11-13,9,23.085,LAC,,HOU,W 24-21,7,105,15.00,0,0,0
8,1960,1960-11-20,10,23.092,LAC,,BUF,L 3-32,3,53,17.67,0,0,0
9,1960,1960-11-27,11,23.099,LAC,,OAK,W 52-28,5,81,16.20,0,0,0
10,1960,1960-12-04,12,23.106,LAC,@,OAK,W 41-17,6,123,20.50,0,0,0
11,1960,1960-12-10,13,23.112,LAC,,DEN,W 41-33,3,49,16.33,0,0,0
12,1960,1960-12-18,14,23.120,LAC,,NYT,W 50-43,5,92,18.40,0,0,0
13,1961,1961-09-10,1,24.021,SDG,@,DTX,W 26-10,6,67,11.17,0,0,0
14,1961,1961-09-17,2,24.028,SDG,,OAK,W 44-0,3,33,11.00,0,0,0
15,1961,1961-09-24,3,24.035,SDG,,HOU,W 34-24,3,27,9.00,1,1,6
16,1961,1961-09-30,4,24.041,SDG,@,BUF,W 19-11,1,8,8.00,0,0,0
17,1961,1961-10-07,5,24.048,SDG,@,BOS,W 38-27,3,160,53.33,1,1,6
18,1961,1961-10-15,6,24.056,SDG,@,NYT,W 25-10,3,46,15.33,0,0,0
19,1961,1961-10-22,7,24.063,SDG,@,OAK,W 41-10,2,24,12.00,0,0,0
20,1961,1961-10-29,8,24.070,SDG,,DEN,W 37-0,4,57,14.25,0,0,0
21,1961,1961-11-05,9,24.077,SDG,,NYT,W 48-13,4,71,17.75,0,0,0
22,1961,1961-11-12,10,24.084,SDG,@,DEN,W 19-16,3,51,17.00,0,0,0
23,1961,1961-11-19,11,24.091,SDG,,DTX,W 24-14,7,169,24.14,1,1,6
24,1961,1961-12-03,12,24.105,SDG,@,HOU,L 13-33,8,69,8.63,0,0,0
25,1961,1961-12-10,13,24.112,SDG,,BUF,W 28-10,3,175,58.33,1,1,6
26,1961,1961-12-17,14,24.119,SDG,,BOS,L 0-41,5,98,19.60,0,0,0
27,1962,1962-09-07,1,25.018,SDG,@,DEN,L 21-30,4,66,16.50,0,0,0
28,1962,1962-09-23,3,25.034,SDG,,HOU,L 17-42,5,140,28.00,0,0,0
29,1962,1962-09-30,4,25.041,SDG,@,OAK,W 42-33,2,48,24.00,1,1,6
30,1962,1962-10-07,5,25.048,SDG,,DTX,W 32-28,5,41,8.20,0,0,0
31,1962,1962-10-13,6,25.054,SDG,@,BUF,L 10-35,2,31,15.50,0,0,0
32,1962,1962-10-19,7,25.060,SDG,@,BOS,L 20-24,4,65,16.25,1,1,6
33,1962,1962-10-28,8,25.069,SDG,@,NYT,L 3-23,1,21,21.00,0,0,0
34,1962,1962-11-04,9,25.076,SDG,,DEN,L 20-23,2,24,12.00,0,0,0
35,1962,1962-11-11,10,25.083,SDG,,BUF,L 20-40,7,126,18.00,1,1,6
