ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,22.154,TEN,@,TAM,W 42-14,,0,0,0,,0,0.0%,,,0,0
2,2015,2015-09-20,2,22.161,TEN,@,CLE,L 14-28,,2,1,13,13.00,1,50.0%,6.50,,1,6
3,2015,2015-09-27,3,22.168,TEN,,IND,L 33-35,,3,2,22,11.00,1,66.7%,7.33,,1,6
4,2015,2015-10-11,4,22.182,TEN,,BUF,L 13-14,,0,0,0,,0,0.0%,,,0,0
5,2015,2015-10-18,5,22.189,TEN,,MIA,L 10-38,,6,3,57,19.00,0,50.0%,9.50,,0,0
6,2015,2015-10-25,6,22.196,TEN,,ATL,L 7-10,*,1,0,0,,0,0.0%,0.00,,0,0
7,2015,2015-11-01,7,22.203,TEN,@,HOU,L 6-20,,2,1,12,12.00,0,50.0%,6.00,,0,0
8,2015,2015-11-08,8,22.210,TEN,@,NOR,W 34-28,*,10,5,77,15.40,0,50.0%,7.70,,0,0
9,2015,2015-11-15,9,22.217,TEN,,CAR,L 10-27,,2,0,0,,0,0.0%,0.00,,0,0
10,2015,2015-11-19,10,22.221,TEN,@,JAX,L 13-19,,6,3,40,13.33,0,50.0%,6.67,,0,0
11,2015,2015-11-29,11,22.231,TEN,,OAK,L 21-24,,5,1,22,22.00,0,20.0%,4.40,1,0,2
12,2015,2015-12-06,12,22.238,TEN,,JAX,W 42-39,,6,5,119,23.80,1,83.3%,19.83,,1,6
13,2015,2015-12-13,13,22.245,TEN,@,NYJ,L 8-30,*,7,3,53,17.67,0,42.9%,7.57,,0,0
14,2015,2015-12-20,14,22.252,TEN,@,NWE,L 16-33,,9,6,113,18.83,0,66.7%,12.56,,0,0
15,2015,2015-12-27,15,22.259,TEN,,HOU,L 6-34,*,3,0,0,,0,0.0%,0.00,,0,0
16,2015,2016-01-03,16,22.266,TEN,@,IND,L 24-30,*,5,2,21,10.50,1,40.0%,4.20,,1,6
17,2016,2016-09-11,1,23.152,PHI,,CLE,W 29-10,,2,2,14,7.00,0,100.0%,7.00,,0,0
18,2016,2016-09-19,2,23.160,PHI,@,CHI,W 29-14,*,4,2,18,9.00,0,50.0%,4.50,,0,0
19,2016,2016-09-25,3,23.166,PHI,,PIT,W 34-3,,4,3,33,11.00,0,75.0%,8.25,,0,0
20,2016,2016-10-09,4,23.180,PHI,@,DET,L 23-24,*,4,3,43,14.33,0,75.0%,10.75,,0,0
21,2016,2016-10-16,5,23.187,PHI,@,WAS,L 20-27,,4,1,23,23.00,0,25.0%,5.75,,0,0
22,2016,2016-10-23,6,23.194,PHI,,MIN,W 21-10,,4,2,8,4.00,1,50.0%,2.00,,1,6
23,2016,2016-10-30,7,23.201,PHI,@,DAL,L 23-29,*,9,5,55,11.00,0,55.6%,6.11,,0,0
24,2016,2016-11-06,8,23.208,PHI,@,NYG,L 23-28,*,5,0,0,,0,0.0%,0.00,,0,0
25,2016,2016-11-13,9,23.215,PHI,,ATL,W 24-15,,0,0,0,,0,0.0%,,,0,0
26,2016,2016-11-20,10,23.222,PHI,@,SEA,L 15-26,,8,5,54,10.80,1,62.5%,6.75,,1,6
27,2016,2016-11-28,11,23.230,PHI,,GNB,L 13-27,,10,6,82,13.67,0,60.0%,8.20,,0,0
28,2016,2016-12-04,12,23.236,PHI,@,CIN,L 14-32,*,10,4,29,7.25,0,40.0%,2.90,,0,0
29,2016,2016-12-18,14,23.250,PHI,@,BAL,L 26-27,,3,1,11,11.00,0,33.3%,3.67,,0,0
30,2016,2016-12-22,15,23.254,PHI,,NYG,W 24-19,*,2,1,7,7.00,0,50.0%,3.50,,0,0
31,2016,2017-01-01,16,23.264,PHI,,DAL,W 27-13,*,5,1,15,15.00,0,20.0%,3.00,,0,0
