ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,25.314,PHI,@,GNB,W 20-3,,,,,,,,,,,,,,,
2,1991,1991-09-15,3,25.328,PHI,@,DAL,W 24-0,,,,,,,,,,,,,,,
3,1991,1991-09-22,4,25.335,PHI,,PIT,W 23-14,,,,,,,,,,,,,,,
4,1991,1991-09-30,5,25.343,PHI,@,WAS,L 0-23,,,,,,,,,,,,,,,
5,1991,1991-10-06,6,25.349,PHI,@,TAM,L 13-14,,,,,,,,,,,,,,,
6,1991,1991-10-13,7,25.356,PHI,,NOR,L 6-13,,,,,,,,,,,,,,,
7,1991,1991-10-27,8,26.005,PHI,,SFO,L 7-23,,,,,,,,,,,,,,,
8,1991,1991-11-04,9,26.013,PHI,,NYG,W 30-7,,,,,,,,,,,,,,,
9,1991,1991-11-10,10,26.019,PHI,@,CLE,W 32-30,,,,,,,,,,,,,,,
10,1991,1991-11-17,11,26.026,PHI,,CIN,W 17-10,,,,,,,,,,,,,,,
11,1991,1991-11-24,12,26.033,PHI,@,PHO,W 34-14,,,,,,,,,,,,,,,
12,1991,1991-12-02,13,26.041,PHI,@,HOU,W 13-6,,,,,,,,,,,,,,,
13,1991,1991-12-08,14,26.047,PHI,@,NYG,W 19-14,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
14,1991,1991-12-15,15,26.054,PHI,,DAL,L 13-25,,,,,,,,,,,,,,,
15,1991,1991-12-22,16,26.061,PHI,,WAS,W 24-22,,0,0,,0,0,0,,0,1,6,0.0,1,74,1
16,1992,1992-09-06,1,26.320,PHI,,NOR,W 15-13,,,,,,,,,,,,,,,
17,1992,1992-09-13,2,26.327,PHI,@,PHO,W 31-14,,,,,,,,,,,,,,,
18,1992,1992-09-20,3,26.334,PHI,,DEN,W 30-0,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
19,1992,1992-10-05,4,26.349,PHI,,DAL,W 31-7,,,,,,,,,,,,,,,
20,1992,1992-10-11,5,26.355,PHI,@,KAN,L 17-24,,,,,,,,,,,,,,,
21,1992,1992-10-18,6,26.362,PHI,@,WAS,L 12-16,,,,,,,,,,,,,,,
22,1992,1992-10-25,7,27.003,PHI,,PHO,W 7-3,,,,,,,,,,,,,,,
23,1992,1992-11-01,8,27.010,PHI,@,DAL,L 10-20,,,,,,,,,,,,,,,
24,1992,1992-11-08,9,27.017,PHI,,RAI,W 31-10,,,,,,,,,,,,,,,
25,1992,1992-11-15,10,27.024,PHI,@,GNB,L 24-27,,,,,,,,,,,,,,,
26,1992,1992-11-22,11,27.031,PHI,@,NYG,W 47-34,,,,,,,,,,,,,,,
27,1992,1992-11-29,12,27.038,PHI,@,SFO,L 14-20,,,,,,,,,,,,,,,
28,1992,1992-12-06,13,27.045,PHI,,MIN,W 28-17,,,,,,,,,,,,,,,
29,1992,1992-12-13,14,27.052,PHI,@,SEA,W 20-17,,,,,,,,,,,,,,,
30,1992,1992-12-20,15,27.059,PHI,,WAS,W 17-13,,,,,,,,,,,,,,,
31,1992,1992-12-27,16,27.066,PHI,,NYG,W 20-10,,,,,,,,,,,,,,,
32,1993,1993-09-12,2,27.325,PHI,@,GNB,W 20-17,,0,0,,0,0,0,,0,,,,,,
33,1993,1993-09-19,3,27.332,PHI,,WAS,W 34-31,,0,0,,0,0,0,,0,,,,,,
