ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1991,1991-09-01,1,23.290,CHI,,MIN,W 10-6,,2,19,9.50,0,,,1,3,3.00,0,0,0,,0,0,0,,0,0,0
2,1991,1991-09-08,2,23.297,CHI,@,TAM,W 21-20,,1,17,17.00,0,,,1,13,13.00,0,1,5,5.00,0,0,0,,0,0,0
3,1991,1991-09-29,5,23.318,CHI,@,BUF,L 20-35,,3,36,12.00,0,,,1,2,2.00,0,0,0,,0,0,0,,0,0,0
4,1991,1991-10-06,6,23.325,CHI,,WAS,L 7-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
5,1991,1991-10-17,7,23.336,CHI,@,GNB,W 10-0,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
6,1991,1991-10-27,8,23.346,CHI,@,NOR,W 20-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
7,1991,1991-11-03,9,23.353,CHI,,DET,W 20-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
8,1991,1991-11-11,10,23.361,CHI,@,MIN,W 34-17,,2,18,9.00,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
9,1991,1991-11-17,11,24.002,CHI,@,IND,W 31-17,,1,84,84.00,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
10,1991,1991-11-24,12,24.009,CHI,,MIA,L 13-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
11,1991,1991-11-28,13,24.013,CHI,@,DET,L 6-16,,1,1,1.00,0,,,0,0,,0,3,64,21.33,0,0,0,,0,0,0
12,1991,1991-12-08,14,24.023,CHI,,GNB,W 27-13,,2,28,14.00,0,,,0,0,,0,3,54,18.00,0,0,0,,0,0,0
13,1991,1991-12-14,15,24.029,CHI,,TAM,W 27-0,,1,8,8.00,0,,,0,0,,0,0,0,,0,3,19,6.33,0,0,0
14,1991,1991-12-23,16,24.038,CHI,@,SFO,L 14-52,,0,0,,0,,,0,0,,0,1,10,10.00,0,0,0,,0,0,0
15,1992,1992-10-04,5,24.324,CHI,@,MIN,L 20-21,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,
16,1992,1992-10-18,6,24.338,CHI,,TAM,W 31-14,3,2,90,45.00,1,66.7%,30.00,0,0,,0,0,0,,0,0,0,,0,1,6
17,1992,1992-10-25,7,24.345,CHI,@,GNB,W 30-10,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,
18,1992,1992-11-02,8,24.353,CHI,,MIN,L 10-38,,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0,0,0,,0,0,0
19,1992,1992-11-08,9,24.359,CHI,,CIN,L 28-31,2,1,46,46.00,1,50.0%,23.00,0,0,,0,0,0,,0,1,4,4.00,0,1,6
20,1992,1992-11-15,10,25.000,CHI,@,TAM,L 17-20,2,0,0,,0,0.0%,0.00,1,17,17.00,0,0,0,,0,1,2,2.00,0,0,0
21,1992,1992-11-22,11,25.007,CHI,,GNB,L 3-17,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0,,0,0,0,,0,0,0
22,1992,1992-11-29,12,25.014,CHI,@,CLE,L 14-27,,0,0,,0,0.0%,,0,0,,0,3,68,22.67,0,0,13,,0,0,0
23,1992,1992-12-07,13,25.022,CHI,@,HOU,L 7-24,6,3,94,31.33,0,50.0%,15.67,0,0,,0,0,0,,0,1,2,2.00,0,0,0
24,1992,1992-12-13,14,25.028,CHI,,PIT,W 30-6,2,0,0,,0,0.0%,0.00,2,51,25.50,0,0,0,,0,0,0,,0,0,0
25,1992,1992-12-20,15,25.035,CHI,@,DET,L 3-16,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0,0,0,,0,0,0
26,1992,1992-12-27,16,25.042,CHI,@,DAL,L 14-27,8,5,53,10.60,0,62.5%,6.63,0,0,,0,0,0,,0,0,0,,0,0,0
27,1993,1993-10-31,7,25.350,CHI,@,GNB,L 3-17,,,,,,0.0%,,,,,,,,,,,,,,,
28,1993,1993-12-12,13,26.027,GNB,@,SDG,W 20-13,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0
29,1993,1993-12-19,14,26.034,GNB,,MIN,L 17-21,,0,0,,0,0.0%,,,,,,,,,,,,,,,
30,1994,1994-09-04,1,26.293,GNB,,MIN,W 16-10,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,
31,1994,1994-09-11,2,26.300,GNB,,MIA,L 14-24,2,2,49,24.50,0,100.0%,24.50,0,0,,0,0,0,,0,0,0,,0,0,0
