ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1982,1982-09-12,1,22.327,STL,@,NOR,W 21-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,35,0
2,1982,1982-09-19,2,22.334,STL,,DAL,L 7-24,,,,,,,,,,,,,,,,,,,,
3,1982,1982-11-21,3,23.032,STL,,SFO,L 20-31,,,,,,,,,,,,,,,,,,,,
4,1982,1982-11-28,4,23.039,STL,@,ATL,W 23-20,,,,,,,,,,,,,,,,,,,,
5,1982,1982-12-05,5,23.046,STL,@,PHI,W 23-20,,,,,,,,,,,,,,,,,,,,
6,1982,1982-12-12,6,23.053,STL,,WAS,L 7-12,,,,,,,,,,,,,,,,,,,,
7,1982,1982-12-19,7,23.060,STL,@,CHI,W 10-7,,,,,,,,,,,,,,,,,,,,
8,1982,1982-12-26,8,23.067,STL,,NYG,W 24-21,,,,,,,,,,,,,,,,,,,,
9,1982,1983-01-02,9,23.074,STL,@,WAS,L 0-28,,,,,,,,,,,,,,,,,,,,
10,1983,1983-09-04,1,23.319,STL,@,NOR,L 17-28,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0.0,0,0,0
11,1983,1983-09-11,2,23.326,STL,,DAL,L 17-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
12,1983,1983-09-18,3,23.333,STL,,SFO,L 27-42,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
13,1983,1983-09-25,4,23.340,STL,@,PHI,W 14-11,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
14,1983,1983-10-02,5,23.347,STL,@,KAN,L 14-38,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
15,1983,1983-10-09,6,23.354,STL,,WAS,L 14-38,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
16,1983,1983-10-16,7,23.361,STL,@,TAM,W 34-27,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,30,0
17,1983,1983-10-24,8,24.004,STL,,NYG,T 20-20,,0,0,,0,0,0,,0,,,,0,0,,0,1.0,0,0,0
18,1983,1983-10-30,9,24.010,STL,,MIN,W 41-31,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,,0,0.0,2,18,0
19,1983,1983-11-06,10,24.017,STL,@,WAS,L 7-45,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,2,0
20,1983,1983-11-13,11,24.024,STL,,SEA,W 33-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
21,1983,1983-11-20,12,24.031,STL,,SDG,W 44-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
22,1983,1983-11-24,13,24.035,STL,@,DAL,L 17-35,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
23,1983,1983-12-04,14,24.045,STL,@,NYG,W 10-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
24,1983,1983-12-11,15,24.052,STL,@,RAI,W 34-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
25,1983,1983-12-18,16,24.059,STL,,PHI,W 31-7,,0,0,,0,0,0,,0,,,,0,0,,0,,,,
26,1984,1984-09-02,1,24.318,STL,@,GNB,L 23-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,0
27,1984,1984-09-09,2,24.325,STL,,BUF,W 37-7,,0,0,,0,0,0,,0,,,,,,,,,,,
28,1984,1984-09-16,3,24.332,STL,@,IND,W 34-33,,0,0,,0,0,0,,0,,,,,,,,,,,
29,1984,1984-09-23,4,24.339,STL,@,NOR,L 24-34,,0,0,,0,0,0,,0,,,,,,,,,,,
30,1984,1984-09-30,5,24.346,STL,,MIA,L 28-36,,0,0,,0,0,0,,0,,,,,,,,,,,
31,1984,1984-10-07,6,24.353,STL,@,DAL,W 31-20,,1,1,100.00,0,0,0,79.2,0,0,0.00,0.00,0,0,,0,0.0,1,0,0
32,1984,1984-10-14,7,24.360,STL,,CHI,W 38-21,,0,0,,0,0,0,,0,,,,,,,,,,,
33,1984,1984-10-21,8,25.001,STL,,WAS,W 26-24,,0,0,,0,0,0,,0,,,,,,,,,,,
34,1984,1984-10-28,9,25.008,STL,@,PHI,W 34-14,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,0
