ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-16,2,22.340,MIA,,OAK,W 35-13,,,,,,,0.0%,,,,,,,,,,,,,,
2,2012,2012-11-15,10,23.034,MIA,@,BUF,L 14-19,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,2012-11-25,11,23.044,MIA,,SEA,W 24-21,,0,,,,,0.0%,,,,,,,,,,,,,,
4,2012,2012-12-02,12,23.051,MIA,,NWE,L 16-23,,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2012,2012-12-09,13,23.058,MIA,@,SFO,L 13-27,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2012,2012-12-16,14,23.065,MIA,,JAX,W 24-3,,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2012,2012-12-23,15,23.072,MIA,,BUF,W 24-10,,3,2,37,18.50,0,66.7%,12.33,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2012,2012-12-30,16,23.079,MIA,@,NWE,L 0-28,*,6,3,36,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2013,2013-09-08,1,23.331,MIA,@,CLE,W 23-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1
10,2013,2013-09-15,2,23.338,MIA,@,IND,W 24-20,,,,,,,0.0%,,,,,,,,,,,,,,
11,2013,2013-09-22,3,23.345,MIA,,ATL,W 27-23,,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2013,2013-09-30,4,23.353,MIA,@,NOR,L 17-38,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2013,2013-10-06,5,23.359,MIA,,BAL,L 23-26,,,,,,,0.0%,,,,,,,,,,,,,,
14,2013,2013-10-20,6,24.008,MIA,,BUF,L 21-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2013,2013-10-27,7,24.015,MIA,@,NWE,L 17-27,,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2013,2013-10-31,8,24.019,MIA,,CIN,W 22-20,,4,2,24,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2013,2013-11-11,9,24.030,MIA,@,TAM,L 19-22,*,14,11,120,10.91,2,78.6%,8.57,0,0,,0,0,0,,0,2,12,0.0,0,0
18,2013,2013-11-17,10,24.036,MIA,,SDG,W 20-16,,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2013,2013-11-24,11,24.043,MIA,,CAR,L 16-20,*,7,3,2,0.67,0,42.9%,0.29,0,0,,0,0,0,,0,0,0,0.0,1,0
20,2013,2013-12-01,12,24.050,MIA,@,NYJ,W 23-3,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2013,2013-12-08,13,24.057,MIA,@,PIT,W 34-28,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2013,2013-12-15,14,24.064,MIA,,NWE,W 24-20,*,9,5,64,12.80,0,55.6%,7.11,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2013,2013-12-22,15,24.071,MIA,@,BUF,L 0-19,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2013,2013-12-29,16,24.078,MIA,,NYJ,L 7-20,,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,0,0,0.0,1,0
25,2014,2014-09-07,1,24.330,MIA,,NWE,W 33-20,,,,,,,0.0%,,,,,,,,,,,,,,
26,2014,2014-09-14,2,24.337,MIA,@,BUF,L 10-29,,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,0,0,0,0.0,1,0
27,2014,2014-09-21,3,24.344,MIA,,KAN,L 15-34,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2014,2014-09-28,4,24.351,MIA,@,OAK,W 38-14,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2014,2014-10-12,5,25.000,MIA,,GNB,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,
30,2014,2014-10-19,6,25.007,MIA,@,CHI,W 27-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0
