ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1987,1987-09-13,1,23.157,STL,,DAL,W 24-13,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
2,1987,1987-09-20,2,23.164,STL,@,SDG,L 24-28,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
3,1987,1987-10-25,6,23.199,STL,@,NYG,L 7-30,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
4,1987,1987-11-01,7,23.206,STL,,PHI,L 23-28,,9,97,10.78,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
5,1987,1987-11-08,8,23.213,STL,,TAM,W 31-28,,9,124,13.78,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
6,1987,1987-11-15,9,23.220,STL,,RAM,L 24-27,,5,42,8.40,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
7,1987,1987-11-22,10,23.227,STL,@,PHI,W 31-19,,3,57,19.00,0,,,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0
8,1987,1987-11-29,11,23.234,STL,@,ATL,W 34-21,,5,81,16.20,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
9,1987,1987-12-06,12,23.241,STL,,WAS,L 17-34,,3,32,10.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
10,1987,1987-12-13,13,23.248,STL,,NYG,W 27-24,,5,78,15.60,1,,,1,-8,-8.00,0,0,0,,0,0,0,,,,,,1,6
11,1987,1987-12-20,14,23.255,STL,@,TAM,W 31-14,,3,15,5.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
12,1987,1987-12-27,15,23.262,STL,@,DAL,L 16-21,,0,0,,0,,,0,0,,0,,,,,,,,,,,,0,
13,1988,1988-09-04,1,24.148,PHO,@,CIN,L 14-21,,3,17,5.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
14,1988,1988-09-12,2,24.156,PHO,,DAL,L 14-17,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0
