ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,22.330,ATL,,NYJ,W 20-17,,,,
2,1992,1992-09-13,2,22.337,ATL,@,WAS,L 17-24,,,,
3,1992,1992-09-20,3,22.344,ATL,,NOR,L 7-10,,,,
4,1992,1992-09-27,4,22.351,ATL,@,CHI,L 31-41,,,,
5,1992,1992-10-04,5,22.358,ATL,,GNB,W 24-10,,,,
6,1992,1992-10-11,6,22.365,ATL,@,MIA,L 17-21,,,,
7,1992,1992-10-18,7,23.006,ATL,@,SFO,L 17-56,,,,
8,1992,1992-11-01,8,23.020,ATL,,RAM,W 30-28,,,,
9,1992,1992-11-15,10,23.034,ATL,,PHO,W 20-17,,,,
10,1992,1992-11-22,11,23.041,ATL,@,BUF,L 14-41,,,,
11,1993,1993-09-12,2,23.335,NWE,,DET,L 16-19,,,,
12,1993,1993-09-19,3,23.342,NWE,,SEA,L 14-17,,,,
13,1993,1993-09-26,4,23.349,NWE,@,NYJ,L 7-45,,,,
14,1993,1993-10-10,5,23.363,NWE,@,PHO,W 23-21,,,,
15,1993,1993-10-17,6,24.005,NWE,,HOU,L 14-28,,,,
16,1993,1993-10-24,7,24.012,NWE,@,SEA,L 9-10,,,,
17,1993,1993-10-31,8,24.019,NWE,@,IND,L 6-9,,,,
18,1993,1993-11-07,9,24.026,NWE,,BUF,L 10-13,,,,
19,1993,1993-11-21,10,24.040,NWE,@,MIA,L 13-17,,,,
20,1993,1993-11-28,11,24.047,NWE,,NYJ,L 0-6,,,,
21,1993,1993-12-05,12,24.054,NWE,@,PIT,L 14-17,,,,
22,1993,1993-12-12,13,24.061,NWE,,CIN,W 7-2,0.0,1,0,0
23,1993,1993-12-19,14,24.068,NWE,@,CLE,W 20-17,,,,
24,1993,1993-12-26,15,24.075,NWE,,IND,W 38-0,,,,
25,1993,1994-01-02,16,24.082,NWE,,MIA,W 33-27,,,,
26,1994,1994-09-04,1,24.327,NWE,@,MIA,L 35-39,,,,
27,1994,1994-09-11,2,24.334,NWE,,BUF,L 35-38,,,,
28,1994,1994-09-18,3,24.341,NWE,@,CIN,W 31-28,,,,
29,1994,1994-09-25,4,24.348,NWE,@,DET,W 23-17,,,,
30,1994,1994-10-02,5,24.355,NWE,,GNB,W 17-16,,,,
31,1994,1994-10-09,6,24.362,NWE,,RAI,L 17-21,,,,
32,1994,1994-10-16,7,25.004,NWE,@,NYJ,L 17-24,,,,
33,1994,1994-10-30,8,25.018,NWE,,MIA,L 3-23,,,,
34,1994,1994-11-06,9,25.025,NWE,@,CLE,L 6-13,,,,
35,1994,1994-11-13,10,25.032,NWE,,MIN,W 26-20,,,,
36,1994,1994-11-20,11,25.039,NWE,,SDG,W 23-17,,,,
