ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,22.078,STL,@,DET,L 23-27,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
2,2012,2012-09-16,2,22.085,STL,,WAS,W 31-28,,,,,,,0.0%,,,,,,,,,
3,2012,2012-09-23,3,22.092,STL,@,CHI,L 6-23,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
4,2012,2012-09-30,4,22.099,STL,,SEA,W 19-13,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
5,2012,2012-10-04,5,22.103,STL,,ARI,W 17-3,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
6,2012,2012-10-14,6,22.113,STL,@,MIA,L 14-17,,,,,,,0.0%,,,,,,,,,
7,2012,2012-10-21,7,22.120,STL,,GNB,L 20-30,,,,,,,0.0%,,,,,,,,,
8,2012,2012-10-28,8,22.127,STL,,NWE,L 7-45,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
9,2012,2012-11-11,9,22.141,STL,@,SFO,T 24-24,,1,1,21,21.00,0,100.0%,21.00,0,0,0.0,0,0,0,0,0
10,2012,2012-11-18,10,22.148,STL,,NYJ,L 13-27,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
11,2012,2012-11-25,11,22.155,STL,@,ARI,W 31-17,,,,,,,0.0%,,,,,,,,,
12,2012,2012-12-02,12,22.162,STL,,SFO,W 16-13,,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
13,2012,2012-12-09,13,22.169,STL,@,BUF,W 15-12,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
14,2012,2012-12-16,14,22.176,STL,,MIN,L 22-36,,,,,,,0.0%,,,,,,,,,
15,2012,2012-12-23,15,22.183,STL,@,TAM,W 28-13,,,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0
16,2012,2012-12-30,16,22.190,STL,@,SEA,L 13-20,,,,,,,0.0%,,,,,,,,,
17,2013,2013-09-08,1,23.077,STL,,ARI,W 27-24,*,0,0,0,,0,0.0%,,0,0,0.0,4,1,0,0,0
18,2013,2013-09-15,2,23.084,STL,@,ATL,L 24-31,*,0,0,0,,0,0.0%,,0,0,0.0,7,0,0,0,0
19,2013,2013-09-22,3,23.091,STL,@,DAL,L 7-31,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
20,2013,2013-09-26,4,23.095,STL,,SFO,L 11-35,*,0,0,0,,0,0.0%,,0,0,0.0,2,2,0,0,0
21,2013,2013-10-06,5,23.105,STL,,JAX,W 34-20,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
22,2013,2013-10-13,6,23.112,STL,@,HOU,W 38-13,*,0,0,0,,0,0.0%,,0,0,0.0,5,2,0,0,0
23,2013,2013-10-20,7,23.119,STL,@,CAR,L 15-30,*,0,0,0,,0,0.0%,,0,0,0.0,3,0,0,0,0
24,2013,2013-10-28,8,23.127,STL,,SEA,L 9-14,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
25,2013,2013-11-03,9,23.133,STL,,TEN,L 21-28,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,1,2,0
26,2013,2013-11-10,10,23.140,STL,@,IND,W 38-8,*,0,0,0,,0,0.0%,,0,0,0.0,1,1,0,0,0
27,2013,2013-11-24,11,23.154,STL,,CHI,W 42-21,*,0,0,0,,0,0.0%,,0,0,0.0,6,0,1,0,0
28,2013,2013-12-01,12,23.161,STL,@,SFO,L 13-23,*,0,0,0,,0,0.0%,,0,0,0.0,3,1,0,0,0
29,2013,2013-12-08,13,23.168,STL,@,ARI,L 10-30,*,0,0,0,,0,0.0%,,0,0,0.0,4,0,0,0,0
30,2013,2013-12-15,14,23.175,STL,,NOR,W 27-16,*,0,0,0,,0,0.0%,,0,0,0.0,6,2,0,0,0
31,2013,2013-12-22,15,23.182,STL,,TAM,W 23-13,*,0,0,0,,0,0.0%,,0,0,0.0,2,0,0,0,0
32,2013,2013-12-29,16,23.189,STL,@,SEA,L 9-27,*,0,0,0,,0,0.0%,,0,0,0.0,3,5,0,0,0
33,2014,2014-09-07,1,24.076,STL,,MIN,L 6-34,*,0,0,0,,0,0.0%,,0,0,0.0,6,1,0,0,0
34,2014,2014-09-14,2,24.083,STL,@,TAM,W 19-17,*,0,0,0,,0,0.0%,,0,0,0.0,5,0,1,0,0
