ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1967,1967-09-17,1,23.205,WAS,@,PHI,L 24-35,0,0,,0,3,136,45.33,1,3,14,4.67,0,,,,,1,0.0,1,6
2,1967,1967-09-24,2,23.212,WAS,@,NOR,W 30-10,3,29,9.67,0,1,26,26.00,0,1,-2,-2.00,0,3,4,75.0,1,1,100.0,0,6
3,1967,1967-10-01,3,23.219,WAS,,NYG,W 38-34,5,64,12.80,1,1,18,18.00,0,0,0,,0,5,5,100.0,1,3,33.3,1,14
4,1967,1967-10-08,4,23.226,WAS,,DAL,L 14-17,6,91,15.17,0,1,54,54.00,0,2,-2,-1.00,0,2,2,100.0,,1,0.0,0,2
5,1967,1967-10-15,5,23.233,WAS,@,ATL,T 20-20,,,,,,,,,,,,,,,,,,,,
6,1967,1967-10-22,6,23.240,WAS,@,RAM,T 28-28,0,0,,0,0,0,,0,0,0,,0,,,,,1,0.0,0,0
7,1967,1967-10-29,7,23.247,WAS,,BAL,L 13-17,1,23,23.00,0,1,24,24.00,0,0,0,,0,,,,,,,0,0
8,1967,1967-11-05,8,23.254,WAS,,STL,L 21-27,1,32,32.00,0,0,0,,0,2,0,0.00,0,,,,,,,0,0
9,1967,1967-11-12,9,23.261,WAS,,SFO,W 31-28,1,9,9.00,0,1,23,23.00,0,0,0,,0,,,,,,,0,0
10,1967,1967-11-19,10,23.268,WAS,@,DAL,W 27-20,,,,,,,,,,,,,,,,,,,,
11,1967,1967-11-26,11,23.275,WAS,@,CLE,L 37-42,0,0,,0,2,29,14.50,0,0,0,,0,,,,,,,0,0
12,1967,1967-12-03,12,23.282,WAS,,PHI,T 35-35,0,0,,0,0,0,,0,1,-11,-11.00,0,,,,,,,0,0
13,1967,1967-12-10,13,23.289,WAS,@,PIT,W 15-10,0,0,,0,2,37,18.50,0,0,0,,0,,,,,,,0,0
14,1967,1967-12-17,14,23.296,WAS,,NOR,L 14-30,0,0,,0,5,75,15.00,0,2,-4,-2.00,0,,,,,,,0,0
15,1972,1972-09-17,1,28.206,RAM,,NOR,W 34-14,0,0,,0,1,15,15.00,0,1,7,7.00,0,,,,,,,0,0
16,1972,1972-09-24,2,28.213,RAM,@,CHI,T 13-13,0,0,,0,3,65,21.67,0,4,22,5.50,0,,,,,,,0,0
17,1972,1972-10-01,3,28.220,RAM,@,ATL,L 3-31,0,0,,0,4,87,21.75,0,2,9,4.50,0,,,,,,,0,0
18,1972,1972-10-08,4,28.227,RAM,,SFO,W 31-7,0,0,,0,0,0,,0,2,1,0.50,0,,,,,,,0,0
19,1972,1972-10-15,5,28.234,RAM,@,PHI,W 34-3,1,19,19.00,1,0,0,,0,1,0,0.00,0,,,,,,,1,6
