ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1993,1993-09-05,1,23.081,TAM,,KAN,L 3-27,,0,0,,0,,,,1,2,50.0,0,3,0,0,,0
2,1993,1993-09-12,2,23.088,TAM,@,NYG,L 7-23,,0,0,,0,1,1,100.0,,,,0,1,,,,
3,1993,1993-09-26,3,23.102,TAM,@,CHI,L 17-47,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
4,1993,1993-10-03,4,23.109,TAM,,DET,W 27-10,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,,0
5,1993,1993-10-10,5,23.116,TAM,@,MIN,L 0-15,,,,,,,,,,,,,,,,,
6,1993,1993-10-24,6,23.130,TAM,,GNB,L 14-37,,0,0,,0,2,2,100.0,,,,0,2,,,,
7,1993,1993-10-31,7,23.137,TAM,@,ATL,W 31-24,,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,,0
8,1993,1993-11-07,8,23.144,TAM,@,DET,L 0-23,,,,,,,,,,,,,,,,,
9,1993,1993-11-14,9,23.151,TAM,,SFO,L 21-45,,0,0,,0,3,3,100.0,,,,0,3,,,,
10,1993,1993-11-21,10,23.158,TAM,,MIN,W 23-10,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
11,1993,1993-11-28,11,23.165,TAM,@,GNB,L 10-13,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
12,1993,1993-12-05,12,23.172,TAM,,WAS,L 17-23,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
13,1993,1993-12-12,13,23.179,TAM,,CHI,W 13-10,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,,0
14,1993,1993-12-19,14,23.186,TAM,@,RAI,L 20-27,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,,0
15,1993,1993-12-26,15,23.193,TAM,@,DEN,W 17-10,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,,0
16,1993,1994-01-02,16,23.200,TAM,,SDG,L 17-32,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,,0
17,1994,1994-09-04,1,24.080,TAM,@,CHI,L 9-21,,0,0,,0,,,,3,4,75.0,0,9,0,0,,0
18,1994,1994-09-11,2,24.087,TAM,,IND,W 24-10,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,,0
19,1994,1994-09-18,3,24.094,TAM,,NOR,L 7-9,,0,0,,0,1,1,100.0,,1,0.0,0,1,1,21,21.00,0
20,1994,1994-09-25,4,24.101,TAM,@,GNB,L 3-30,,0,0,,0,,,,1,1,100.0,0,3,0,0,,0
21,1994,1994-10-02,5,24.108,TAM,,DET,W 24-14,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
22,1994,1994-10-09,6,24.115,TAM,@,ATL,L 13-34,,0,0,,0,1,1,100.0,2,2,100.0,0,7,1,32,32.00,0
23,1994,1994-10-23,7,24.129,TAM,@,SFO,L 16-41,,,,,,,,,,,,,,,,,
24,1994,1994-10-30,8,24.136,TAM,,MIN,L 13-36,,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,,0
25,1994,1994-11-06,9,24.143,TAM,,CHI,L 6-20,,0,0,,0,,,,2,3,66.7,0,6,0,0,,0
26,1994,1994-11-13,10,24.150,TAM,@,DET,L 9-14,,0,0,,0,,,,3,4,75.0,0,9,0,0,,0
27,1994,1994-11-20,11,24.157,TAM,@,SEA,L 21-22,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
28,1994,1994-11-27,12,24.164,TAM,@,MIN,W 20-17,,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,,0
29,1994,1994-12-04,13,24.171,TAM,,WAS,W 26-21,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,,0
30,1994,1994-12-11,14,24.178,TAM,,RAM,W 24-14,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
31,1994,1994-12-18,15,24.185,TAM,@,WAS,W 17-14,,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,,0
32,1994,1994-12-24,16,24.191,TAM,,GNB,L 19-34,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
33,1995,1995-09-03,1,25.079,TAM,@,PHI,W 21-6,,0,0,,0,3,3,100.0,,,,0,3,,,,
34,1995,1995-09-10,2,25.086,TAM,@,CLE,L 6-22,,0,0,,0,,,,,1,0.0,0,0,0,0,,0
35,1995,1995-09-17,3,25.093,TAM,,CHI,L 6-25,,0,0,,0,,,,2,2,100.0,0,6,0,0,,0
36,1995,1995-09-24,4,25.100,TAM,,WAS,W 14-6,,0,0,,0,2,2,100.0,,,,0,2,,,,
