ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,24.257,STL,@,DET,L 23-27,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
2,2012,2012-09-16,2,24.264,STL,,WAS,W 31-28,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
3,2012,2012-09-23,3,24.271,STL,@,CHI,L 6-23,,,,,2,2,100.0,0,6,0.0,0,0
4,2012,2012-09-30,4,24.278,STL,,SEA,W 19-13,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
5,2012,2012-10-04,5,24.282,STL,,ARI,W 17-3,,2,2,100.0,1,1,100.0,0,5,0.0,0,0
6,2012,2012-10-14,6,24.292,STL,@,MIA,L 14-17,,,,,2,5,40.0,0,6,0.0,0,0
7,2012,2012-10-21,7,24.299,STL,,GNB,L 20-30,,2,2,100.0,2,2,100.0,0,8,0.0,0,0
8,2012,2012-10-28,8,24.306,STL,,NWE,L 7-45,,1,1,100.0,,,,0,1,0.0,0,0
9,2012,2012-11-11,9,24.320,STL,@,SFO,T 24-24,,3,3,100.0,1,2,50.0,0,6,0.0,0,0
10,2012,2012-11-18,10,24.327,STL,,NYJ,L 13-27,,1,1,100.0,,,,0,1,0.0,0,0
11,2012,2012-11-25,11,24.334,STL,@,ARI,W 31-17,,4,4,100.0,1,2,50.0,0,7,0.0,0,0
12,2012,2012-12-02,12,24.341,STL,,SFO,W 16-13,,,,,2,3,66.7,0,6,0.0,0,0
13,2012,2012-12-09,13,24.348,STL,@,BUF,W 15-12,,1,1,100.0,,,,0,1,0.0,0,0
14,2012,2012-12-16,14,24.355,STL,,MIN,L 22-36,,2,2,100.0,,1,0.0,0,2,0.0,0,0
15,2012,2012-12-23,15,24.362,STL,@,TAM,W 28-13,,4,4,100.0,,,,0,4,0.0,0,0
16,2012,2012-12-30,16,25.003,STL,@,SEA,L 13-20,,1,1,100.0,2,3,66.7,0,7,0.0,0,0
17,2013,2013-09-08,1,25.255,STL,,ARI,W 27-24,,1,1,100.0,4,4,100.0,0,13,0.0,0,0
18,2013,2013-09-15,2,25.262,STL,@,ATL,L 24-31,,3,3,100.0,1,1,100.0,0,6,0.0,0,0
19,2013,2013-09-22,3,25.269,STL,@,DAL,L 7-31,,1,1,100.0,,,,0,1,0.0,0,0
20,2013,2013-09-26,4,25.273,STL,,SFO,L 11-35,,,,,1,1,100.0,0,3,0.0,0,0
21,2013,2013-10-06,5,25.283,STL,,JAX,W 34-20,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
22,2013,2013-10-13,6,25.290,STL,@,HOU,W 38-13,,5,5,100.0,1,1,100.0,0,8,0.0,1,0
23,2013,2013-10-20,7,25.297,STL,@,CAR,L 15-30,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
24,2013,2013-10-28,8,25.305,STL,,SEA,L 9-14,,,,,3,4,75.0,0,9,0.0,0,0
25,2013,2013-11-03,9,25.311,STL,,TEN,L 21-28,,3,3,100.0,,1,0.0,0,3,0.0,0,0
26,2013,2013-11-10,10,25.318,STL,@,IND,W 38-8,,5,5,100.0,1,1,100.0,0,8,0.0,0,0
27,2013,2013-11-24,11,25.332,STL,,CHI,W 42-21,,4,4,100.0,2,2,100.0,0,10,0.0,0,0
28,2013,2013-12-01,12,25.339,STL,@,SFO,L 13-23,,1,1,100.0,2,2,100.0,0,7,0.0,0,0
29,2013,2013-12-08,13,25.346,STL,@,ARI,L 10-30,,1,1,100.0,1,1,100.0,0,4,0.0,0,0
30,2013,2013-12-15,14,25.353,STL,,NOR,W 27-16,,3,3,100.0,2,2,100.0,0,9,0.0,0,0
31,2013,2013-12-22,15,25.360,STL,,TAM,W 23-13,,2,2,100.0,3,3,100.0,0,11,0.0,0,0
32,2013,2013-12-29,16,26.002,STL,@,SEA,L 9-27,,,,,1,1,100.0,0,3,0.0,0,0
33,2014,2014-09-07,1,26.254,STL,,MIN,L 6-34,,,,,2,3,66.7,0,6,0.0,0,0
34,2014,2014-09-14,2,26.261,STL,@,TAM,W 19-17,,1,1,100.0,4,4,100.0,0,13,0.0,1,0
35,2014,2014-09-21,3,26.268,STL,,DAL,L 31-34,,4,4,100.0,1,1,100.0,0,7,0.0,0,0
