ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1973,1973-09-16,1,22.328,DEN,,CIN,W 28-10,,,
2,1973,1973-09-23,2,22.335,DEN,,SFO,L 34-36,,,
3,1973,1973-09-30,3,22.342,DEN,,CHI,L 14-33,,,
4,1973,1973-10-07,4,22.349,DEN,@,KAN,L 14-16,,,
5,1973,1973-10-14,5,22.356,DEN,@,HOU,W 48-20,,,
6,1974,1974-09-22,2,23.334,DEN,,PIT,T 35-35,,,
7,1974,1974-09-30,3,23.342,DEN,@,WAS,L 3-30,,,
8,1974,1974-10-06,4,23.348,DEN,@,KAN,W 17-14,,,
9,1974,1974-10-13,5,23.355,DEN,,NOR,W 33-17,,,
10,1974,1974-10-20,6,23.362,DEN,,SDG,W 27-7,,,
11,1974,1974-10-27,7,24.004,DEN,@,CLE,L 21-23,,,
12,1974,1974-11-03,8,24.011,DEN,,OAK,L 17-28,,,
13,1974,1974-11-10,9,24.018,DEN,@,BAL,W 17-6,1,2,0
14,1974,1974-11-18,10,24.026,DEN,,KAN,L 34-42,,,
15,1974,1974-11-24,11,24.032,DEN,@,OAK,W 20-17,,,
16,1974,1974-11-28,12,24.036,DEN,@,DET,W 31-27,,,
