ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,23.086,SDG,@,HOU,L 14-21,,,,,,,
2,1974,1974-09-22,2,23.093,SDG,@,CIN,W 20-17,,,,,,,
3,1974,1974-09-29,3,23.100,SDG,,MIA,L 21-28,,,,,,,
4,1974,1974-10-06,4,23.107,SDG,,PHI,L 7-13,,,,,,,
5,1974,1974-10-13,5,23.114,SDG,,OAK,L 10-14,,,,,,,
6,1974,1974-10-20,6,23.121,SDG,@,DEN,L 7-27,,,,,,,
7,1974,1974-10-27,7,23.128,SDG,,KAN,L 14-24,,,,,,,
8,1974,1974-11-03,8,23.135,SDG,,CLE,W 36-35,,,,,,,
9,1974,1974-11-10,9,23.142,SDG,@,KAN,W 14-7,,,,,,,
10,1974,1974-11-17,10,23.149,SDG,@,OAK,L 10-17,,,,,,,
11,1974,1974-11-24,11,23.156,SDG,@,GNB,L 0-34,,,,,,,
12,1974,1974-12-01,12,23.163,SDG,@,NYJ,L 14-27,,,,,,,
13,1974,1974-12-08,13,23.170,SDG,,CHI,W 28-21,,,,,,,
14,1974,1974-12-15,14,23.177,SDG,,DEN,W 17-0,,,,,,,
15,1975,1975-09-21,1,24.092,SDG,,PIT,L 0-37,,,,,,,
16,1975,1975-09-28,2,24.099,SDG,@,HOU,L 17-33,,,,,,,
17,1975,1975-10-05,3,24.106,SDG,,OAK,L 0-6,,,,,,,
18,1975,1975-10-12,4,24.113,SDG,,RAM,L 10-13,0,0,,0,1,37,0
19,1975,1975-10-19,5,24.120,SDG,,KAN,L 10-12,,,,,,,
20,1975,1975-10-26,6,24.127,SDG,@,OAK,L 0-25,,,,,,,
21,1975,1975-11-01,7,24.133,SDG,@,NYG,L 24-35,,,,,,,
22,1975,1975-11-09,8,24.141,SDG,,NWE,L 19-33,,,,,,,
23,1975,1975-11-16,9,24.148,SDG,,DEN,L 17-27,,,,,,,
24,1975,1975-11-23,10,24.155,SDG,@,MIN,L 13-28,,,,,,,
25,1975,1975-12-07,12,24.169,SDG,@,KAN,W 28-20,,,,,,,
26,1975,1975-12-15,13,24.177,SDG,,NYJ,W 24-16,,,,,,,
27,1975,1975-12-21,14,24.183,SDG,@,CIN,L 17-47,,,,,,,
28,1976,1976-09-12,1,25.083,SDG,@,KAN,W 30-16,0,0,,0,2,28,0
29,1976,1976-09-19,2,25.090,SDG,@,TAM,W 23-0,0,0,,0,1,26,0
30,1976,1976-09-26,3,25.097,SDG,,STL,W 43-24,,,,,,,
31,1976,1976-10-03,4,25.104,SDG,@,DEN,L 0-26,,,,,,,
32,1976,1976-10-10,5,25.111,SDG,,OAK,L 17-27,,,,,,,
33,1976,1976-10-17,6,25.118,SDG,,HOU,W 30-27,0,0,,0,1,11,0
34,1976,1976-10-24,7,25.125,SDG,@,CLE,L 17-21,,,,,,,
35,1976,1976-10-31,8,25.132,SDG,@,PIT,L 0-23,,,,,,,
36,1976,1976-11-07,9,25.139,SDG,,BAL,L 21-37,,,,,,,
37,1976,1976-11-14,10,25.146,SDG,,DEN,L 0-17,,,,,,,
38,1976,1976-11-21,11,25.153,SDG,@,BUF,W 34-13,0,0,,0,2,17,0
39,1976,1976-11-28,12,25.160,SDG,,KAN,L 20-23,,,,,,,
40,1976,1976-12-05,13,25.167,SDG,,SFO,W 13-7,,,,,,,
41,1976,1976-12-12,14,25.174,SDG,@,OAK,L 0-24,,,,,,,
42,1977,1977-09-18,1,26.089,SDG,@,OAK,L 0-24,,,,,,,
43,1977,1977-09-25,2,26.096,SDG,@,KAN,W 23-7,,,,,,,
44,1977,1977-10-02,3,26.103,SDG,,CIN,W 24-3,,,,,,,
45,1977,1977-10-09,4,26.110,SDG,@,NOR,W 14-0,,,,,,,
46,1977,1977-10-16,5,26.117,SDG,,NWE,L 20-24,,,,,,,
47,1977,1977-10-23,6,26.124,SDG,,KAN,L 16-21,,,,,,,
48,1977,1977-10-30,7,26.131,SDG,@,MIA,W 14-13,,,,,,,
49,1977,1977-11-06,8,26.138,SDG,@,DET,L 0-20,,,,,,,
50,1977,1977-11-13,9,26.145,SDG,,DEN,L 14-17,,,,,,,
51,1977,1977-11-20,10,26.152,SDG,,OAK,W 12-7,,,,,,,
52,1977,1977-11-27,11,26.159,SDG,@,SEA,W 30-28,,,,,,,
53,1977,1977-12-04,12,26.166,SDG,,CLE,W 37-14,,,,,,,
54,1977,1977-12-11,13,26.173,SDG,@,DEN,L 9-17,,,,,,,
55,1977,1977-12-18,14,26.180,SDG,,PIT,L 9-10,,,,,,,
56,1978,1978-09-03,1,27.074,SDG,@,SEA,W 24-20,,,,,,,
57,1978,1978-09-10,2,27.081,SDG,,OAK,L 20-21,,,,,,,
58,1978,1978-09-17,3,27.088,SDG,@,DEN,L 14-27,,,,,,,
59,1978,1978-09-24,4,27.095,SDG,,GNB,L 3-24,,,,,,,
60,1978,1978-10-01,5,27.102,SDG,@,NWE,L 23-28,0,0,,0,1,0,0
61,1978,1978-10-08,6,27.109,SDG,,DEN,W 23-0,1,0,0.00,0,0,0,0
62,1978,1978-10-15,7,27.116,SDG,,MIA,L 21-28,,,,,,,
63,1978,1978-10-29,9,27.130,SDG,@,OAK,W 27-23,,,,,,,
64,1978,1978-11-12,11,27.144,SDG,,KAN,W 29-23,,,,,,,
65,1978,1978-11-19,12,27.151,SDG,@,MIN,W 13-7,,,,,,,
66,1978,1978-11-26,13,27.158,SDG,@,KAN,L 0-23,,,,,,,
67,1978,1978-12-04,14,27.166,SDG,,CHI,W 40-7,,,,,,,
68,1978,1978-12-10,15,27.172,SDG,,SEA,W 37-10,,,,,,,
69,1978,1978-12-17,16,27.179,SDG,@,HOU,W 45-24,,,,,,,
70,1979,1979-09-23,4,28.094,SDG,@,NWE,L 21-27,,,,,,,
71,1979,1979-09-30,5,28.101,SDG,,SFO,W 31-9,,,,,,,
72,1979,1979-10-07,6,28.108,SDG,@,DEN,L 0-7,,,,,,,
73,1979,1979-10-14,7,28.115,SDG,,SEA,W 20-10,,,,,,,
74,1979,1979-10-21,8,28.122,SDG,@,RAM,W 40-16,,,,,,,
75,1979,1979-10-25,9,28.126,SDG,@,OAK,L 22-45,,,,,,,
76,1979,1979-11-04,10,28.136,SDG,@,KAN,W 20-14,,,,,,,
77,1979,1979-11-11,11,28.143,SDG,@,CIN,W 26-24,1,0,0.00,0,0,0,0
78,1979,1979-11-18,12,28.150,SDG,,PIT,W 35-7,,,,,,,
79,1979,1979-12-02,14,28.164,SDG,,ATL,L 26-28,,,,,,,
80,1979,1979-12-09,15,28.171,SDG,@,NOR,W 35-0,,,,,,,
81,1979,1979-12-17,16,28.179,SDG,,DEN,W 17-7,0,0,,0,1,0,0
82,1980,1980-09-07,1,29.078,CLE,@,NWE,L 17-34,,,,,,,
83,1980,1980-09-15,2,29.086,CLE,,HOU,L 7-16,,,,,,,
84,1980,1980-09-21,3,29.092,CLE,,KAN,W 20-13,,,,,,,
85,1980,1980-09-28,4,29.099,CLE,@,TAM,W 34-27,,,,,,,
86,1980,1980-10-05,5,29.106,CLE,,DEN,L 16-19,,,,,,,
87,1980,1980-10-12,6,29.113,CLE,@,SEA,W 27-3,,,,,,,
88,1980,1980-10-19,7,29.120,CLE,,GNB,W 26-21,,,,,,,
89,1980,1980-10-26,8,29.127,CLE,,PIT,W 27-26,,,,,,,
90,1980,1980-11-03,9,29.135,CLE,,CHI,W 27-21,,,,,,,
91,1980,1980-11-09,10,29.141,CLE,@,BAL,W 28-27,,,,,,,
92,1980,1980-11-16,11,29.148,CLE,@,PIT,L 13-16,,,,,,,
93,1980,1980-11-23,12,29.155,CLE,,CIN,W 31-7,,,,,,,
94,1980,1980-11-30,13,29.162,CLE,@,HOU,W 17-14,,,,,,,
95,1980,1980-12-07,14,29.169,CLE,,NYJ,W 17-14,,,,,,,
96,1980,1980-12-14,15,29.176,CLE,@,MIN,L 23-28,,,,,,,
97,1981,1981-09-07,1,30.078,CLE,,SDG,L 14-44,,,,,,,
98,1981,1981-09-13,2,30.084,CLE,,HOU,L 3-9,,,,,,,
99,1981,1981-09-20,3,30.091,CLE,@,CIN,W 20-17,,,,,,,
100,1981,1981-09-27,4,30.098,CLE,,ATL,W 28-17,,,,,,,
101,1981,1981-10-04,5,30.105,CLE,@,RAM,L 16-27,,,,,,,
102,1981,1981-10-11,6,30.112,CLE,@,PIT,L 7-13,0,0,,0,1,1,0
103,1981,1981-10-18,7,30.119,CLE,,NOR,W 20-17,,,,,,,
104,1981,1981-10-25,8,30.126,CLE,,BAL,W 42-28,,,,,,,
105,1981,1981-11-01,9,30.133,CLE,@,BUF,L 13-22,,,,,,,
106,1981,1981-11-08,10,30.140,CLE,@,DEN,L 20-23,,,,,,,
107,1981,1981-11-15,11,30.147,CLE,@,SFO,W 15-12,,,,,,,
108,1981,1981-11-22,12,30.154,CLE,,PIT,L 10-32,,,,,,,
109,1981,1981-11-29,13,30.161,CLE,,CIN,L 21-41,,,,,,,
110,1981,1981-12-03,14,30.165,CLE,@,HOU,L 13-17,,,,,,,
111,1981,1981-12-12,15,30.174,CLE,,NYJ,L 13-14,,,,,,,
112,1981,1981-12-20,16,30.182,CLE,@,SEA,L 21-42,,,,,,,
