ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-09-25,2,22.145,CHI,@,RAM,L 28-30,0,0,,0,0,0,,0,1,17,17.00,0,1,2,2.00,0,0,0,0,0,0
2,1966,1966-09-11,1,23.131,ATL,,RAM,L 14-19,0,0,,0,0,0,,0,3,82,27.33,0,0,0,,0,0,0,0,0,0
3,1966,1966-09-18,2,23.138,ATL,@,PHI,L 10-23,0,0,,0,0,0,,0,2,21,10.50,0,0,0,,0,0,0,0,0,0
4,1966,1966-09-25,3,23.145,ATL,@,DET,L 10-28,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0,0,0
5,1966,1966-10-02,4,23.152,ATL,,DAL,L 14-47,0,0,,0,0,0,,0,4,78,19.50,0,2,13,6.50,0,0,0,0,0,0
6,1966,1966-10-16,6,23.166,ATL,,SFO,L 7-44,0,0,,0,0,0,,0,5,130,26.00,0,1,12,12.00,0,0,0,0,0,0
7,1966,1966-10-23,7,23.173,ATL,@,GNB,L 3-56,0,0,,0,0,0,,0,7,148,21.14,0,0,0,,0,0,0,0,0,0
8,1966,1966-10-30,8,23.180,ATL,,CLE,L 17-49,0,0,,0,0,0,,0,3,43,14.33,0,0,0,,0,0,0,1,2,0
9,1966,1966-11-13,9,23.194,ATL,,BAL,L 7-19,0,0,,0,0,0,,0,5,100,20.00,0,2,8,4.00,0,0,0,0,0,0
10,1966,1966-11-20,10,23.201,ATL,@,NYG,W 27-16,0,0,,0,0,0,,0,2,54,27.00,0,1,23,23.00,0,0,0,0,0,0
11,1966,1966-11-27,11,23.208,ATL,@,CHI,L 6-23,0,0,,0,0,0,,0,3,116,38.67,0,0,0,,0,0,0,1,4,0
12,1966,1966-12-04,12,23.215,ATL,@,MIN,W 20-13,0,0,,0,0,0,,0,1,26,26.00,0,2,9,4.50,0,0,0,0,0,0
13,1966,1966-12-11,13,23.222,ATL,,STL,W 16-10,0,0,,0,0,0,,0,1,21,21.00,0,2,9,4.50,0,0,0,0,0,0
14,1966,1966-12-18,14,23.229,ATL,,PIT,L 33-57,0,0,,0,0,0,,0,5,155,31.00,0,1,6,6.00,0,0,0,0,0,0
15,1967,1967-09-17,1,24.137,ATL,@,BAL,L 31-38,1,60,60.00,0,0,0,,0,3,139,46.33,1,2,22,11.00,0,1,6,0,0,0
