ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2017,2017-09-10,1,23.359,PHI,@,WAS,W 30-17,,0,0,0,,0,0.0%,,0,0
2,2017,2017-09-17,2,24.001,PHI,@,KAN,L 20-27,,3,3,32,10.67,0,100.0%,10.67,0,0
3,2017,2017-09-24,3,24.008,PHI,,NYG,W 27-24,,0,0,0,,0,0.0%,,0,0
4,2017,2017-10-01,4,24.015,PHI,@,LAC,W 26-24,,0,0,0,,0,0.0%,,0,0
5,2017,2017-10-08,5,24.022,PHI,,ARI,W 34-7,,0,0,0,,0,0.0%,,0,0
6,2017,2017-10-12,6,24.026,PHI,@,CAR,W 28-23,,2,2,38,19.00,0,100.0%,19.00,0,0
7,2017,2017-10-23,7,24.037,PHI,,WAS,W 34-24,,1,1,64,64.00,1,100.0%,64.00,1,6
8,2017,2017-10-29,8,24.043,PHI,,SFO,W 33-10,,3,2,30,15.00,0,66.7%,10.00,0,0
9,2017,2017-11-05,9,24.050,PHI,,DEN,W 51-23,,1,1,8,8.00,0,100.0%,8.00,0,0
10,2017,2017-11-19,10,24.064,PHI,@,DAL,W 37-9,,1,1,7,7.00,0,100.0%,7.00,0,0
11,2017,2017-11-26,11,24.071,PHI,,CHI,W 31-3,,2,2,12,6.00,0,100.0%,6.00,0,0
12,2017,2017-12-03,12,24.078,PHI,@,SEA,L 10-24,,1,1,10,10.00,0,100.0%,10.00,0,0
13,2017,2017-12-10,13,24.085,PHI,@,LAR,W 43-35,,2,0,0,,0,0.0%,0.00,0,0
14,2017,2017-12-17,14,24.092,PHI,@,NYG,W 34-29,,1,0,0,,0,0.0%,0.00,0,0
15,2017,2017-12-25,15,24.100,PHI,,OAK,W 19-10,,0,0,0,,0,0.0%,,0,0
16,2017,2017-12-31,16,24.106,PHI,,DAL,L 0-6,,5,3,25,8.33,0,60.0%,5.00,0,0
