ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,21.346,SEA,,PIT,W 30-0,0,0,,0,,0,0,,0,,,1,28,28.00,0,4,101,25.25,0,0,0
2,1986,1986-09-14,2,21.353,SEA,,KAN,W 23-17,0,0,,0,,0,0,,0,,,1,19,19.00,0,2,17,8.50,0,0,0
3,1986,1986-09-21,3,21.360,SEA,@,NWE,W 38-31,0,0,,0,,0,0,,0,,,6,107,17.83,0,5,76,15.20,0,0,0
4,1986,1986-09-28,4,22.002,SEA,@,WAS,L 14-19,0,0,,0,,0,0,,0,,,2,45,22.50,0,2,20,10.00,0,0,0
5,1986,1986-10-06,5,22.010,SEA,,SDG,W 33-7,0,0,,0,,0,0,,0,,,1,23,23.00,0,1,7,7.00,0,0,0
6,1986,1986-10-12,6,22.016,SEA,@,RAI,L 10-14,0,0,,0,,0,0,,0,,,3,42,14.00,0,1,6,6.00,0,0,0
7,1986,1986-10-19,7,22.023,SEA,,NYG,W 17-12,0,0,,0,,0,0,,0,,,0,0,,0,3,7,2.33,0,0,0
8,1986,1986-10-26,8,22.030,SEA,@,DEN,L 13-20,0,0,,0,,0,0,,0,,,3,102,34.00,0,1,0,0.00,0,0,0
9,1986,1986-11-02,9,22.037,SEA,,NYJ,L 7-38,0,0,,0,,0,0,,0,,,4,104,26.00,0,0,0,,0,0,0
10,1986,1986-11-09,10,22.044,SEA,@,KAN,L 7-27,1,-11,-11.00,0,,0,0,,0,,,4,105,26.25,0,0,0,,0,0,0
11,1986,1986-11-16,11,22.051,SEA,@,CIN,L 7-34,0,0,,0,,0,0,,0,,,3,77,25.67,0,1,4,4.00,0,0,0
12,1986,1986-11-23,12,22.058,SEA,,PHI,W 24-20,0,0,,0,,0,0,,0,,,2,36,18.00,0,4,103,25.75,1,1,6
13,1986,1986-11-27,13,22.062,SEA,@,DAL,W 31-14,0,0,,0,,0,0,,0,,,1,10,10.00,0,2,26,13.00,0,0,0
14,1986,1986-12-08,14,22.073,SEA,,RAI,W 37-0,0,0,,0,,0,0,,0,,,0,0,,0,6,45,7.50,0,0,0
15,1986,1986-12-20,16,22.085,SEA,,DEN,W 41-16,0,0,,0,,0,0,,0,,,3,66,22.00,0,2,7,3.50,0,0,0
16,1987,1987-09-13,1,22.352,SEA,@,DEN,L 17-40,0,0,,0,,0,0,,0,,,3,91,30.33,0,0,0,,0,0,0
17,1987,1987-09-20,2,22.359,SEA,,KAN,W 43-14,0,0,,0,,0,0,,0,,,2,36,18.00,0,2,28,14.00,0,0,0
18,1987,1987-10-25,6,23.029,SEA,@,RAI,W 35-13,0,0,,0,,0,0,,0,,,1,15,15.00,0,2,17,8.50,0,0,0
19,1987,1987-11-01,7,23.036,SEA,,MIN,W 28-17,0,0,,0,,0,0,,0,,,0,0,,0,2,55,27.50,0,0,0
20,1987,1987-11-09,8,23.044,SEA,@,NYJ,L 14-30,0,0,,0,,0,0,,0,,,1,19,19.00,0,0,0,,0,0,0
21,1987,1987-11-22,10,23.057,SEA,,SDG,W 34-3,0,0,,0,,0,0,,0,,,2,45,22.50,0,4,41,10.25,0,0,0
22,1987,1987-11-30,11,23.065,SEA,,RAI,L 14-37,0,0,,0,,0,0,,0,,,8,147,18.38,0,1,4,4.00,0,0,0
23,1987,1987-12-06,12,23.071,SEA,@,PIT,L 9-13,0,0,,0,,0,0,,0,,,2,37,18.50,0,3,29,9.67,0,0,0
24,1987,1987-12-13,13,23.078,SEA,,DEN,W 28-21,0,0,,0,,0,0,,0,,,1,30,30.00,0,4,39,9.75,0,0,0
25,1987,1987-12-20,14,23.085,SEA,@,CHI,W 34-21,0,0,,0,,0,0,,0,,,3,59,19.67,0,1,15,15.00,0,0,0
26,1987,1987-12-27,15,23.092,SEA,@,KAN,L 20-41,0,0,,0,,0,0,,0,,,4,85,21.25,0,1,23,23.00,0,0,0
27,1988,1988-09-04,1,23.344,SEA,@,DEN,W 21-14,0,0,,0,,0,0,,0,,,0,0,,0,4,35,8.75,0,0,0
28,1988,1988-09-11,2,23.351,SEA,,KAN,W 31-10,0,0,,0,,0,0,,0,,,3,70,23.33,0,1,14,14.00,0,0,0
29,1988,1988-09-18,3,23.358,SEA,@,SDG,L 6-17,0,0,,0,,0,0,,0,,,3,71,23.67,0,3,39,13.00,0,0,0
30,1988,1988-09-25,4,23.365,SEA,,SFO,L 7-38,0,0,,0,,0,0,,0,,,3,69,23.00,0,1,41,41.00,0,0,0
31,1988,1988-10-02,5,24.006,SEA,@,ATL,W 31-20,0,0,,0,,0,0,,0,,,3,61,20.33,0,1,6,6.00,0,0,0
32,1988,1988-10-09,6,24.013,SEA,@,CLE,W 16-10,0,0,,0,,0,0,,0,,,3,42,14.00,0,2,13,6.50,0,0,0
33,1988,1988-10-16,7,24.020,SEA,,NOR,L 19-20,0,0,,0,,0,0,,0,,,2,34,17.00,0,2,22,11.00,0,0,0
34,1988,1988-10-23,8,24.027,SEA,@,RAM,L 10-31,0,0,,0,,0,0,,0,,,2,29,14.50,0,1,2,2.00,0,0,0
35,1988,1988-10-30,9,24.034,SEA,,SDG,W 17-14,0,0,,0,,0,0,,0,,,2,33,16.50,0,3,20,6.67,0,0,0
36,1988,1988-11-06,10,24.041,SEA,,BUF,L 3-13,0,0,,0,,0,0,,0,,,1,21,21.00,0,3,23,7.67,0,0,0
37,1988,1988-11-13,11,24.048,SEA,,HOU,W 27-24,0,0,,0,,0,0,,0,,,1,27,27.00,0,1,8,8.00,0,0,0
38,1988,1988-11-20,12,24.055,SEA,@,KAN,L 24-27,0,0,,0,,0,0,,0,,,5,108,21.60,0,2,22,11.00,0,0,0
39,1988,1988-11-28,13,24.063,SEA,,RAI,W 35-27,0,0,,0,,0,0,,0,,,3,85,28.33,0,4,37,9.25,0,0,0
40,1988,1988-12-04,14,24.069,SEA,@,NWE,L 7-13,0,0,,0,,0,0,,0,,,2,70,35.00,0,3,16,5.33,0,0,0
41,1988,1988-12-11,15,24.076,SEA,,DEN,W 42-14,0,0,,0,,0,0,,0,,,1,26,26.00,0,1,8,8.00,0,0,0
42,1988,1988-12-18,16,24.083,SEA,@,RAI,W 43-37,0,0,,0,,0,0,,0,,,6,154,25.67,0,3,34,11.33,0,0,0
43,1989,1989-09-17,2,24.356,RAI,@,KAN,L 19-24,0,0,,0,,0,0,,0,,,3,80,26.67,0,1,12,12.00,0,0,0
44,1989,1989-09-24,3,24.363,RAI,@,DEN,L 21-31,0,0,,0,,0,0,,0,,,3,67,22.33,0,3,27,9.00,0,0,0
45,1989,1989-10-01,4,25.005,RAI,,SEA,L 20-24,0,0,,0,,0,0,,0,,,4,58,14.50,0,0,0,,0,0,0
46,1989,1989-10-09,5,25.013,RAI,@,NYJ,W 14-7,0,0,,0,,0,0,,0,,,0,0,,0,1,0,0.00,0,0,0
47,1989,1989-10-15,6,25.019,RAI,,KAN,W 20-14,0,0,,0,,0,0,,0,,,2,30,15.00,0,4,54,13.50,0,0,0
48,1989,1989-10-22,7,25.026,RAI,@,PHI,L 7-10,0,0,,0,,0,0,,0,,,1,16,16.00,0,4,40,10.00,0,0,0
49,1989,1989-10-29,8,25.033,RAI,,WAS,W 37-24,0,0,,0,,0,0,,0,,,1,20,20.00,0,3,35,11.67,0,0,0
50,1995,1995-09-03,1,30.342,TAM,@,PHI,W 21-6,0,0,,0,,0,0,,0,0.0%,,3,92,30.67,0,3,17,5.67,0,0,0
51,1995,1995-09-10,2,30.349,TAM,@,CLE,L 6-22,0,0,,0,,0,0,,0,0.0%,,5,87,17.40,0,0,0,,0,0,0
52,1995,1995-09-17,3,30.356,TAM,,CHI,L 6-25,0,0,,0,,0,0,,0,0.0%,,6,111,18.50,0,3,19,6.33,0,0,0
53,1995,1995-09-24,4,30.363,TAM,,WAS,W 14-6,0,0,,0,,0,0,,0,0.0%,,2,70,35.00,0,2,17,8.50,0,0,0
54,1995,1995-10-01,5,31.005,TAM,@,CAR,W 20-13,0,0,,0,,0,0,,0,0.0%,,3,47,15.67,0,2,54,27.00,0,0,0
55,1995,1995-10-08,6,31.012,TAM,,CIN,W 19-16,1,3,3.00,0,,0,0,,0,0.0%,,3,63,21.00,0,2,11,5.50,0,0,0
56,1995,1995-10-15,7,31.019,TAM,,MIN,W 20-17,0,0,,0,,0,0,,0,0.0%,,5,92,18.40,0,2,36,18.00,0,0,0
57,1995,1995-10-22,8,31.026,TAM,,ATL,L 21-24,0,0,,0,,0,0,,0,0.0%,,1,29,29.00,0,1,15,15.00,0,0,0
58,1995,1995-10-29,9,31.033,TAM,@,HOU,L 7-19,0,0,,0,,0,0,,0,0.0%,,5,65,13.00,0,1,6,6.00,0,0,0
59,1995,1995-11-12,10,31.047,TAM,@,DET,L 24-27,0,0,,0,,0,0,,0,0.0%,,5,91,18.20,0,1,13,13.00,0,0,0
60,1995,1995-11-19,11,31.054,TAM,,JAX,W 17-16,3,18,6.00,0,,0,0,,0,0.0%,,3,65,21.67,0,4,48,12.00,0,0,0
61,1995,1995-11-26,12,31.061,TAM,@,GNB,L 13-35,0,0,,0,,0,0,,0,0.0%,,6,110,18.33,0,1,0,0.00,0,0,0
62,1995,1995-12-03,13,31.068,TAM,@,MIN,L 17-31,0,0,,0,,1,8,8.00,0,,,3,60,20.00,0,0,0,,0,0,0
63,1995,1995-12-10,14,31.075,TAM,,GNB,W 13-10,0,0,,0,,0,0,,0,0.0%,,2,52,26.00,0,4,27,6.75,0,0,0
64,1995,1995-12-17,15,31.082,TAM,@,CHI,L 10-31,1,7,7.00,0,,0,0,,0,0.0%,,1,14,14.00,0,2,22,11.00,0,0,0
65,1995,1995-12-23,16,31.088,TAM,,DET,L 10-37,0,0,,0,,0,0,,0,0.0%,,5,99,19.80,0,1,8,8.00,0,0,0
