ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1997,1997-08-31,1,24.086,MIA,,IND,W 16-10,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,5,235,47.00,0
2,1997,1997-09-07,2,24.093,MIA,,TEN,W 16-13,,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,,,0,0,,0
3,1997,1997-09-14,3,24.100,MIA,@,GNB,L 18-23,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
4,1997,1997-09-21,4,24.107,MIA,@,TAM,L 21-31,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
5,1997,1997-10-05,5,24.121,MIA,,KAN,W 17-14,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
6,1997,1997-10-12,6,24.128,MIA,@,NYJ,W 31-20,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
7,1997,1997-10-19,7,24.135,MIA,@,BAL,W 24-13,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
8,1997,1997-10-27,8,24.143,MIA,,CHI,L 33-36,,0,0,,0,3,3,100.0,,,,0,3,,,,,,,
9,1997,1997-11-02,9,24.149,MIA,@,BUF,L 6-9,,0,0,,0,,,,2,3,66.7,0,6,0.0,,,0,0,,0
10,1997,1997-11-09,10,24.156,MIA,,NYJ,W 24-17,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
11,1997,1997-11-17,11,24.164,MIA,,BUF,W 30-13,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
12,1997,1997-11-23,12,24.170,MIA,@,NWE,L 24-27,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
13,1997,1997-11-30,13,24.177,MIA,@,OAK,W 34-16,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0.0,,,0,0,,0
14,1997,1997-12-07,14,24.184,MIA,,DET,W 33-30,,0,0,,0,3,3,100.0,4,4,100.0,0,15,0.0,,,0,0,,0
15,1997,1997-12-14,15,24.191,MIA,@,IND,L 0-41,,0,0,,0,,,,,1,0.0,0,0,0.0,,,0,0,,0
16,1997,1997-12-22,16,24.199,MIA,,NWE,L 12-14,,0,0,,0,,,,2,3,66.7,0,6,0.0,,,0,0,,0
17,1998,1998-09-06,1,25.092,MIA,@,IND,W 24-15,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
18,1998,1998-09-13,2,25.099,MIA,,BUF,W 13-7,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
19,1998,1998-09-20,3,25.106,MIA,,PIT,W 21-0,,0,0,,0,3,3,100.0,,,,0,3,,,,,,,
20,1998,1998-10-04,4,25.120,MIA,@,NYJ,L 9-20,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
21,1998,1998-10-12,5,25.128,MIA,@,JAX,L 21-28,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,3,115,38.33,0
22,1998,1998-10-18,6,25.134,MIA,,STL,W 14-0,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
23,1998,1998-10-25,7,25.141,MIA,,NWE,W 12-9,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
24,1998,1998-11-01,8,25.148,MIA,@,BUF,L 24-30,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
25,1998,1998-11-08,9,25.155,MIA,,IND,W 27-14,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
26,1998,1998-11-15,10,25.162,MIA,@,CAR,W 13-9,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
27,1998,1998-11-23,11,25.170,MIA,@,NWE,L 23-26,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
28,1998,1998-11-29,12,25.176,MIA,,NOR,W 30-10,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
29,1998,1998-12-06,13,25.183,MIA,@,OAK,W 27-17,,0,0,,0,3,3,100.0,2,4,50.0,0,9,0.0,,,0,0,,0
30,1998,1998-12-13,14,25.190,MIA,,NYJ,L 16-21,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
31,1998,1998-12-21,15,25.198,MIA,,DEN,W 31-21,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
32,1998,1998-12-27,16,25.204,MIA,@,ATL,L 16-38,,0,0,,0,1,2,50.0,1,1,100.0,0,4,0.0,,,0,0,,0
33,1999,1999-09-13,1,26.099,MIA,@,DEN,W 38-21,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,,,0,0,,0
34,1999,1999-09-19,2,26.105,MIA,,ARI,W 19-16,,0,0,,0,1,1,100.0,4,5,80.0,0,13,0.0,,,1,36,36.00,0
35,1999,1999-10-04,3,26.120,MIA,,BUF,L 18-23,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
36,1999,1999-10-10,4,26.126,MIA,@,IND,W 34-31,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,,,0,0,,0
37,1999,1999-10-17,5,26.133,MIA,@,NWE,W 31-30,,0,0,,0,1,1,100.0,6,6,100.0,0,19,0.0,,,0,0,,0
38,1999,1999-10-24,6,26.140,MIA,,PHI,W 16-13,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
39,1999,1999-10-31,7,26.147,MIA,@,OAK,W 16-9,,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,,,0,0,,0
40,1999,1999-11-07,8,26.154,MIA,,TEN,W 17-0,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
41,1999,1999-11-14,9,26.161,MIA,@,BUF,L 3-23,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
42,1999,1999-11-21,10,26.168,MIA,,NWE,W 27-17,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
43,1999,1999-11-25,11,26.172,MIA,@,DAL,L 0-20,,0,0,,0,,,,,3,0.0,0,0,0.0,,,0,0,,0
44,1999,1999-12-05,12,26.182,MIA,,IND,L 34-37,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
45,1999,1999-12-12,13,26.189,MIA,@,NYJ,L 20-28,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
46,1999,1999-12-19,14,26.196,MIA,,SDG,W 12-9,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
47,1999,1999-12-27,15,26.204,MIA,,NYJ,L 31-38,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
48,1999,2000-01-02,16,26.210,MIA,@,WAS,L 10-21,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
49,2000,2000-09-03,1,27.089,MIA,,SEA,W 23-0,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
50,2000,2000-09-10,2,27.096,MIA,@,MIN,L 7-13,,0,0,,0,1,1,100.0,,,,0,1,,,,,,,
51,2000,2000-09-17,3,27.103,MIA,,BAL,W 19-6,,0,0,,0,1,2,50.0,2,2,100.0,0,7,0.0,,,0,0,,0
52,2000,2000-09-24,4,27.110,MIA,,NWE,W 10-3,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
53,2000,2000-10-01,5,27.117,MIA,@,CIN,W 31-16,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
54,2000,2000-10-08,6,27.124,MIA,,BUF,W 22-13,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
55,2000,2000-10-23,7,27.139,MIA,@,NYJ,L 37-40,,0,0,,0,4,4,100.0,3,4,75.0,0,13,0.0,,,0,0,,0
56,2000,2000-10-29,8,27.145,MIA,,GNB,W 28-20,,0,0,,0,4,4,100.0,,,,0,4,,,,,,,
57,2000,2000-11-05,9,27.152,MIA,@,DET,W 23-8,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
58,2000,2000-11-12,10,27.159,MIA,@,SDG,W 17-7,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
59,2000,2000-11-19,11,27.166,MIA,,NYJ,L 3-20,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
60,2000,2000-11-26,12,27.173,MIA,@,IND,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
61,2000,2000-12-03,13,27.180,MIA,@,BUF,W 33-6,,0,0,,0,3,3,100.0,4,4,100.0,0,15,0.0,,,0,0,,0
62,2000,2000-12-10,14,27.187,MIA,,TAM,L 13-16,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
63,2000,2000-12-17,15,27.194,MIA,,IND,L 13-20,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
64,2000,2000-12-24,16,27.201,MIA,@,NWE,W 27-24,,0,0,,0,3,3,100.0,2,4,50.0,0,9,0.0,,,0,0,,0
65,2001,2001-09-09,1,28.095,MIA,@,TEN,W 31-23,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
66,2001,2001-09-23,2,28.109,MIA,,OAK,W 18-15,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
67,2001,2001-09-30,3,28.116,MIA,@,STL,L 10-42,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
68,2001,2001-10-07,4,28.123,MIA,,NWE,W 30-10,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
69,2001,2001-10-14,5,28.130,MIA,@,NYJ,L 17-21,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
70,2001,2001-10-28,6,28.144,MIA,@,SEA,W 24-20,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
71,2001,2001-11-04,7,28.151,MIA,,CAR,W 23-6,,1,-5,-5.00,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
