ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2005,2005-09-11,1,23.281,SFO,,STL,W 28-25,,1,17,17.00,0,1,75,75.00,1,1,6
2,2005,2005-09-18,2,23.288,SFO,@,PHI,L 3-42,,4,71,17.75,0,1,0,0.00,0,0,0
3,2005,2005-09-25,3,23.295,SFO,,DAL,L 31-34,,2,28,14.00,0,1,10,10.00,0,0,0
4,2005,2005-10-02,4,23.302,SFO,@,ARI,L 14-31,,0,0,,0,2,7,3.50,0,0,0
5,2005,2005-10-09,5,23.309,SFO,,IND,L 3-28,,2,39,19.50,0,1,7,7.00,0,0,0
6,2005,2005-11-20,10,23.351,SFO,,SEA,L 25-27,,0,0,,0,0,0,,0,0,0
7,2005,2005-11-27,11,23.358,SFO,@,TEN,L 22-33,,0,0,,0,3,5,1.67,0,0,0
8,2005,2005-12-04,12,24.000,SFO,,ARI,L 10-17,,0,0,,0,0,0,,0,0,0
9,2005,2005-12-11,13,24.007,SFO,@,SEA,L 3-41,,1,20,20.00,0,0,0,,0,0,0
10,2005,2005-12-18,14,24.014,SFO,@,JAX,L 9-10,,0,0,,0,0,0,,0,0,0
11,2005,2006-01-01,16,24.028,SFO,,HOU,W 20-17,,4,66,16.50,0,2,21,10.50,0,0,0
