ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1972,1972-09-17,1,22.338,SDG,@,SFO,L 3-34,,,,,,,,,,,,,,,,,,,,
2,1972,1972-09-24,2,22.345,SDG,,DEN,W 37-14,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3
3,1972,1972-10-01,3,22.352,SDG,@,OAK,T 17-17,,0,0,,0,0,0,,0,0,,,,,,,1,0.0,0,0
4,1972,1972-10-08,4,22.359,SDG,@,BAL,W 23-20,,,,,,,,,,,,,,,,,,,,
5,1972,1972-10-15,5,23.000,SDG,@,MIA,L 10-24,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
6,1972,1972-10-22,6,23.007,SDG,@,DET,L 20-34,,,,,,,,,,,,,,,,,,,,
7,1972,1972-10-29,7,23.014,SDG,,KAN,L 14-26,,0,0,,0,0,0,,0,0,,,,,,,2,0.0,0,0
8,1972,1972-12-10,13,23.056,SDG,@,DEN,L 13-38,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
9,1972,1972-12-17,14,23.063,SDG,,PIT,L 2-24,,,,,,,,,,,,,,,,,,,,
10,1973,1973-10-28,7,24.013,NOR,,WAS,W 19-3,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,6,66.7,0,13
11,1973,1973-11-04,8,24.020,NOR,,BUF,W 13-0,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7
12,1973,1973-11-11,9,24.027,NOR,@,RAM,L 7-29,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
13,1973,1973-11-18,10,24.034,NOR,@,SDG,L 14-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
14,1973,1973-11-25,11,24.041,NOR,,RAM,L 13-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
15,1973,1973-12-02,12,24.048,NOR,@,GNB,L 10-30,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
16,1973,1973-12-09,13,24.055,NOR,,SFO,W 16-10,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,5,60.0,0,10
17,1973,1973-12-16,14,24.062,NOR,@,ATL,L 10-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
18,1974,1974-09-15,1,24.335,NOR,,SFO,L 13-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
19,1974,1974-09-22,2,24.342,NOR,@,RAM,L 0-24,,,,,,,,,,,,,,,,,,,,
20,1974,1974-09-29,3,24.349,NOR,,ATL,W 14-13,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
21,1974,1974-10-06,4,24.356,NOR,@,CHI,L 10-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
22,1974,1974-10-13,5,24.363,NOR,@,DEN,L 17-33,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5
23,1974,1974-10-20,6,25.005,NOR,@,ATL,W 13-3,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,1,100.0,2,3,66.7,0,7
24,1974,1974-10-27,7,25.012,NOR,,PHI,W 14-10,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
25,1974,1974-11-03,8,25.019,NOR,@,DET,L 14-19,,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2
26,1974,1974-11-10,9,25.026,NOR,,MIA,L 0-21,,,,,,,,,,,,,,,,,,,,
27,1974,1974-11-17,10,25.033,NOR,,RAM,W 20-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
28,1974,1974-11-25,11,25.041,NOR,,PIT,L 7-28,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
29,1974,1974-12-01,12,25.047,NOR,@,MIN,L 9-29,,0,0,,0,0,0,,0,0,,,,1,0.0,1,2,50.0,0,3
30,1974,1974-12-08,13,25.054,NOR,,STL,W 14-0,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
31,1974,1974-12-15,14,25.061,NOR,@,SFO,L 21-35,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
32,1975,1975-09-21,1,25.341,NOR,@,WAS,L 3-41,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3
33,1975,1975-09-28,2,25.348,NOR,,CIN,L 0-21,,,,,,,,,,,,,,,,,,,,
34,1975,1975-10-05,3,25.355,NOR,@,ATL,L 7-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,,3,0.0,0,1
