ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-09-16,1,24.044,BAL,@,CLE,L 14-24,2,2,100.0,,2,0.0,0,2,0,0,,0
2,1973,1973-09-23,2,24.051,BAL,,NYJ,L 10-34,1,1,100.0,1,1,100.0,0,4,0,0,,0
3,1973,1973-09-30,3,24.058,BAL,,NOR,W 14-10,2,2,100.0,,1,0.0,0,2,0,0,,0
4,1973,1973-10-07,4,24.065,BAL,@,NWE,L 16-24,1,1,100.0,3,3,100.0,0,10,0,0,,0
5,1973,1973-10-14,5,24.072,BAL,@,BUF,L 13-31,1,1,100.0,2,2,100.0,0,7,0,0,,0
6,1973,1973-10-21,6,24.079,BAL,@,DET,W 29-27,2,2,100.0,3,3,100.0,0,11,0,0,,0
7,1973,1973-10-28,7,24.086,BAL,,OAK,L 21-34,3,3,100.0,,,,0,3,,,,
8,1973,1973-11-04,8,24.093,BAL,,HOU,L 27-31,3,3,100.0,2,4,50.0,0,9,0,0,,0
9,1973,1973-11-11,9,24.100,BAL,@,MIA,L 0-44,,,,,,,,,,,,
10,1973,1973-11-18,10,24.107,BAL,@,WAS,L 14-22,2,2,100.0,,1,0.0,0,2,0,0,,0
11,1973,1973-11-25,11,24.114,BAL,,BUF,L 17-24,2,2,100.0,1,4,25.0,0,5,0,0,,0
12,1973,1973-12-02,12,24.121,BAL,@,NYJ,L 17-20,2,2,100.0,1,3,33.3,0,5,0,0,,0
13,1973,1973-12-09,13,24.128,BAL,,MIA,W 16-3,1,2,50.0,1,2,50.0,0,4,0,0,,0
14,1973,1973-12-16,14,24.135,BAL,,NWE,W 18-13,,1,0.0,2,2,100.0,0,6,0,0,,0
15,1975,1975-09-21,1,26.049,NYG,@,PHI,W 23-14,2,3,66.7,1,3,33.3,0,5,0,0,,0
16,1975,1975-09-28,2,26.056,NYG,@,WAS,L 13-49,1,2,50.0,,,,0,1,,,,
17,1975,1975-10-05,3,26.063,NYG,@,STL,L 14-26,2,2,100.0,,,,0,2,2,47,23.50,0
18,1975,1975-10-12,4,26.070,NYG,,DAL,L 7-13,1,1,100.0,,,,0,1,1,6,6.00,0
19,1975,1975-10-20,5,26.078,NYG,@,BUF,W 17-14,2,2,100.0,1,3,33.3,0,5,0,0,,0
20,1975,1975-10-25,6,26.083,NYG,,STL,L 13-20,1,2,50.0,,1,0.0,0,1,1,29,29.00,0
21,1975,1975-11-01,7,26.090,NYG,,SDG,W 35-24,5,5,100.0,,,,0,5,,,,
22,1975,1975-11-09,8,26.098,NYG,,WAS,L 13-21,1,1,100.0,2,2,100.0,0,7,1,33,33.00,0
23,1975,1975-11-16,9,26.105,NYG,,PHI,L 10-13,1,1,100.0,1,1,100.0,0,4,0,0,,0
24,1975,1975-11-23,10,26.112,NYG,@,GNB,L 14-40,2,2,100.0,,,,0,2,,,,
25,1975,1975-11-30,11,26.119,NYG,@,DAL,L 3-14,,,,1,1,100.0,0,3,1,24,24.00,0
26,1975,1975-12-07,12,26.126,NYG,,BAL,L 0-21,,,,,,,,,,,,
27,1975,1975-12-14,13,26.133,NYG,,NOR,W 28-14,4,4,100.0,,,,0,4,1,35,35.00,0
28,1975,1975-12-21,14,26.140,NYG,@,SFO,W 26-23,2,4,50.0,,,,0,2,1,24,24.00,0
