ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,22.006,ARI,@,SFO,W 23-13,,0,0,,0,,0,0,0.0,0,1,0,0,0
2,2008,2008-09-14,2,22.013,ARI,,MIA,W 31-10,,0,0,,0,,0,0,0.0,3,0,0,0,0
3,2008,2008-09-21,3,22.020,ARI,@,WAS,L 17-24,,0,0,,0,,0,0,0.0,1,1,0,0,0
4,2008,2008-09-28,4,22.027,ARI,@,NYJ,L 35-56,,,,,,,,,,,,,,
5,2008,2008-10-05,5,22.034,ARI,,BUF,W 41-17,,0,0,,0,,0,0,0.0,1,0,0,0,0
6,2008,2008-10-12,6,22.041,ARI,,DAL,W 30-24,,1,0,0.00,0,,0,0,0.0,2,0,0,0,0
7,2008,2008-10-26,7,22.055,ARI,@,CAR,L 23-27,,1,16,16.00,0,,0,0,0.0,1,1,0,0,0
8,2008,2008-11-02,8,22.062,ARI,@,STL,W 34-13,,0,0,,0,,0,0,0.0,1,0,0,0,0
9,2008,2008-11-10,9,22.070,ARI,,SFO,W 29-24,,0,0,,0,,0,0,0.0,0,0,0,0,0
10,2008,2008-11-16,10,22.076,ARI,@,SEA,W 26-20,,0,0,,0,,0,0,0.0,0,0,0,0,0
11,2008,2008-11-23,11,22.083,ARI,,NYG,L 29-37,,0,0,,0,,0,0,0.0,0,0,0,0,0
12,2008,2008-11-27,12,22.087,ARI,@,PHI,L 20-48,,0,0,,0,,0,0,0.0,0,1,0,0,0
13,2008,2008-12-07,13,22.097,ARI,,STL,W 34-10,,0,0,,0,,0,0,0.0,1,0,0,0,0
14,2008,2008-12-14,14,22.104,ARI,,MIN,L 14-35,,0,0,,0,,0,0,0.0,3,1,0,0,0
15,2008,2008-12-21,15,22.111,ARI,@,NWE,L 7-47,,0,0,,0,,0,0,0.0,3,0,0,0,0
16,2008,2008-12-28,16,22.118,ARI,,SEA,W 34-21,,0,0,,0,,0,0,0.0,1,0,0,0,0
