ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1966,1966-09-11,1,23.193,DET,,CHI,W 14-3,0,0,,0,1,36,36.00,0,1,4,4.00,0
2,1966,1966-09-18,2,23.200,DET,@,PIT,L 3-17,0,0,,0,0,0,,0,1,0,0.00,0
3,1966,1966-09-25,3,23.207,DET,,ATL,W 28-10,0,0,,0,0,0,,0,1,10,10.00,0
4,1966,1966-10-02,4,23.214,DET,@,GNB,L 14-23,0,0,,0,0,0,,0,2,-2,-1.00,0
5,1966,1966-11-24,12,23.267,DET,,SFO,L 14-41,0,0,,0,2,69,34.50,0,0,0,,0
6,1966,1966-12-11,14,23.284,DET,,MIN,L 16-28,2,6,3.00,0,0,0,,0,0,0,,0
