ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1991,1991-11-10,10,23.165,SDG,,SEA,W 17-14,,0,0,,0,,,,
2,1991,1991-11-17,11,23.172,SDG,,NOR,W 24-21,,1,6,6.00,0,,,0,0
3,1991,1991-11-24,12,23.179,SDG,@,NYJ,L 3-24,,0,0,,0,,,,
4,1991,1991-12-01,13,23.186,SDG,,RAI,L 7-9,,0,0,,0,,,,
5,1991,1991-12-08,14,23.193,SDG,@,KAN,L 17-20,,0,0,,0,,,,
6,1991,1991-12-15,15,23.200,SDG,,MIA,W 38-30,,0,0,,0,,,,
7,1991,1991-12-22,16,23.207,SDG,,DEN,L 14-17,,1,6,6.00,0,,,0,0
8,1992,1992-09-06,1,24.100,SDG,,KAN,L 10-24,,0,0,,0,0.0%,,,
9,1992,1992-09-13,2,24.107,SDG,@,DEN,L 13-21,1,0,0,,0,0.0%,0.00,,
10,1992,1992-09-20,3,24.114,SDG,,PIT,L 6-23,,0,0,,0,0.0%,,,
11,1992,1992-09-27,4,24.121,SDG,@,HOU,L 0-27,1,1,13,13.00,0,100.0%,13.00,0,0
12,1992,1992-10-04,5,24.128,SDG,,SEA,W 17-6,,0,0,,0,0.0%,,,
13,1992,1992-10-18,6,24.142,SDG,@,IND,W 34-14,1,1,9,9.00,0,100.0%,9.00,0,0
14,1992,1992-10-25,7,24.149,SDG,,DEN,W 24-21,,0,0,,0,0.0%,,,
15,1992,1992-11-01,8,24.156,SDG,,IND,W 26-0,2,2,23,11.50,0,100.0%,11.50,0,0
16,1992,1992-11-08,9,24.163,SDG,@,KAN,L 14-16,1,0,0,,0,0.0%,0.00,,
17,1992,1992-11-15,10,24.170,SDG,@,CLE,W 14-13,,0,0,,0,0.0%,,,
18,1992,1992-11-22,11,24.177,SDG,,TAM,W 29-14,,0,0,,0,0.0%,,,
19,1992,1992-11-29,12,24.184,SDG,,RAI,W 27-3,,0,0,,0,0.0%,,,
20,1992,1992-12-06,13,24.191,SDG,@,PHO,W 27-21,,0,0,,0,0.0%,,,
21,1992,1992-12-13,14,24.198,SDG,,CIN,W 27-10,,0,0,,0,0.0%,,,
22,1992,1992-12-20,15,24.205,SDG,@,RAI,W 36-14,1,0,0,,0,0.0%,0.00,,
23,1992,1992-12-27,16,24.212,SDG,@,SEA,W 31-14,,0,0,,0,0.0%,,,
24,1993,1993-09-05,1,25.099,SDG,,SEA,W 18-12,,0,0,,0,0.0%,,,
25,1993,1993-09-12,2,25.106,SDG,@,DEN,L 17-34,,0,0,,0,0.0%,,,
26,1993,1993-09-19,3,25.113,SDG,,HOU,W 18-17,,0,0,,0,0.0%,,,
27,1993,1993-10-03,4,25.127,SDG,@,SEA,L 14-31,,0,0,,0,0.0%,,,
28,1993,1993-10-10,5,25.134,SDG,@,PIT,L 3-16,,0,0,,0,0.0%,,,
29,1993,1993-10-17,6,25.141,SDG,,KAN,L 14-17,3,1,5,5.00,0,33.3%,1.67,0,0
30,1993,1993-10-31,7,25.155,SDG,@,RAI,W 30-23,,0,0,,0,0.0%,,,
31,1993,1993-11-07,8,25.162,SDG,@,MIN,W 30-17,,0,0,,0,0.0%,,,
32,1993,1993-11-14,9,25.169,SDG,,CHI,L 13-16,1,0,0,,0,0.0%,0.00,,
33,1993,1993-11-21,10,25.176,SDG,,RAI,L 7-12,1,1,5,5.00,0,100.0%,5.00,0,0
34,1993,1993-11-29,11,25.184,SDG,@,IND,W 31-0,1,1,7,7.00,0,100.0%,7.00,0,0
35,1993,1993-12-05,12,25.190,SDG,,DEN,W 13-10,,0,0,,0,0.0%,,,
36,1993,1993-12-12,13,25.197,SDG,,GNB,L 13-20,,0,0,,0,0.0%,,,
37,1993,1993-12-19,14,25.204,SDG,@,KAN,L 24-28,1,1,3,3.00,1,100.0%,3.00,1,6
38,1993,1993-12-27,15,25.212,SDG,,MIA,W 45-20,,0,0,,0,0.0%,,,
39,1993,1994-01-02,16,25.218,SDG,@,TAM,W 32-17,2,2,21,10.50,1,100.0%,10.50,1,6
40,1994,1994-09-11,2,26.105,SDG,,CIN,W 27-10,1,1,18,18.00,0,100.0%,18.00,0,0
41,1994,1994-09-18,3,26.112,SDG,@,SEA,W 24-10,0,0,0,,0,0.0%,,,
42,1994,1994-09-25,4,26.119,SDG,@,RAI,W 26-24,1,1,5,5.00,0,100.0%,5.00,0,0
43,1994,1994-10-09,5,26.133,SDG,,KAN,W 20-6,2,2,27,13.50,0,100.0%,13.50,0,0
44,1994,1994-10-16,6,26.140,SDG,@,NOR,W 36-22,4,3,41,13.67,0,75.0%,10.25,0,0
45,1994,1994-10-23,7,26.147,SDG,,DEN,L 15-20,,0,0,,0,0.0%,,,
46,1994,1994-10-30,8,26.154,SDG,,SEA,W 35-15,1,1,14,14.00,0,100.0%,14.00,0,0
47,1994,1994-11-06,9,26.161,SDG,@,ATL,L 9-10,1,1,6,6.00,0,100.0%,6.00,0,0
48,1994,1994-11-13,10,26.168,SDG,@,KAN,W 14-13,3,1,5,5.00,1,33.3%,1.67,1,6
49,1994,1994-11-20,11,26.175,SDG,@,NWE,L 17-23,5,4,69,17.25,0,80.0%,13.80,0,0
50,1994,1994-11-27,12,26.182,SDG,,RAM,W 31-17,1,0,0,,0,0.0%,0.00,,
51,1994,1994-12-05,13,26.190,SDG,,RAI,L 17-24,1,1,6,6.00,0,100.0%,6.00,0,0
52,1994,1994-12-18,15,26.203,SDG,@,NYJ,W 21-6,3,2,26,13.00,0,66.7%,8.67,0,0
53,1994,1994-12-24,16,26.209,SDG,,PIT,W 37-34,,0,0,,0,0.0%,,,
54,1995,1995-09-03,1,27.097,SDG,@,OAK,L 7-17,1,0,0,,0,0.0%,0.00,,
55,1995,1995-09-10,2,27.104,SDG,,SEA,W 14-10,,0,0,,0,0.0%,,,
56,1995,1995-09-17,3,27.111,SDG,@,PHI,W 27-21,0,0,0,,0,0.0%,,,
57,1995,1995-09-24,4,27.118,SDG,,DEN,W 17-6,1,0,0,,0,0.0%,0.00,,
