ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,23.148,NYJ,,CIN,L 22-23,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,1
2,2016,2016-09-15,2,23.152,NYJ,@,BUF,W 37-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
3,2016,2016-09-25,3,23.162,NYJ,@,KAN,L 3-24,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
4,2017,2017-09-17,2,24.154,NYJ,@,OAK,L 20-45,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
5,2017,2017-09-24,3,24.161,NYJ,,MIA,W 20-6,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0.0,0,0
6,2017,2017-10-01,4,24.168,NYJ,,JAX,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2017,2017-10-08,5,24.175,NYJ,@,CLE,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
8,2017,2017-10-15,6,24.182,NYJ,,NWE,L 17-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
9,2017,2017-10-22,7,24.189,NYJ,@,MIA,L 28-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
10,2017,2017-10-29,8,24.196,NYJ,,ATL,L 20-25,,2,2,11,5.50,0,100.0%,5.50,1,0,0.00,0,0.0,0,0
11,2017,2017-11-12,10,24.210,NYJ,@,TAM,L 10-15,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
12,2017,2017-11-26,11,24.224,NYJ,,CAR,L 27-35,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
13,2017,2017-12-03,12,24.231,NYJ,,KAN,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
14,2017,2017-12-10,13,24.238,NYJ,@,DEN,L 0-23,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0.0,0,0
15,2017,2017-12-17,14,24.245,NYJ,@,NOR,L 19-31,,0,0,0,,0,0.0%,,1,1,1.00,0,0.0,0,0
16,2017,2017-12-24,15,24.252,NYJ,,LAC,L 7-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
17,2017,2017-12-31,16,24.259,NYJ,@,NWE,L 6-26,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
