ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1990,1990-09-09,1,21.233,SDG,@,DAL,L 14-17,,,,,,,,,,,,,,
2,1990,1990-09-16,2,21.240,SDG,,CIN,L 16-21,,,,,,,,,,,,,,
3,1990,1990-09-23,3,21.247,SDG,@,CLE,W 24-14,,,,,,,,,,,,,,
4,1990,1990-09-30,4,21.254,SDG,,HOU,L 7-17,,,,,,,,,,,,,,
5,1990,1990-10-07,5,21.261,SDG,@,PIT,L 14-36,,,,,,,,,,,,,,
6,1990,1990-10-14,6,21.268,SDG,@,NYJ,W 39-3,,,,,,,,,,,,,,
7,1990,1990-10-21,7,21.275,SDG,,RAI,L 9-24,,,,,,,,,,,,,,
8,1990,1990-10-28,8,21.282,SDG,,TAM,W 41-10,,,,,,,,,,,,,,
9,1990,1990-11-04,9,21.289,SDG,@,SEA,W 31-14,,,,,,,,,,,,,,
10,1990,1990-11-11,10,21.296,SDG,,DEN,W 19-7,,,,,,,,,,,,,,
11,1990,1990-11-18,11,21.303,SDG,@,KAN,L 10-27,,,,,,,,,,,,,,
12,1990,1990-11-25,12,21.310,SDG,,SEA,L 10-13,,,,,,,,,,,,,,
13,1990,1990-12-02,13,21.317,SDG,,NYJ,W 38-17,,,,,,,,,,,,,,
14,1990,1990-12-16,14,21.331,SDG,@,DEN,L 10-20,,,,,,,,,,,,,,
15,1990,1990-12-23,15,21.338,SDG,,KAN,L 21-24,,,,,,,,,,,,,,
16,1990,1990-12-30,16,21.345,SDG,@,RAI,L 12-17,,,0,0,,0,,,1.0,,,0,0,0
17,1991,1991-09-01,1,22.225,SDG,@,PIT,L 20-26,,,,,,,,,,,,,,
18,1991,1991-09-08,2,22.232,SDG,@,SFO,L 14-34,,,,,,,,,,,,,,
19,1991,1991-09-15,3,22.239,SDG,,ATL,L 10-13,,,0,0,,0,,,1.0,,,0,0,0
20,1991,1991-09-22,4,22.246,SDG,@,DEN,L 19-27,,,0,0,,0,,,1.0,,,0,0,0
21,1991,1991-09-29,5,22.253,SDG,,KAN,L 13-14,,,0,0,,0,,,1.0,,,0,0,0
22,1991,1991-10-06,6,22.260,SDG,@,RAI,W 21-13,,,,,,,,,,,,,,
23,1991,1991-10-13,7,22.267,SDG,@,RAM,L 24-30,,,0,0,,0,,,1.0,,,0,0,0
24,1991,1991-10-20,8,22.274,SDG,,CLE,L 24-30,,,0,0,,0,,,1.0,,,0,0,0
25,1991,1991-10-27,9,22.281,SDG,@,SEA,L 9-20,,,,,,,,,,,,,,
26,1991,1991-11-10,10,22.295,SDG,,SEA,W 17-14,,,,,,,,,,,,,,
27,1991,1991-11-17,11,22.302,SDG,,NOR,W 24-21,,,,,,,,,,,,,,
28,1991,1991-11-24,12,22.309,SDG,@,NYJ,L 3-24,,,0,0,,0,,,1.0,,,0,0,0
29,1991,1991-12-01,13,22.316,SDG,,RAI,L 7-9,,,,,,,,,,,,,,
30,1991,1991-12-08,14,22.323,SDG,@,KAN,L 17-20,,,,,,,,,,,,,,
31,1991,1991-12-15,15,22.330,SDG,,MIA,W 38-30,,,,,,,,,,,,,,
32,1991,1991-12-22,16,22.337,SDG,,DEN,L 14-17,,,0,0,,0,,,1.0,,,0,0,0
33,1992,1992-09-06,1,23.231,SDG,,KAN,L 10-24,,,0,0,,0,0.0%,,1.5,,,1,22,0
34,1992,1992-09-13,2,23.238,SDG,@,DEN,L 13-21,,,,,,,0.0%,,,,,,,
35,1992,1992-09-20,3,23.245,SDG,,PIT,L 6-23,,,,,,,0.0%,,,,,,,
36,1992,1992-09-27,4,23.252,SDG,@,HOU,L 0-27,,,,,,,0.0%,,,,,,,
37,1992,1992-10-04,5,23.259,SDG,,SEA,W 17-6,,,,,,,0.0%,,,,,,,
38,1992,1992-10-25,7,23.280,SDG,,DEN,W 24-21,,,,,,,0.0%,,,,,,,
39,1992,1992-11-01,8,23.287,SDG,,IND,W 26-0,,,,,,,0.0%,,,,,,,
40,1992,1992-11-08,9,23.294,SDG,@,KAN,L 14-16,,,,,,,0.0%,,,,,,,
41,1992,1992-11-15,10,23.301,SDG,@,CLE,W 14-13,,,,,,,0.0%,,,,,,,
42,1992,1992-11-22,11,23.308,SDG,,TAM,W 29-14,,,0,0,,0,0.0%,,1.0,,,0,0,0
43,1992,1992-11-29,12,23.315,SDG,,RAI,W 27-3,,,,,,,0.0%,,,,,,,
44,1992,1992-12-06,13,23.322,SDG,@,PHO,W 27-21,,,0,0,,0,0.0%,,1.0,,,0,0,0
45,1992,1992-12-13,14,23.329,SDG,,CIN,W 27-10,,,,,,,0.0%,,,,,,,
46,1992,1992-12-20,15,23.336,SDG,@,RAI,W 36-14,,,0,0,,0,0.0%,,1.0,,,1,29,0
47,1992,1992-12-27,16,23.343,SDG,@,SEA,W 31-14,,,,,,,0.0%,,,,,,,
48,1993,1993-09-05,1,24.229,SDG,,SEA,W 18-12,,,,,,,0.0%,,,,,,,
49,1993,1993-09-12,2,24.236,SDG,@,DEN,L 17-34,,,,,,,0.0%,,,,,,,
50,1993,1993-09-19,3,24.243,SDG,,HOU,W 18-17,,,0,0,,0,0.0%,,0.0,,,2,58,0
51,1993,1993-10-03,4,24.257,SDG,@,SEA,L 14-31,,,,,,,0.0%,,,,,,,
52,1993,1993-10-10,5,24.264,SDG,@,PIT,L 3-16,,,,,,,0.0%,,,,,,,
53,1993,1993-10-17,6,24.271,SDG,,KAN,L 14-17,,,,,,,0.0%,,,,,,,
54,1993,1993-10-31,7,24.285,SDG,@,RAI,W 30-23,,,,,,,0.0%,,,,,,,
55,1993,1993-11-07,8,24.292,SDG,@,MIN,W 30-17,,,,,,,0.0%,,,,,,,
56,1993,1993-11-14,9,24.299,SDG,,CHI,L 13-16,,,,,,,0.0%,,,,,,,
57,1993,1993-11-21,10,24.306,SDG,,RAI,L 7-12,,,,,,,0.0%,,,,,,,
58,1993,1993-11-29,11,24.314,SDG,@,IND,W 31-0,,,,,,,0.0%,,,,,,,
59,1993,1993-12-05,12,24.320,SDG,,DEN,W 13-10,,,,,,,0.0%,,,,,,,
60,1993,1993-12-12,13,24.327,SDG,,GNB,L 13-20,,,,,,,0.0%,,,,,,,
61,1993,1993-12-19,14,24.334,SDG,@,KAN,L 24-28,,,,,,,0.0%,,,,,,,
62,1993,1993-12-27,15,24.342,SDG,,MIA,W 45-20,,,,,,,0.0%,,,,,,,
63,1993,1994-01-02,16,24.348,SDG,@,TAM,W 32-17,,,,,,,0.0%,,,,,,,
64,1994,1994-09-04,1,25.228,SDG,@,DEN,W 37-34,,0,0,0,,0,0.0%,,1.5,,,0,0,0
65,1994,1994-09-11,2,25.235,SDG,,CIN,W 27-10,,,,,,,0.0%,,,,,,,
66,1994,1994-09-18,3,25.242,SDG,@,SEA,W 24-10,,0,0,0,,0,0.0%,,1.0,,,0,0,0
67,1994,1994-09-25,4,25.249,SDG,@,RAI,W 26-24,,0,0,0,,0,0.0%,,2.0,,,0,0,0
68,1994,1994-10-09,5,25.263,SDG,,KAN,W 20-6,,,,,,,0.0%,,,,,,,
69,1994,1994-10-16,6,25.270,SDG,@,NOR,W 36-22,,,,,,,0.0%,,,,,,,
70,1994,1994-10-23,7,25.277,SDG,,DEN,L 15-20,,0,0,0,,0,0.0%,,1.0,,,0,0,0
71,1994,1994-10-30,8,25.284,SDG,,SEA,W 35-15,,,,,,,0.0%,,,,,,,
72,1994,1994-11-06,9,25.291,SDG,@,ATL,L 9-10,,,,,,,0.0%,,,,,,,
73,1994,1994-11-13,10,25.298,SDG,@,KAN,W 14-13,,,,,,,0.0%,,,,,,,
74,1994,1994-11-20,11,25.305,SDG,@,NWE,L 17-23,,,,,,,0.0%,,,,,,,
75,1994,1994-11-27,12,25.312,SDG,,RAM,W 31-17,,,,,,,0.0%,,,,,,,
76,1994,1994-12-05,13,25.320,SDG,,RAI,L 17-24,,,,,,,0.0%,,,,,,,
77,1994,1994-12-11,14,25.326,SDG,,SFO,L 15-38,,,,,,,0.0%,,,,,,,
78,1994,1994-12-18,15,25.333,SDG,@,NYJ,W 21-6,,,,,,,0.0%,,,,,,,
79,1994,1994-12-24,16,25.339,SDG,,PIT,W 37-34,,,,,,,0.0%,,,,,,,
80,1995,1995-09-03,1,26.227,SDG,@,OAK,L 7-17,,,,,,,0.0%,,,,,,,
81,1995,1995-09-10,2,26.234,SDG,,SEA,W 14-10,,,,,,,0.0%,,,,,,,
82,1995,1995-09-17,3,26.241,SDG,@,PHI,W 27-21,,,,,,,0.0%,,,,,,,
83,1995,1995-09-24,4,26.248,SDG,,DEN,W 17-6,,,,,,,0.0%,,,,,,,
84,1995,1995-10-01,5,26.255,SDG,@,PIT,L 16-31,,,,,,,0.0%,,,,,,,
85,1995,1995-10-09,6,26.263,SDG,@,KAN,L 23-29,,,,,,,0.0%,,,,,,,
86,1995,1995-10-15,7,26.269,SDG,,DAL,L 9-23,,,,,,,0.0%,,,,,,,
87,1995,1995-10-22,8,26.276,SDG,@,SEA,W 35-25,,0,0,0,,0,0.0%,,1.0,,,0,0,0
88,1995,1995-11-05,9,26.290,SDG,,MIA,L 14-24,,0,0,0,,0,0.0%,,0.0,,,1,3,0
89,1995,1995-11-12,10,26.297,SDG,,KAN,L 7-22,,0,0,0,,0,0.0%,,1.0,,,0,0,0
90,1995,1995-11-19,11,26.304,SDG,@,DEN,L 27-30,,0,0,0,,0,0.0%,,0.0,,,1,2,0
91,1995,1995-11-27,12,26.312,SDG,,OAK,W 12-6,,,,,,,0.0%,,,,,,,
92,1995,1995-12-03,13,26.318,SDG,,CLE,W 31-13,,,,,,,0.0%,,,,,,,
93,1995,1995-12-09,14,26.324,SDG,,ARI,W 28-25,,,,,,,0.0%,,,,,,,
94,1995,1995-12-17,15,26.332,SDG,@,IND,W 27-24,,,,,,,0.0%,,,,,,,
95,1995,1995-12-23,16,26.338,SDG,@,NYG,W 27-17,,,,,,,0.0%,,,,,,,
96,1996,1996-09-01,1,27.226,SDG,,SEA,W 29-7,,0,0,0,,0,0.0%,,1.0,,,0,0,0
97,1996,1996-09-08,2,27.233,SDG,,CIN,W 27-14,,,,,,,0.0%,,,,,,,
98,1996,1996-09-15,3,27.240,SDG,@,GNB,L 10-42,,,,,,,0.0%,,,,,,,
99,1996,1996-09-22,4,27.247,SDG,@,OAK,W 40-34,,0,0,0,,0,0.0%,,1.0,,,0,0,0
100,1996,1996-09-29,5,27.254,SDG,,KAN,W 22-19,,0,0,0,,0,0.0%,,1.0,,,2,18,0
101,1996,1996-10-06,6,27.261,SDG,@,DEN,L 17-28,,,,,,,0.0%,,,,,,,
102,1996,1996-10-21,7,27.276,SDG,,OAK,L 14-23,,,,,,,0.0%,,,,,,,
103,1996,1996-11-03,9,27.289,SDG,@,IND,W 26-19,,0,0,0,,0,0.0%,,2.0,,,0,0,0
104,1996,1996-11-11,10,27.297,SDG,,DET,W 27-21,,,,,,,0.0%,,,,,,,
105,1996,1996-11-17,11,27.303,SDG,,TAM,L 17-25,,,,,,,0.0%,,,,,,,
106,1996,1996-11-24,12,27.310,SDG,@,KAN,W 28-14,,,,,,,0.0%,,,,,,,
107,1996,1996-12-01,13,27.317,SDG,,NWE,L 7-45,,,,,,,0.0%,,,,,,,
108,1996,1996-12-08,14,27.324,SDG,@,PIT,L 3-16,,,,,,,0.0%,,,,,,,
109,1996,1996-12-14,15,27.330,SDG,@,CHI,L 14-27,,0,0,0,,0,0.0%,,2.0,,,0,0,0
110,1996,1996-12-22,16,27.338,SDG,,DEN,W 16-10,,,,,,,0.0%,,,,,,,
111,1997,1997-09-07,2,28.231,SDG,@,NOR,W 20-6,,0,0,0,,0,0.0%,,1.0,,,0,0,0
112,1997,1997-09-14,3,28.238,SDG,,CAR,L 7-26,,0,0,0,,0,0.0%,,0.0,,,1,26,0
113,1997,1997-09-21,4,28.245,SDG,@,SEA,L 22-26,,0,0,0,,0,0.0%,,1.0,,,0,0,0
114,1997,1997-09-28,5,28.252,SDG,,BAL,W 21-17,,0,0,0,,0,0.0%,,1.0,,,0,0,0
115,1997,1997-10-05,6,28.259,SDG,@,OAK,W 25-10,,0,0,0,,0,0.0%,,1.0,,,0,0,0
116,1997,1997-10-16,7,28.270,SDG,@,KAN,L 3-31,,,,,,,0.0%,,,,,,,
117,1997,1997-10-26,8,28.280,SDG,,IND,W 35-19,,,,,,,0.0%,,,,,,,
118,1997,1997-11-02,9,28.287,SDG,@,CIN,L 31-38,,0,0,0,,0,0.0%,,1.0,,,0,0,0
119,1997,1997-11-09,10,28.294,SDG,,SEA,L 31-37,,0,0,0,,0,0.0%,,1.0,,,0,0,0
120,1997,1997-11-16,11,28.301,SDG,,OAK,L 13-38,,,,,,,0.0%,,,,,,,
121,1997,1997-11-23,12,28.308,SDG,@,SFO,L 10-17,,0,0,0,,0,0.0%,,1.0,,,0,0,0
122,1997,1997-11-30,13,28.315,SDG,,DEN,L 28-38,,,,,,,0.0%,,,,,,,
123,1997,1997-12-07,14,28.322,SDG,,ATL,L 3-14,,,,,,,0.0%,,,,,,,
124,1997,1997-12-14,15,28.329,SDG,,KAN,L 7-29,,,,,,,0.0%,,,,,,,
125,1997,1997-12-21,16,28.336,SDG,@,DEN,L 3-38,,0,0,0,,0,0.0%,,0.0,,,1,7,0
126,1998,1998-09-06,1,29.230,SDG,,BUF,W 16-14,,,,,,,0.0%,,,,,,,
127,1998,1998-09-13,2,29.237,SDG,@,TEN,W 13-7,,,,,,,0.0%,,,,,,,
128,1998,1998-09-20,3,29.244,SDG,@,KAN,L 7-23,,,,,,,0.0%,,,,,,,
129,1998,1998-09-27,4,29.251,SDG,,NYG,L 16-34,,,,,,,0.0%,,,,,,,
130,1998,1998-10-04,5,29.258,SDG,@,IND,L 12-17,,,,,,,0.0%,,,,,,,
131,1998,1998-10-11,6,29.265,SDG,@,OAK,L 6-7,,,,,,,0.0%,,,,,,,
