ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,25.105,RAI,,MIN,W 24-7,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
2,1993,1993-09-12,2,25.112,RAI,@,SEA,W 17-13,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
3,1993,1993-09-19,3,25.119,RAI,,CLE,L 16-19,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
4,1994,1994-09-05,1,26.105,RAI,@,SFO,L 14-44,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0
5,1994,1994-09-11,2,26.111,RAI,,SEA,L 9-38,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0
6,1994,1994-09-18,3,26.118,RAI,@,DEN,W 48-16,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0
7,1994,1994-09-25,4,26.125,RAI,,SDG,L 24-26,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0
8,1994,1994-10-09,5,26.139,RAI,@,NWE,W 21-17,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
9,1994,1994-10-16,6,26.146,RAI,@,MIA,L 17-20,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,0,,,0,0,,0,0,0,,0,0,0
10,1994,1994-10-23,7,26.153,RAI,,ATL,W 30-17,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
11,1994,1994-11-13,10,26.174,RAI,@,RAM,W 20-17,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
12,1994,1994-11-20,11,26.181,RAI,,NOR,W 24-19,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
13,1994,1994-12-11,14,26.202,RAI,,DEN,W 23-13,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
14,1995,1995-09-03,1,27.103,OAK,,SDG,W 17-7,4,2,27,13.50,0,50.0%,6.75,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
15,1995,1995-09-10,2,27.110,OAK,@,WAS,W 20-8,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
16,1995,1995-09-17,3,27.117,OAK,@,KAN,L 17-23,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
17,1995,1995-09-24,4,27.124,OAK,,PHI,W 48-17,9,7,135,19.29,1,77.8%,15.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
