ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,26.179,KAN,,MIN,W 24-21,,1,16,16.00,0,,,0,0,,0,0,0
2,1990,1990-09-17,2,26.187,KAN,@,DEN,L 23-24,,0,0,,0,,,0,0,,0,,
3,1990,1990-09-23,3,26.193,KAN,@,GNB,W 17-3,,0,0,,0,,,0,0,,0,,
4,1990,1990-09-30,4,26.200,KAN,,CLE,W 34-0,,0,0,,0,,,0,0,,0,,
5,1990,1990-10-07,5,26.207,KAN,@,IND,L 19-23,,0,0,,0,,,0,0,,0,,
6,1990,1990-10-14,6,26.214,KAN,,DET,W 43-24,,0,0,,0,,,0,0,,0,,
7,1990,1990-10-21,7,26.221,KAN,@,SEA,L 7-19,,0,0,,0,,,0,0,,0,,
8,1990,1990-11-04,8,26.235,KAN,,RAI,W 9-7,,0,0,,0,,,0,0,,0,,
9,1990,1990-11-11,9,26.242,KAN,,SEA,L 16-17,,0,0,,0,,,0,0,,0,,
10,1990,1990-11-18,10,26.249,KAN,,SDG,W 27-10,,0,0,,0,,,0,0,,0,,
11,1990,1990-11-25,11,26.256,KAN,@,RAI,W 27-24,,0,0,,0,,,0,0,,0,,
12,1990,1990-12-02,12,26.263,KAN,@,NWE,W 37-7,,0,0,,0,,,0,0,,0,,
13,1990,1990-12-09,13,26.270,KAN,,DEN,W 31-20,,1,1,1.00,1,,,0,0,,0,1,6
14,1990,1990-12-16,14,26.277,KAN,,HOU,L 10-27,,0,0,,0,,,0,0,,0,,
15,1990,1990-12-23,15,26.284,KAN,@,SDG,W 24-21,,0,0,,0,,,0,0,,0,,
16,1990,1990-12-29,16,26.290,KAN,@,CHI,W 21-10,,0,0,,0,,,1,0,0.00,0,0,0
17,1992,1992-09-06,1,28.176,MIN,@,GNB,W 23-20,,0,0,,0,0.0%,,,,,,,
18,1992,1992-09-13,2,28.183,MIN,@,DET,L 17-31,,0,0,,0,0.0%,,,,,,,
19,1992,1992-09-20,3,28.190,MIN,,TAM,W 26-20,,0,0,,0,0.0%,,,,,,,
20,1992,1992-09-27,4,28.197,MIN,@,CIN,W 42-7,,0,0,,0,0.0%,,,,,,,
21,1992,1992-10-04,5,28.204,MIN,,CHI,W 21-20,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
22,1992,1992-10-15,6,28.215,MIN,,DET,W 31-14,,0,0,,0,0.0%,,,,,,,
23,1993,1993-09-05,1,29.175,CHI,,NYG,L 20-26,1,0,0,,0,0.0%,0.00,,,,,,
24,1993,1993-09-12,2,29.182,CHI,@,MIN,L 7-10,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0
25,1993,1993-09-26,3,29.196,CHI,,TAM,W 47-17,,0,0,,0,0.0%,,,,,,,
26,1993,1993-10-03,4,29.203,CHI,,ATL,W 6-0,5,4,31,7.75,0,80.0%,6.20,0,0,,0,0,0
27,1993,1993-10-10,5,29.210,CHI,@,PHI,W 17-6,,0,0,,0,0.0%,,,,,,,
