ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,23.253,BUF,,MIA,W 17-7,,,,,,,,
2,1980,1980-09-14,2,23.260,BUF,,NYJ,W 20-10,,,,,,,,
3,1980,1980-09-21,3,23.267,BUF,@,NOR,W 35-26,,,,,,,,
4,1980,1980-09-28,4,23.274,BUF,,OAK,W 24-7,,,,,,,,
5,1980,1980-10-05,5,23.281,BUF,@,SDG,W 26-24,,,,,,,,
6,1981,1981-09-06,1,24.251,BUF,,NYJ,W 31-0,0,0,,0,,,,
7,1981,1981-09-13,2,24.258,BUF,@,BAL,W 35-3,0,0,,0,,,,
8,1981,1981-09-17,3,24.262,BUF,,PHI,L 14-20,0,0,,0,,,,
9,1981,1981-09-27,4,24.272,BUF,@,CIN,L 24-27,0,0,,0,,,,
10,1981,1981-10-04,5,24.279,BUF,,BAL,W 23-17,0,0,,0,,,,
11,1981,1981-10-12,6,24.287,BUF,,MIA,W 31-21,0,0,,0,0.0,1,19,0
12,1981,1981-10-18,7,24.293,BUF,@,NYJ,L 14-33,0,0,,0,,,,
13,1981,1981-10-25,8,24.300,BUF,,DEN,W 9-7,1,-6,-6.00,0,0.0,0,0,0
14,1981,1981-11-01,9,24.307,BUF,,CLE,W 22-13,0,0,,0,,,,
15,1981,1981-11-09,10,24.315,BUF,@,DAL,L 14-27,0,0,,0,,,,
16,1981,1981-11-15,11,24.321,BUF,@,STL,L 0-24,0,0,,0,,,,
17,1981,1981-11-22,12,24.328,BUF,,NWE,W 20-17,0,0,,0,,,,
18,1981,1981-11-29,13,24.335,BUF,,WAS,W 21-14,0,0,,0,,,,
19,1981,1981-12-06,14,24.342,BUF,@,SDG,W 28-27,0,0,,0,,,,
20,1981,1981-12-13,15,24.349,BUF,@,NWE,W 19-10,0,0,,0,,,,
21,1981,1981-12-19,16,24.355,BUF,@,MIA,L 6-16,0,0,,0,,,,
22,1982,1982-09-12,1,25.257,BUF,,KAN,W 14-9,,,,,,,,
23,1982,1982-09-16,2,25.261,BUF,,MIN,W 23-22,,,,,,,,
24,1982,1982-11-21,3,25.327,BUF,,MIA,L 7-9,,,,,,,,
25,1982,1982-11-28,4,25.334,BUF,,BAL,W 20-0,,,,,,,,
26,1982,1982-12-05,5,25.341,BUF,@,GNB,L 21-33,,,,,,,,
27,1982,1982-12-12,6,25.348,BUF,,PIT,W 13-0,,,,,,,,
28,1982,1982-12-19,7,25.355,BUF,@,TAM,L 23-24,,,,,,,,
29,1982,1982-12-27,8,25.363,BUF,@,MIA,L 10-27,,,,,,,,
30,1982,1983-01-02,9,26.004,BUF,@,NWE,L 19-30,,,,,,,,
31,1983,1983-09-04,1,26.249,BUF,,MIA,L 0-12,,,,,,,,
32,1983,1983-09-11,2,26.256,BUF,@,CIN,W 10-6,,,,,,,,
33,1983,1983-09-18,3,26.263,BUF,,BAL,W 28-23,,,,,,,,
34,1983,1983-10-09,6,26.284,BUF,@,MIA,W 38-35,,,,,,,,
35,1984,1984-09-02,1,27.248,BUF,,NWE,L 17-21,0,0,,0,1.0,0,0,0
36,1984,1984-09-09,2,27.255,BUF,@,STL,L 7-37,,,,,,,,
37,1984,1984-09-17,3,27.263,BUF,,MIA,L 17-21,,,,,,,,
38,1984,1984-09-23,4,27.269,BUF,,NYJ,L 26-28,,,,,,,,
39,1984,1984-09-30,5,27.276,BUF,@,IND,L 17-31,,,,,,,,
40,1984,1984-10-07,6,27.283,BUF,,PHI,L 17-27,,,,,,,,
41,1984,1984-10-14,7,27.290,BUF,@,SEA,L 28-31,,,,,,,,
42,1984,1984-10-21,8,27.297,BUF,,DEN,L 7-37,,,,,,,,
43,1984,1984-10-28,9,27.304,BUF,@,MIA,L 7-38,,,,,,,,
44,1984,1984-11-04,10,27.311,BUF,,CLE,L 10-13,,,,,,,,
45,1984,1984-11-11,11,27.318,BUF,@,NWE,L 10-38,,,,,,,,
46,1984,1984-11-18,12,27.325,BUF,,DAL,W 14-3,0,0,,0,0.0,1,15,0
47,1984,1984-11-25,13,27.332,BUF,@,WAS,L 14-41,,,,,,,,
48,1984,1984-12-02,14,27.339,BUF,,IND,W 21-15,,,,,,,,
49,1984,1984-12-08,15,27.345,BUF,@,NYJ,L 17-21,0,0,,0,1.0,0,0,0
50,1984,1984-12-16,16,27.353,BUF,@,CIN,L 21-52,,,,,,,,
51,1985,1985-09-08,1,28.253,HOU,,MIA,W 26-23,,,,,,,,
52,1985,1985-09-15,2,28.260,HOU,@,WAS,L 13-16,0,0,,0,3.0,0,0,0
53,1985,1985-09-22,3,28.267,HOU,@,PIT,L 0-20,0,0,,0,1.0,0,0,0
54,1985,1985-09-29,4,28.274,HOU,,DAL,L 10-17,,,,,,,,
55,1985,1985-10-06,5,28.281,HOU,@,DEN,L 20-31,0,0,,0,0.0,1,0,0
56,1985,1985-10-13,6,28.288,HOU,,CLE,L 6-21,0,0,,0,0.0,1,6,0
57,1985,1985-10-20,7,28.295,HOU,,CIN,W 44-27,,,,,,,,
58,1985,1985-10-27,8,28.302,HOU,@,STL,W 20-10,,,,,,,,
59,1985,1985-11-03,9,28.309,HOU,,KAN,W 23-20,,,,,,,,
60,1985,1985-11-10,10,28.316,HOU,@,BUF,L 0-20,,,,,,,,
61,1985,1985-11-17,11,28.323,HOU,,PIT,L 7-30,0,0,,0,1.0,0,0,0
62,1985,1985-11-24,12,28.330,HOU,,SDG,W 37-35,,,,,,,,
63,1985,1985-12-01,13,28.337,HOU,@,CIN,L 27-45,,,,,,,,
64,1985,1985-12-08,14,28.344,HOU,,NYG,L 14-35,,,,,,,,
65,1985,1985-12-15,15,28.351,HOU,@,CLE,L 21-28,,,,,,,,
66,1985,1985-12-22,16,28.358,HOU,@,IND,L 16-34,,,,,,,,
