ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1961,1961-09-10,1,25.209,DEN,@,BUF,W 22-10,2,3,1.50,0,1,5,5.00,0,0,0,,0,0,0
2,1961,1961-09-24,3,25.223,DEN,@,NYT,L 28-35,4,31,7.75,2,3,26,8.67,0,0,0,,0,2,12
3,1961,1961-10-01,4,25.230,DEN,@,OAK,L 19-33,12,38,3.17,1,0,0,,0,0,0,,0,1,6
4,1961,1961-10-08,5,25.237,DEN,,DTX,L 12-19,12,17,1.42,0,1,5,5.00,0,0,0,,0,0,0
5,1961,1961-10-15,6,25.244,DEN,,OAK,W 27-24,5,3,0.60,0,1,-5,-5.00,0,0,0,,0,0,0
6,1961,1961-10-22,7,25.251,DEN,,NYT,W 27-10,2,6,3.00,0,1,11,11.00,0,0,0,,0,0,0
7,1961,1961-10-29,8,25.258,DEN,@,SDG,L 0-37,4,11,2.75,0,2,16,8.00,0,0,0,,0,0,0
8,1961,1961-11-05,9,25.265,DEN,,HOU,L 14-55,7,10,1.43,0,2,11,5.50,0,0,0,,0,0,0
9,1961,1961-11-12,10,25.272,DEN,,SDG,L 16-19,18,6,0.33,1,2,18,9.00,0,1,12,12.00,0,1,6
10,1961,1961-11-19,11,25.279,DEN,,BUF,L 10-23,8,60,7.50,1,1,5,5.00,0,0,0,,0,1,6
11,1961,1961-11-26,12,25.286,DEN,@,HOU,L 14-45,1,2,2.00,0,0,0,,0,0,0,,0,0,0
12,1961,1961-12-03,13,25.293,DEN,,BOS,L 24-28,1,0,0.00,0,0,2,,0,0,0,,0,0,0
13,1961,1961-12-10,14,25.300,DEN,@,DTX,L 21-49,0,0,,0,0,0,,0,2,29,14.50,0,0,0
