ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1975,1975-09-21,1,22.114,CLE,@,CIN,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1975,1975-09-28,2,22.121,CLE,,MIN,L 10-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,,0
3,1975,1975-10-05,3,22.128,CLE,,PIT,L 6-42,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1975,1975-10-12,4,22.135,CLE,,HOU,L 10-40,1,0,0.00,0,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
5,1975,1975-10-19,5,22.142,CLE,@,DEN,L 15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1975,1975-10-26,6,22.149,CLE,,WAS,L 7-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1975,1975-11-02,7,22.156,CLE,@,BAL,L 7-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1975,1975-11-09,8,22.163,CLE,@,DET,L 10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1975,1975-11-16,9,22.170,CLE,@,OAK,L 17-38,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1975,1975-11-23,10,22.177,CLE,,CIN,W 35-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1975,1975-11-30,11,22.184,CLE,,NOR,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,59,29.50,0,0,0,,0
12,1975,1975-12-07,12,22.191,CLE,@,PIT,L 17-31,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,0,0,,0
13,1975,1975-12-14,13,22.198,CLE,,KAN,W 40-14,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,37,37.00,0,1,9,9.00,0
14,1975,1975-12-21,14,22.205,CLE,@,HOU,L 10-21,5,38,7.60,0,2,7,3.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,17,17.00,0,1,7,7.00,0
