ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,23.038,BUF,,MIA,L 10-15,*,7,6,0.86,0,5,4,8,2.00,0,80.0%,1.60,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
2,2010,2010-09-19,2,23.045,BUF,@,GNB,L 7-34,,1,3,3.00,0,4,4,23,5.75,0,100.0%,5.75,6,174,29.00,0,0,0,,0,0,0,0.0,0,0
3,2010,2010-09-26,3,23.052,BUF,@,NWE,L 30-38,,4,29,7.25,0,3,3,10,3.33,1,100.0%,3.33,5,189,37.80,1,0,0,,0,2,12,0.0,0,0
4,2010,2010-10-03,4,23.059,BUF,,NYJ,L 14-38,,2,11,5.50,0,1,1,4,4.00,0,100.0%,4.00,5,110,22.00,0,0,0,,0,0,0,0.0,0,0
5,2010,2010-10-10,5,23.066,BUF,,JAX,L 26-36,,5,31,6.20,0,2,1,3,3.00,0,50.0%,1.50,7,146,20.86,0,0,0,,0,0,0,0.0,0,0
6,2010,2010-10-24,6,23.080,BUF,@,BAL,L 34-37,,7,33,4.71,0,0,0,0,,0,0.0%,,3,75,25.00,0,0,0,,0,0,0,0.0,0,0
7,2010,2010-10-31,7,23.087,BUF,@,KAN,L 10-13,,6,17,2.83,0,6,4,28,7.00,0,66.7%,4.67,3,58,19.33,0,0,0,,0,0,0,0.0,0,0
8,2010,2010-11-07,8,23.094,BUF,,CHI,L 19-22,,7,20,2.86,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2010,2010-11-14,9,23.101,BUF,,DET,W 14-12,,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,,0,3,44,14.67,0,0,0,0.0,0,0
10,2010,2010-12-05,12,23.122,BUF,@,MIN,L 14-38,,7,35,5.00,0,2,2,1,0.50,0,100.0%,0.50,3,54,18.00,0,2,12,6.00,0,0,0,0.0,0,0
11,2010,2010-12-12,13,23.129,BUF,,CLE,W 13-6,,8,33,4.13,0,0,0,0,,0,0.0%,,1,18,18.00,0,3,41,13.67,0,0,0,0.0,0,0
12,2010,2010-12-19,14,23.136,BUF,@,MIA,W 17-14,,9,16,1.78,0,2,2,21,10.50,0,100.0%,10.50,1,14,14.00,0,1,34,34.00,0,0,0,0.0,0,0
13,2010,2010-12-26,15,23.143,BUF,,NWE,L 3-34,,6,30,5.00,0,3,2,54,27.00,0,66.7%,18.00,5,84,16.80,0,1,0,0.00,0,0,0,0.0,1,0
14,2010,2011-01-02,16,23.150,BUF,@,NYJ,L 7-38,,3,5,1.67,0,0,0,0,,0,0.0%,,4,81,20.25,0,2,44,22.00,0,0,0,0.0,0,0
15,2011,2011-09-11,1,24.037,BUF,@,KAN,W 41-7,,5,16,3.20,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2011,2011-09-18,2,24.044,BUF,,OAK,W 38-35,,4,63,15.75,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
17,2011,2011-09-25,3,24.051,BUF,,NWE,W 34-31,*,1,3,3.00,0,1,1,-7,-7.00,0,100.0%,-7.00,1,16,16.00,0,2,20,10.00,0,0,0,0.0,0,0
18,2011,2011-10-02,4,24.058,BUF,@,CIN,L 20-23,*,3,12,4.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2011,2011-10-09,5,24.065,BUF,,PHI,W 31-24,,2,13,6.50,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2011,2011-10-16,6,24.072,BUF,@,NYG,L 24-27,*,0,0,,0,5,5,39,7.80,0,100.0%,7.80,0,0,,0,2,11,5.50,0,0,0,0.0,0,0
21,2011,2011-10-30,7,24.086,BUF,,WAS,W 23-0,*,0,0,,0,3,2,9,4.50,0,66.7%,3.00,0,,,0,5,22,4.40,0,0,0,0.0,0,0
22,2011,2011-11-06,8,24.093,BUF,,NYJ,L 11-27,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2011,2011-11-13,9,24.100,BUF,@,DAL,L 7-44,,1,1,1.00,0,0,0,0,,0,0.0%,,2,61,30.50,0,0,0,,0,0,0,0.0,0,0
24,2011,2011-11-20,10,24.107,BUF,@,MIA,L 8-35,*,3,2,0.67,0,4,2,18,9.00,0,50.0%,4.50,3,66,22.00,0,4,60,15.00,0,0,0,0.0,0,0
25,2011,2011-11-27,11,24.114,BUF,@,NYJ,L 24-28,*,19,55,2.89,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
26,2011,2011-12-04,12,24.121,BUF,,TEN,L 17-23,*,14,83,5.93,1,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,1,6,0.0,0,0
27,2011,2011-12-11,13,24.128,BUF,@,SDG,L 10-37,*,12,46,3.83,0,4,3,10,3.33,0,75.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2011,2011-12-18,14,24.135,BUF,,MIA,L 23-30,*,12,91,7.58,1,12,9,76,8.44,1,75.0%,6.33,0,0,,0,0,0,,0,2,12,0.0,0,0
29,2011,2011-12-24,15,24.141,BUF,,DEN,W 40-14,*,16,111,6.94,1,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,1,6,0.0,0,0
30,2011,2012-01-01,16,24.149,BUF,@,NWE,L 21-49,*,13,60,4.62,0,8,4,40,10.00,1,50.0%,5.00,0,0,,0,0,0,,0,1,6,0.0,0,0
31,2012,2012-09-09,1,25.035,BUF,@,NYJ,L 28-48,,14,169,12.07,1,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,1,6,0.0,0,0
32,2012,2012-09-16,2,25.042,BUF,,KAN,W 35-17,*,15,123,8.20,2,3,3,47,15.67,0,100.0%,15.67,0,0,,0,0,0,,0,2,12,0.0,0,0
33,2012,2012-09-23,3,25.049,BUF,@,CLE,W 24-14,*,4,16,4.00,0,2,2,42,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,1,6,0.0,0,0
34,2012,2012-09-30,4,25.056,BUF,,NWE,L 28-52,,8,33,4.13,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2012,2012-10-07,5,25.063,BUF,@,SFO,L 3-45,,7,24,3.43,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2012,2012-10-14,6,25.070,BUF,@,ARI,W 19-16,,12,88,7.33,1,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,,0,1,6,0.0,0,0
37,2012,2012-10-21,7,25.077,BUF,,TEN,L 34-35,,12,70,5.83,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0
