ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1987,1987-10-04,3,24.199,IND,@,BUF,W 47-6,6,38,6.33,1,1,6
2,1987,1987-10-11,4,24.206,IND,,NYJ,W 6-0,4,15,3.75,0,0,0
3,1987,1987-10-18,5,24.213,IND,@,PIT,L 7-21,9,32,3.56,0,0,0
