ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-10-02,4,23.339,PHI,@,KAN,W 37-31,,,,,,,,,,,
2,2005,2005-10-09,5,23.346,PHI,@,DAL,L 10-33,,,,,,,,,,,
3,2005,2005-10-23,6,23.360,PHI,,SDG,W 20-17,,,,,,,,,,,
4,2005,2005-10-30,7,24.002,PHI,@,DEN,L 21-49,,,,,,,,,,,
5,2005,2005-11-06,8,24.009,PHI,@,WAS,L 10-17,,,,,,,,,,,
6,2005,2005-11-14,9,24.017,PHI,,DAL,L 20-21,,,,,,,,,,,
7,2006,2006-09-10,1,24.317,PHI,@,HOU,W 24-10,,,,,,,,,,,
8,2006,2006-09-17,2,24.324,PHI,,NYG,L 24-30,,,,,,,,,,,
9,2006,2006-09-24,3,24.331,PHI,@,SFO,W 38-24,,,,,,,,,,,
10,2006,2006-10-02,4,24.339,PHI,,GNB,W 31-9,,,,,,,,,,,
11,2006,2006-10-08,5,24.345,PHI,,DAL,W 38-24,,,,,,,,,,,
12,2006,2006-10-15,6,24.352,PHI,@,NOR,L 24-27,,,,,,,,,,,
13,2006,2006-10-22,7,24.359,PHI,@,TAM,L 21-23,*,,,,,,,,,,
14,2006,2006-10-29,8,25.001,PHI,,JAX,L 6-13,*,,,,,,,,,,
15,2006,2006-11-12,9,25.015,PHI,,WAS,W 27-3,*,,,,,,,,,,
16,2006,2006-11-19,10,25.022,PHI,,TEN,L 13-31,*,0,0,,0,0.5,,,0,0,0
17,2006,2006-11-26,11,25.029,PHI,@,IND,L 21-45,*,,,,,,,,,,
18,2006,2006-12-04,12,25.037,PHI,,CAR,W 27-24,*,,,,,,,,,,
19,2006,2006-12-10,13,25.043,PHI,@,WAS,W 21-19,*,,,,,,,,,,
20,2006,2006-12-17,14,25.050,PHI,@,NYG,W 36-22,*,,,,,,,,,,
21,2006,2006-12-25,15,25.058,PHI,@,DAL,W 23-7,*,,,,,,,,,,
22,2006,2006-12-31,16,25.064,PHI,,ATL,W 24-17,,0,0,,0,1.0,,,1,12,0
23,2007,2007-09-09,1,25.316,PHI,@,GNB,L 13-16,*,,,,,,,,,,
24,2007,2007-09-17,2,25.324,PHI,,WAS,L 12-20,*,,,,,,,,,,
25,2007,2007-09-23,3,25.330,PHI,,DET,W 56-21,*,0,0,,0,0.0,,,1,0,0
26,2007,2007-09-30,4,25.337,PHI,@,NYG,L 3-16,*,,,,,,,,,,
27,2007,2007-10-14,5,25.351,PHI,@,NYJ,W 16-9,*,,,,,,,,,,
28,2007,2007-10-21,6,25.358,PHI,,CHI,L 16-19,*,,,,,,,,,,
29,2007,2007-10-28,7,26.000,PHI,@,MIN,W 23-16,*,,,,,,,,,,
30,2007,2007-11-04,8,26.007,PHI,,DAL,L 17-38,*,,,,,,,,,,
31,2008,2008-09-07,1,26.315,PHI,,STL,W 38-3,,0,0,,0,0.0,1,0,0,0,0
32,2008,2008-09-15,2,26.323,PHI,@,DAL,L 37-41,,0,0,,0,0.0,1,2,0,0,0
33,2008,2008-09-21,3,26.329,PHI,,PIT,W 15-6,,,,,,,,,,,
34,2008,2008-09-28,4,26.336,PHI,@,CHI,L 20-24,,0,0,,0,0.0,0,1,0,0,0
35,2008,2008-10-05,5,26.343,PHI,,WAS,L 17-23,,0,0,,0,0.0,0,1,0,0,0
36,2008,2008-10-12,6,26.350,PHI,@,SFO,W 40-26,,0,0,,0,0.0,0,0,0,0,0
37,2008,2008-10-26,7,26.364,PHI,,ATL,W 27-14,,0,0,,0,0.0,0,0,0,0,0
38,2008,2008-11-02,8,27.005,PHI,@,SEA,W 26-7,,0,0,,0,0.0,0,0,0,0,0
39,2008,2008-11-09,9,27.012,PHI,,NYG,L 31-36,,0,0,,0,0.0,1,0,0,0,0
40,2008,2008-11-16,10,27.019,PHI,@,CIN,T 13-13,,0,0,,0,0.0,0,2,0,0,0
41,2008,2008-11-23,11,27.026,PHI,@,BAL,L 7-36,,0,0,,0,0.0,0,0,0,0,0
42,2008,2008-11-27,12,27.030,PHI,,ARI,W 48-20,,0,0,,0,0.0,0,0,0,0,0
43,2008,2008-12-07,13,27.040,PHI,@,NYG,W 20-14,,0,0,,0,0.0,0,1,0,0,0
44,2008,2008-12-15,14,27.048,PHI,,CLE,W 30-10,,,,,,,,,,,
45,2008,2008-12-21,15,27.054,PHI,@,WAS,L 3-10,,0,0,,0,0.0,0,0,0,0,0
46,2008,2008-12-28,16,27.061,PHI,,DAL,W 44-6,,0,0,,0,0.0,1,0,0,0,0
47,2009,2009-09-13,1,27.320,JAX,@,IND,L 12-14,*,0,0,,0,0.0,2,2,0,0,0
48,2009,2009-09-20,2,27.327,JAX,,ARI,L 17-31,*,0,0,,0,0.0,4,0,0,0,0
49,2009,2009-09-27,3,27.334,JAX,@,HOU,W 31-24,*,0,0,,0,0.0,2,0,0,0,0
50,2009,2009-11-08,8,28.011,JAX,,KAN,W 24-21,,,,,,,,,,,
51,2009,2009-11-15,9,28.018,JAX,@,NYJ,W 24-22,*,0,0,,0,0.0,7,2,0,0,0
52,2009,2009-11-22,10,28.025,JAX,,BUF,W 18-15,*,0,0,,0,0.0,3,0,1,25,0
53,2009,2009-11-29,11,28.032,JAX,@,SFO,L 3-20,*,0,0,,0,0.0,1,2,0,0,0
54,2009,2009-12-13,13,28.046,JAX,,MIA,L 10-14,,0,0,,0,0.0,0,0,0,0,0
55,2009,2009-12-17,14,28.050,JAX,,IND,L 31-35,,0,0,,0,0.0,3,0,0,0,0
56,2009,2009-12-27,15,28.060,JAX,@,NWE,L 7-35,,0,0,,0,0.0,3,1,0,0,0
57,2009,2010-01-03,16,28.067,JAX,@,CLE,L 17-23,,,,,,,,,,,
58,2010,2010-09-12,1,28.319,JAX,,DEN,W 24-17,*,0,0,,0,0.0,6,0,0,0,0
59,2010,2010-09-19,2,28.326,JAX,@,SDG,L 13-38,*,0,0,,0,0.0,7,3,0,0,0
