ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-11-08,8,22.324,CAR,@,NOR,L 20-30,*,3,15,5.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0.0,0,0
2,2009,2009-11-15,9,22.331,CAR,,ATL,W 28-19,,,,,,,,,,,0.0%,,,,,,,,
3,2009,2009-11-19,10,22.335,CAR,,MIA,L 17-24,,0,0,,0,3,2,18,9.00,0,66.7%,6.00,4,106,26.50,0,0.0,0,0
4,2009,2009-11-29,11,22.345,CAR,@,NYJ,L 6-17,,0,0,,0,1,0,0,,0,0.0%,0.00,3,58,19.33,0,0.0,0,0
5,2009,2009-12-06,12,22.352,CAR,,TAM,W 16-6,,6,38,6.33,0,2,0,0,,0,0.0%,0.00,1,18,18.00,0,0.0,0,0
6,2009,2009-12-13,13,22.359,CAR,@,NWE,L 10-20,,1,6,6.00,0,2,2,21,10.50,0,100.0%,10.50,5,96,19.20,0,0.0,0,0
7,2009,2009-12-20,14,23.001,CAR,,MIN,W 26-7,,2,9,4.50,0,2,1,12,12.00,0,50.0%,6.00,1,24,24.00,0,0.0,0,0
8,2010,2010-09-19,2,23.274,CAR,,TAM,L 7-20,,,,,,,,,,,0.0%,,,,,,,,
9,2010,2010-09-26,3,23.281,CAR,,CIN,L 7-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,2
10,2010,2010-10-31,7,23.316,CAR,@,STL,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
11,2010,2010-11-07,8,23.323,CAR,,NOR,L 3-34,,7,41,5.86,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
12,2010,2010-12-05,12,23.351,CAR,@,SEA,L 14-31,,4,17,4.25,0,3,3,14,4.67,0,100.0%,4.67,1,12,12.00,0,0.0,0,0
13,2010,2010-12-12,13,23.358,CAR,,ATL,L 10-31,,0,0,,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0.0,0,0
14,2010,2010-12-19,14,24.000,CAR,,ARI,W 19-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
15,2010,2010-12-23,15,24.004,CAR,@,PIT,L 3-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,0,2
16,2010,2011-01-02,16,24.014,CAR,@,ATL,L 10-31,,2,13,6.50,0,3,3,21,7.00,0,100.0%,7.00,1,18,18.00,0,0.0,0,0
