ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1985,1985-09-08,1,22.230,RAI,,NYJ,W 31-0,,1,7,7.00,0,,,0,0,,0,0,0
2,1985,1985-09-12,2,22.234,RAI,@,KAN,L 20-36,,5,69,13.80,1,,,0,0,,0,1,6
3,1985,1985-09-22,3,22.244,RAI,,SFO,L 10-34,,3,77,25.67,0,,,0,0,,0,0,0
4,1985,1985-09-29,4,22.251,RAI,@,NWE,W 35-20,,,,,,,,,,,,,
5,1985,1985-10-06,5,22.258,RAI,,KAN,W 19-10,,3,57,19.00,0,,,0,0,,0,0,0
6,1985,1985-10-13,6,22.265,RAI,,NOR,W 23-13,,1,29,29.00,0,,,0,0,,0,0,0
7,1985,1985-10-20,7,22.272,RAI,@,CLE,W 21-20,,4,46,11.50,0,,,0,0,,0,0,0
8,1985,1985-10-28,8,22.280,RAI,,SDG,W 34-21,,0,0,,0,,,1,13,13.00,1,1,6
9,1985,1985-11-03,9,22.286,RAI,@,SEA,L 3-33,,4,57,14.25,0,,,0,0,,0,0,0
10,1985,1985-11-10,10,22.293,RAI,@,SDG,L 34-40,,2,89,44.50,2,,,0,0,,0,2,12
11,1985,1985-11-17,11,22.300,RAI,,CIN,W 13-6,,1,11,11.00,0,,,0,0,,0,0,0
12,1985,1985-11-24,12,22.307,RAI,,DEN,W 31-28,,2,27,13.50,0,,,0,0,,0,0,0
13,1985,1985-12-01,13,22.314,RAI,@,ATL,W 34-24,,2,54,27.00,1,,,0,0,,0,1,6
14,1985,1985-12-08,14,22.321,RAI,@,DEN,W 17-14,,1,14,14.00,0,,,0,0,,0,0,0
15,1985,1985-12-15,15,22.328,RAI,,SEA,W 13-3,,2,69,34.50,0,,,0,0,,0,0,0
16,1985,1985-12-23,16,22.336,RAI,@,RAM,W 16-6,,1,59,59.00,0,,,0,0,,0,0,0
17,1986,1986-09-07,1,23.229,RAI,@,DEN,L 36-38,,,,,,,,,,,,,
18,1986,1986-09-21,3,23.243,RAI,,NYG,L 9-14,,2,44,22.00,0,,,0,0,,0,0,0
19,1986,1986-09-28,4,23.250,RAI,,SDG,W 17-13,,2,60,30.00,1,,,0,0,,0,1,6
20,1986,1986-10-05,5,23.257,RAI,@,KAN,W 24-17,,3,32,10.67,1,,,0,0,,0,1,6
21,1986,1986-10-12,6,23.264,RAI,,SEA,W 14-10,,2,68,34.00,1,,,0,0,,0,1,6
22,1986,1986-10-19,7,23.271,RAI,@,MIA,W 30-28,,1,32,32.00,0,,,0,0,,0,0,0
23,1986,1986-10-26,8,23.278,RAI,@,HOU,W 28-17,,4,91,22.75,0,,,0,0,,0,0,0
24,1986,1986-11-02,9,23.285,RAI,,DEN,L 10-21,,2,30,15.00,1,,,0,0,,0,1,6
25,1986,1986-11-09,10,23.292,RAI,@,DAL,W 17-13,,,,,,,,,,,,,
26,1986,1986-11-16,11,23.299,RAI,,CLE,W 27-14,,,,,,,,,,,,,
27,1986,1986-11-20,12,23.303,RAI,@,SDG,W 37-31,,3,82,27.33,0,,,0,0,,0,0,0
28,1986,1986-11-30,13,23.313,RAI,,PHI,L 27-33,,4,193,48.25,2,,,0,0,,0,2,12
29,1986,1986-12-21,16,23.334,RAI,,IND,L 24-30,,,,,,,,,,,,,
30,1987,1987-09-13,1,24.235,RAI,@,GNB,W 20-0,,,,,,,,,,,,,
31,1987,1987-09-20,2,24.242,RAI,,DET,W 27-7,,1,30,30.00,0,,,0,0,,0,0,0
32,1987,1987-10-25,6,24.277,RAI,,SEA,L 13-35,,,,,,,,,,,,,
33,1987,1987-11-08,8,24.291,RAI,@,MIN,L 20-31,,,,,,,,,,,,,
34,1987,1987-11-15,9,24.298,RAI,@,SDG,L 14-16,,,,,,,,,,,,,
35,1987,1987-11-30,11,24.313,RAI,@,SEA,W 37-14,,,,,,,,,,,,,
36,1987,1987-12-06,12,24.319,RAI,,BUF,W 34-21,,,,,,,,,,,,,
37,1987,1987-12-13,13,24.326,RAI,@,KAN,L 10-16,,,,,,,,,,,,,
38,1987,1987-12-20,14,24.333,RAI,,CLE,L 17-24,,,,,,,,,,,,,
39,1987,1987-12-27,15,24.340,RAI,,CHI,L 3-6,,,,,,,,,,,,,
40,1988,1988-09-04,1,25.227,ATL,@,DET,L 17-31,,0,0,,0,,,0,0,,0,0,
41,1988,1988-09-11,2,25.234,ATL,,NOR,L 21-29,,0,0,,0,,,0,0,,0,0,
42,1988,1988-09-18,3,25.241,ATL,@,SFO,W 34-17,,0,0,,0,,,0,0,,0,0,
43,1988,1988-09-25,4,25.248,ATL,@,DAL,L 20-26,,1,6,6.00,0,,,0,0,,0,0,0
44,1988,1988-10-02,5,25.255,ATL,,SEA,L 20-31,,3,56,18.67,0,,,0,0,,0,0,0
45,1988,1988-10-09,6,25.262,ATL,,RAM,L 0-33,,0,0,,0,,,0,0,,0,0,
46,1988,1988-10-16,7,25.269,ATL,@,DEN,L 14-30,,1,9,9.00,0,,,0,0,,0,0,0
47,1988,1988-10-23,8,25.276,ATL,,NYG,L 16-23,,2,45,22.50,0,,,0,0,,0,0,0
48,1988,1988-10-30,9,25.283,ATL,@,PHI,W 27-24,,0,0,,0,,,0,0,,0,0,
49,1988,1988-11-06,10,25.290,ATL,,GNB,W 20-0,,0,0,,0,,,0,0,,0,0,
50,1988,1988-11-13,11,25.297,ATL,,SDG,L 7-10,,1,10,10.00,0,,,0,0,,0,0,0
51,1988,1988-11-20,12,25.304,ATL,@,RAI,W 12-6,,3,41,13.67,0,,,1,3,3.00,0,0,0
52,1988,1988-11-27,13,25.311,ATL,,TAM,W 17-10,,0,0,,0,,,0,0,,0,0,
53,1988,1988-12-04,14,25.318,ATL,,SFO,L 3-13,,0,0,,0,,,0,0,,0,0,
54,1988,1988-12-11,15,25.325,ATL,@,RAM,L 7-22,,1,9,9.00,0,,,0,0,,0,0,0
55,1988,1988-12-18,16,25.332,ATL,@,NOR,L 9-10,,0,0,,0,,,0,0,,0,0,
56,1990,1990-09-09,1,27.231,IND,@,BUF,L 10-26,,3,38,12.67,0,,,0,0,,0,0,0
57,1990,1990-09-16,2,27.238,IND,,NWE,L 14-16,,0,0,,0,,,0,0,,0,0,
58,1990,1990-09-23,3,27.245,IND,@,HOU,L 10-24,,3,37,12.33,0,,,0,0,,0,0,0
59,1990,1990-09-30,4,27.252,IND,@,PHI,W 24-23,,4,85,21.25,1,,,1,-2,-2.00,0,1,6
60,1990,1990-10-07,5,27.259,IND,,KAN,W 23-19,,5,95,19.00,0,,,0,0,,0,0,0
61,1990,1990-10-21,6,27.273,IND,,DEN,L 17-27,,8,152,19.00,1,,,0,0,,0,1,6
