ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1960,1960-09-11,1,24.338,HOU,@,OAK,W 37-22,,,,,0,11,,0,,
2,1960,1960-09-18,2,24.345,HOU,,LAC,W 38-28,1,18,18.00,0,0,0,,0,0,0
3,1961,1961-09-24,2,25.350,HOU,@,SDG,L 24-34,6,112,18.67,1,0,0,,0,1,6
4,1961,1961-10-13,5,26.004,HOU,@,BOS,T 31-31,3,31,10.33,0,0,0,,0,0,0
5,1961,1961-10-22,6,26.013,HOU,,DTX,W 38-7,2,23,11.50,0,0,0,,0,0,0
6,1961,1961-10-29,7,26.020,HOU,@,BUF,W 28-16,1,23,23.00,0,0,0,,0,0,0
7,1961,1961-12-03,12,26.055,HOU,,SDG,W 33-13,1,49,49.00,0,0,0,,0,0,0
8,1962,1962-09-09,1,26.335,OAK,,NYT,L 17-28,1,21,21.00,1,0,0,,0,1,6
9,1962,1962-09-23,2,26.349,OAK,,DTX,L 16-26,1,4,4.00,0,0,0,,0,0,0
10,1962,1962-09-30,3,26.356,OAK,,SDG,L 33-42,1,3,3.00,0,0,0,,0,0,0
11,1962,1962-10-14,5,27.005,OAK,,DEN,L 6-23,3,73,24.33,0,0,0,,0,0,0
