ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1981,1981-09-06,1,22.296,MIA,@,STL,W 20-7,,,,,,,,,,,,,,,,,,,,,,,,
2,1981,1981-09-10,2,22.300,MIA,,PIT,W 30-10,,,,,,,,,,,,,,,,,,,,,,,,
3,1981,1981-09-20,3,22.310,MIA,@,HOU,W 16-10,,,,,,,,,,,,,,,,,,,,,,,,
4,1981,1981-09-27,4,22.317,MIA,@,BAL,W 31-28,,,,,,,,,,,,,,,,,,,,,,,,
5,1981,1981-10-04,5,22.324,MIA,,NYJ,T 28-28,,,,,,,,,,,,,,,,,,,,,,,,
6,1981,1981-10-12,6,22.332,MIA,@,BUF,L 21-31,,,,,,,,,,,,,,,,,,,,,,,,
7,1981,1981-10-18,7,22.338,MIA,,WAS,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,
8,1981,1981-10-25,8,22.345,MIA,@,DAL,L 27-28,,,,,,,,,,,,,,,,,,,,,,,,
9,1981,1981-11-01,9,22.352,MIA,,BAL,W 27-10,,,,,,,,,,,,,,,,,,,,,,,,
10,1981,1981-11-08,10,22.359,MIA,@,NWE,W 30-27,,,,,,,,,,,,,,,,,,,,,,,,
11,1981,1981-11-15,11,23.001,MIA,,OAK,L 17-33,,,,,,,,,,,,,,,,,,,,,,,,
12,1981,1981-11-22,12,23.008,MIA,@,NYJ,L 15-16,,,,,,,,,,,,,,,,,,,,,,,,
13,1981,1981-11-30,13,23.016,MIA,,PHI,W 13-10,,,,,,,,,,,,,,,,,,,,,,,,
14,1981,1981-12-06,14,23.022,MIA,,NWE,W 24-14,,,,,,,,,,,,,,,,,,,,,,,,
15,1981,1981-12-13,15,23.029,MIA,@,KAN,W 17-7,,,,,,,,,,,,,,,,,,,,,,,,
16,1981,1981-12-19,16,23.035,MIA,,BUF,W 16-6,,,,,,,,,,,,,,,,,,,,,,,,
17,1982,1982-11-29,4,24.015,MIA,@,TAM,L 17-23,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
18,1982,1982-12-05,5,24.021,MIA,,MIN,W 22-14,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
19,1982,1982-12-12,6,24.028,MIA,@,NWE,L 0-3,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
20,1982,1982-12-18,7,24.034,MIA,,NYJ,W 20-19,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
21,1982,1982-12-27,8,24.043,MIA,,BUF,W 27-10,,,,,,,,,,,,0,0,,0,0,0,,0,,,,,
22,1982,1983-01-02,9,24.049,MIA,@,BAL,W 34-7,,0,0,,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
23,1983,1983-09-04,1,24.294,MIA,@,BUF,W 12-0,,,,,,,,,,,,,,,,,,,,,,,,
24,1983,1983-09-11,2,24.301,MIA,,NWE,W 34-24,,,,,,,,,,,,,,,,,,,,,,,,
25,1983,1983-09-19,3,24.309,MIA,@,RAI,L 14-27,,,,,,,,,,,,,,,,,,,,,,,,
26,1983,1983-09-25,4,24.315,MIA,,KAN,W 14-6,,,,,,,,,,,,,,,,,,,,,,,,
27,1983,1983-10-02,5,24.322,MIA,@,NOR,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,
28,1983,1983-10-09,6,24.329,MIA,,BUF,L 35-38,,,,,,,,,,,,,,,,,,,,,,,,
29,1983,1983-10-16,7,24.336,MIA,@,NYJ,W 32-14,,,,,,,,,,,,,,,,,,,,,,,,
30,1983,1983-10-23,8,24.343,MIA,@,BAL,W 21-7,,,,,,,,,,,,,,,,,,,,,,,,
31,1983,1983-10-30,9,24.350,MIA,,RAM,W 30-14,,,,,,,,,,,,,,,,,,,,,,,,
32,1983,1983-11-06,10,24.357,MIA,@,SFO,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,
33,1983,1983-11-13,11,24.364,MIA,@,NWE,L 6-17,,,,,,,,,,,,,,,,,,,,,,,,
34,1983,1983-11-20,12,25.006,MIA,,BAL,W 37-0,,,,,,,,,,,,,,,,,,,,,,,,
35,1983,1983-11-28,13,25.014,MIA,,CIN,W 38-14,,,,,,,,,,,,,,,,,,,,,,,,
36,1983,1983-12-04,14,25.020,MIA,@,HOU,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,
37,1983,1983-12-10,15,25.026,MIA,,ATL,W 31-24,,,,,,,,,,,,,,,,,,,,,,,,
38,1983,1983-12-16,16,25.032,MIA,,NYJ,W 34-14,,,,,,,,,,,,,,,,,,,,,,,,
39,1984,1984-09-02,1,25.293,MIA,@,WAS,W 35-17,,5,40,8.00,2,,,0,0,,0,0,0,,0,0,0,,0,,,,2,12
40,1984,1984-09-09,2,25.300,MIA,,NWE,W 28-7,,0,0,,0,,,0,0,,0,1,1,100.00,35,1,0,158.3,0,0,35.00,55.00,0,0
41,1984,1984-09-17,3,25.308,MIA,@,BUF,W 21-17,,2,18,9.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
42,1984,1984-09-23,4,25.314,MIA,,IND,W 44-7,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
43,1984,1984-09-30,5,25.321,MIA,@,STL,W 36-28,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
44,1984,1984-10-07,6,25.328,MIA,@,PIT,W 31-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
45,1984,1984-10-14,7,25.335,MIA,,HOU,W 28-10,,1,15,15.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
46,1984,1984-10-21,8,25.342,MIA,@,NWE,W 44-24,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
47,1984,1984-10-28,9,25.349,MIA,,BUF,W 38-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
48,1984,1984-11-04,10,25.356,MIA,@,NYJ,W 31-17,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
49,1984,1984-11-11,11,25.363,MIA,,PHI,W 24-23,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
50,1984,1984-11-18,12,26.004,MIA,@,SDG,L 28-34,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
51,1984,1984-11-26,13,26.012,MIA,,NYJ,W 28-17,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
52,1984,1984-12-02,14,26.018,MIA,,RAI,L 34-45,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
53,1984,1984-12-09,15,26.025,MIA,@,IND,W 35-17,,1,14,14.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
54,1984,1984-12-17,16,26.033,MIA,,DAL,W 28-21,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
55,1985,1985-09-08,1,26.298,MIA,@,HOU,L 23-26,,0,0,,0,,,,,,,,,,,,,,,,,,,
56,1985,1985-09-15,2,26.305,MIA,,IND,W 30-13,,0,0,,0,,,,,,,,,,,,,,,,,,,
57,1985,1985-09-22,3,26.312,MIA,,KAN,W 31-0,,0,0,,0,,,,,,,,,,,,,,,,,,,
58,1985,1985-09-29,4,26.319,MIA,@,DEN,W 30-26,,0,0,,0,,,,,,,,,,,,,,,,,,,
59,1985,1985-10-06,5,26.326,MIA,,PIT,W 24-20,,0,0,,0,,,,,,,,,,,,,,,,,,,
60,1985,1985-10-14,6,26.334,MIA,@,NYJ,L 7-23,,0,0,,0,,,,,,,,,,,,,,,,,,,
61,1985,1985-10-20,7,26.340,MIA,,TAM,W 41-38,,1,4,4.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6
62,1985,1985-10-27,8,26.347,MIA,@,DET,L 21-31,,0,0,,0,,,,,,,,,,,,,,,,,,,
63,1985,1985-11-03,9,26.354,MIA,@,NWE,L 13-17,,0,0,,0,,,,,,,,,,,,,,,,,,,
64,1985,1985-11-10,10,26.361,MIA,,NYJ,W 21-17,,0,0,,0,,,,,,,,,,,,,,,,,,,
65,1985,1985-11-17,11,27.003,MIA,@,IND,W 34-20,,0,0,,0,,,,,,,,,,,,,,,,,,,
66,1985,1985-11-24,12,27.010,MIA,@,BUF,W 23-14,,0,0,,0,,,,,,,,,,,,,,,,,,,
67,1985,1985-12-02,13,27.018,MIA,,CHI,W 38-24,,0,0,,0,,,,,,,,,,,,,,,,,,,
68,1985,1985-12-08,14,27.024,MIA,@,GNB,W 34-24,,0,0,,0,,,,,,,,,,,,,,,,,,,
69,1985,1985-12-16,15,27.032,MIA,,NWE,W 30-27,,0,0,,0,,,,,,,,,,,,,,,,,,,
70,1985,1985-12-22,16,27.038,MIA,,BUF,W 28-0,,0,0,,0,,,,,,,,,,,,,,,,,,,
71,1986,1986-09-07,1,27.297,MIA,@,SDG,L 28-50,,0,0,,0,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
72,1986,1986-09-14,2,27.304,MIA,,IND,W 30-10,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
73,1986,1986-09-21,3,27.311,MIA,@,NYJ,L 45-51,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
74,1986,1986-09-28,4,27.318,MIA,,SFO,L 16-31,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
75,1986,1986-10-05,5,27.325,MIA,@,NWE,L 7-34,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
76,1986,1986-10-12,6,27.332,MIA,,BUF,W 27-14,,2,11,5.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
77,1986,1986-10-19,7,27.339,MIA,,RAI,L 28-30,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
78,1986,1986-10-26,8,27.346,MIA,@,IND,W 17-13,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
79,1986,1986-11-02,9,27.353,MIA,,HOU,W 28-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
80,1986,1986-11-10,10,27.361,MIA,@,CLE,L 16-26,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
81,1986,1986-11-16,11,28.002,MIA,@,BUF,W 34-24,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
82,1986,1986-11-24,12,28.010,MIA,,NYJ,W 45-3,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
83,1986,1986-11-30,13,28.016,MIA,,ATL,L 14-20,,2,32,16.00,1,,,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
84,1986,1986-12-07,14,28.023,MIA,@,NOR,W 31-27,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,,,,
