ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2015,2015-11-22,10,22.273,HOU,,NYJ,W 24-17,,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0
2,2015,2015-11-29,11,22.280,HOU,,NOR,W 24-6,,3,27,9.00,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0
3,2015,2015-12-06,12,22.287,HOU,@,BUF,L 21-30,,1,7,7.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0
4,2015,2015-12-13,13,22.294,HOU,,NWE,L 6-27,,1,1,1.00,0,0,0,0,,0,0.0%,,1,19,19.00,0
5,2015,2015-12-20,14,22.301,HOU,@,IND,W 16-10,,5,26,5.20,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0
6,2015,2015-12-27,15,22.308,HOU,@,TEN,W 34-6,,2,3,1.50,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0
7,2015,2016-01-03,16,22.315,HOU,,JAX,W 30-6,*,3,28,9.33,0,3,1,27,27.00,0,33.3%,9.00,0,0,,0
8,2016,2016-11-13,9,23.265,HOU,@,JAX,W 24-21,,8,52,6.50,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0
9,2016,2016-11-21,10,23.273,HOU,@,OAK,L 20-27,,5,-2,-0.40,0,0,0,0,,0,0.0%,,1,39,39.00,0
10,2016,2016-11-27,11,23.279,HOU,,SDG,L 13-21,,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,,0
11,2016,2016-12-04,12,23.286,HOU,@,GNB,L 13-21,,0,0,,0,0,0,0,,0,0.0%,,3,66,22.00,0
12,2016,2016-12-11,13,23.293,HOU,@,IND,W 22-17,,1,19,19.00,0,0,0,0,,0,0.0%,,2,36,18.00,0
13,2016,2016-12-18,14,23.300,HOU,,JAX,W 21-20,,3,15,5.00,0,0,0,0,,0,0.0%,,1,24,24.00,0
14,2016,2016-12-24,15,23.306,HOU,,CIN,W 12-10,,1,6,6.00,0,2,2,28,14.00,0,100.0%,14.00,0,0,,0
15,2016,2017-01-01,16,23.314,HOU,@,TEN,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,2,29,14.50,0
16,2017,2017-09-17,2,24.207,KAN,,PHI,W 27-20,,0,0,,0,0,0,0,,0,0.0%,,1,40,40.00,0
17,2017,2017-09-24,3,24.214,KAN,@,LAC,W 24-10,,0,0,,0,0,0,0,,0,0.0%,,2,66,33.00,0
18,2017,2017-10-02,4,24.222,KAN,,WAS,W 29-20,,0,0,,0,1,0,0,,0,0.0%,0.00,1,25,25.00,0
19,2017,2017-10-08,5,24.228,KAN,@,HOU,W 42-34,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0
20,2017,2017-10-15,6,24.235,KAN,,PIT,L 13-19,,1,3,3.00,0,0,0,0,,0,0.0%,,2,46,23.00,0
21,2017,2017-10-19,7,24.239,KAN,@,OAK,L 30-31,,0,0,,0,2,1,1,1.00,0,50.0%,0.50,1,17,17.00,0
22,2017,2017-10-30,8,24.250,KAN,,DEN,W 29-19,,0,0,,0,0,0,0,,0,0.0%,,2,47,23.50,0
23,2017,2017-11-05,9,24.256,KAN,@,DAL,L 17-28,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0
24,2017,2017-11-19,10,24.270,KAN,@,NYG,L 9-12,,1,3,3.00,0,0,0,0,,0,0.0%,,3,49,16.33,0
25,2017,2017-11-26,11,24.277,KAN,,BUF,L 10-16,,1,-10,-10.00,0,1,1,6,6.00,0,100.0%,6.00,1,32,32.00,0
26,2017,2017-12-03,12,24.284,KAN,@,NYJ,L 31-38,,1,2,2.00,0,1,1,20,20.00,0,100.0%,20.00,2,38,19.00,0
27,2017,2017-12-10,13,24.291,KAN,,OAK,W 26-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
28,2017,2017-12-16,14,24.297,KAN,,LAC,W 30-13,,0,0,,0,0,0,0,,0,0.0%,,3,75,25.00,0
29,2017,2017-12-24,15,24.305,KAN,,MIA,W 29-13,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0
30,2017,2017-12-31,16,24.312,KAN,@,DEN,W 27-24,,4,25,6.25,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0
