ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1999,1999-09-12,1,23.059,CLE,,PIT,L 0-43,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
2,1999,1999-09-19,2,23.066,CLE,@,TEN,L 9-26,*,4,4,62,15.50,1,100.0%,15.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,3,3.00,0,1,6
3,1999,1999-09-26,3,23.073,CLE,@,BAL,L 10-17,*,8,2,18,9.00,1,25.0%,2.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,21,10.50,0,1,6
4,1999,1999-10-03,4,23.080,CLE,,NWE,L 7-19,*,9,6,131,21.83,1,66.7%,14.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,12,4.00,0,1,6
5,1999,1999-10-10,5,23.087,CLE,,CIN,L 17-18,*,13,5,73,14.60,0,38.5%,5.62,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,43,10.75,0,0,0
6,1999,1999-10-17,6,23.094,CLE,@,JAX,L 7-24,*,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,18,6.00,0,0,0
7,1999,1999-10-24,7,23.101,CLE,@,STL,L 3-34,*,8,3,35,11.67,0,37.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
8,1999,1999-10-31,8,23.108,CLE,@,NOR,W 21-16,*,6,4,96,24.00,2,66.7%,16.00,0,0,,0,0,0,,0,0,0,,0,,,,1,25,25.00,0,0,0,,0,2,12
9,1999,1999-11-07,9,23.115,CLE,,BAL,L 9-41,*,7,3,43,14.33,0,42.9%,6.14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
10,1999,1999-11-14,10,23.122,CLE,@,PIT,W 16-15,*,7,5,73,14.60,1,71.4%,10.43,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,5,5.00,0,1,6
11,1999,1999-11-21,11,23.129,CLE,,CAR,L 17-31,*,15,5,55,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
12,1999,1999-11-28,12,23.136,CLE,,TEN,L 21-33,*,12,6,90,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,9,4.50,0,1,6
