ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1952,1952-09-28,1,22.179,CHI,@,GNB,W 24-14,1,5,5.00,0,0,0,,0,0,,,,,,
2,1952,1952-10-05,2,22.186,CHI,@,CRD,L 10-21,2,34,17.00,0,0,0,,0,0,,,,,,
3,1952,1952-11-02,6,22.214,CHI,@,SFO,W 20-17,1,29,29.00,0,0,0,,0,0,,,,,,
4,1952,1952-11-09,7,22.221,CHI,,GNB,L 28-41,2,33,16.50,0,0,0,,0,0,,,,,,
5,1952,1952-11-16,8,22.228,CHI,,RAM,L 24-40,4,48,12.00,1,0,0,,0,0,,,,,,
6,1952,1952-11-23,9,22.235,CHI,,DET,W 24-23,2,18,9.00,0,0,0,,0,0,,,,,,
7,1952,1952-12-07,11,22.249,CHI,@,DET,L 21-45,4,57,14.25,1,0,0,,0,0,,,,,,
8,1953,1953-09-27,1,23.178,CHI,@,BAL,L 9-13,5,47,9.40,0,0,0,,0,0,,,,,,
9,1953,1953-10-04,2,23.185,CHI,@,GNB,W 17-13,2,20,10.00,0,0,0,,0,0,,,,,,
10,1953,1953-10-11,3,23.192,CHI,,BAL,L 14-16,6,61,10.17,2,0,0,,0,0,,,,,,
11,1953,1953-10-18,4,23.199,CHI,,SFO,L 28-35,2,43,21.50,0,0,0,,0,0,,,,,,
12,1953,1953-10-25,5,23.206,CHI,@,RAM,L 24-38,5,52,10.40,0,0,0,,0,0,,,,,,
13,1953,1953-11-01,6,23.213,CHI,@,SFO,L 14-24,2,15,7.50,1,0,0,,0,0,,,,,,
14,1953,1953-11-08,7,23.220,CHI,,GNB,T 21-21,5,60,12.00,0,0,0,,0,0,,,,,,
15,1953,1953-11-15,8,23.227,CHI,@,WAS,W 27-24,2,40,20.00,0,0,0,,0,0,,,,,,
16,1953,1953-11-22,9,23.234,CHI,,DET,L 16-20,4,78,19.50,1,0,0,,0,0,,,,,,
17,1953,1953-12-06,11,23.248,CHI,@,DET,L 7-13,2,31,15.50,0,0,0,,0,0,,,,,,
18,1953,1953-12-13,12,23.255,CHI,,CRD,L 17-24,1,6,6.00,0,0,0,,0,0,,,,,,
19,1954,1954-10-17,4,24.198,CHI,,SFO,L 24-31,3,57,19.00,1,0,0,,0,0,,,,,,
20,1954,1954-10-24,5,24.205,CHI,@,RAM,L 38-42,8,110,13.75,1,0,0,,0,0,,,,,,
21,1954,1954-10-31,6,24.212,CHI,@,SFO,W 31-27,2,28,14.00,0,0,0,,0,0,,,,,,
22,1954,1954-11-07,7,24.219,CHI,,GNB,W 28-23,2,30,15.00,0,0,0,,0,0,,,,,,
23,1954,1954-11-14,8,24.226,CHI,,CLE,L 10-39,2,20,10.00,0,0,0,,0,0,,,,,,
24,1954,1954-11-21,9,24.233,CHI,@,BAL,W 28-13,3,44,14.67,0,0,0,,0,0,,,,,,
25,1954,1954-11-28,10,24.240,CHI,,RAM,W 24-13,1,13,13.00,0,0,0,,0,0,,,,,,
26,1954,1954-12-05,11,24.247,CHI,@,CRD,W 29-7,3,66,22.00,0,0,0,,0,0,,,,,,
27,1955,1955-09-25,1,25.176,CHI,@,BAL,L 17-23,8,84,10.50,0,1,1,100.00,59,0,0,118.7,0,0,59.00,59.00
28,1955,1955-10-09,3,25.190,CHI,,SFO,L 19-20,2,36,18.00,0,0,0,,0,0,,,,,,
29,1955,1955-10-16,4,25.197,CHI,,BAL,W 38-10,1,37,37.00,1,0,0,,0,0,,,,,,
30,1955,1955-10-23,5,25.204,CHI,@,SFO,W 34-23,4,79,19.75,1,0,0,,0,0,,,,,,
31,1955,1955-10-30,6,25.211,CHI,@,RAM,W 31-20,3,42,14.00,0,0,0,,0,0,,,,,,
32,1955,1955-11-06,7,25.218,CHI,,GNB,W 52-31,2,34,17.00,1,0,0,,0,0,,,,,,
33,1955,1955-11-13,8,25.225,CHI,,RAM,W 24-3,3,30,10.00,0,0,0,,0,0,,,,,,
34,1955,1955-11-20,9,25.232,CHI,@,DET,W 24-14,4,54,13.50,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
35,1955,1955-11-27,10,25.239,CHI,@,CRD,L 14-53,5,54,10.80,0,0,0,,0,0,,,,,,
36,1955,1955-12-04,11,25.246,CHI,,DET,W 21-20,1,14,14.00,0,0,0,,0,0,,,,,,
37,1955,1955-12-11,12,25.253,CHI,,PHI,W 17-10,2,38,19.00,0,0,0,,0,0,,,,,,
38,1956,1956-09-30,1,26.181,CHI,@,BAL,L 21-28,3,29,9.67,0,0,0,,0,0,,,,,,
39,1956,1956-10-07,2,26.188,CHI,@,GNB,W 37-21,3,27,9.00,1,0,0,,0,0,,,,,,
40,1956,1956-10-14,3,26.195,CHI,,SFO,W 31-7,2,30,15.00,0,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50
41,1956,1956-10-21,4,26.202,CHI,,BAL,W 58-27,2,13,6.50,2,0,0,,0,0,,,,,,
42,1956,1956-10-28,5,26.209,CHI,@,SFO,W 38-21,2,21,10.50,0,0,0,,0,0,,,,,,
43,1956,1956-11-04,6,26.216,CHI,@,RAM,W 35-24,2,16,8.00,0,0,0,,0,0,,,,,,
44,1956,1956-11-11,7,26.223,CHI,,GNB,W 38-14,2,76,38.00,1,0,0,,0,0,,,,,,
45,1956,1956-11-18,8,26.230,CHI,,RAM,W 30-21,3,50,16.67,0,0,0,,0,0,,,,,,
46,1956,1956-11-25,9,26.237,CHI,@,NYG,T 17-17,3,32,10.67,0,1,1,100.00,79,1,0,158.3,0,0,79.00,99.00
47,1956,1956-12-02,10,26.244,CHI,@,DET,L 10-42,1,28,28.00,0,0,0,,0,0,,,,,,
48,1956,1956-12-16,12,26.258,CHI,,DET,W 38-21,1,0,0.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00
49,1957,1957-09-29,1,27.180,CHI,@,GNB,L 17-21,4,84,21.00,0,0,0,,0,0,,,,,,
50,1957,1957-10-27,5,27.208,CHI,@,SFO,L 17-21,1,14,14.00,0,0,0,,0,0,,,,,,
51,1957,1957-11-03,6,27.215,CHI,@,RAM,W 16-10,1,7,7.00,0,0,0,,0,0,,,,,,
52,1957,1957-11-10,7,27.222,CHI,,GNB,W 21-14,4,58,14.50,0,0,0,,0,0,,,,,,
53,1957,1957-11-17,8,27.229,CHI,,BAL,L 14-29,2,24,12.00,1,0,0,,0,0,,,,,,
54,1957,1957-11-24,9,27.236,CHI,@,DET,W 27-7,3,37,12.33,0,0,0,,0,0,,,,,,
55,1957,1957-12-01,10,27.243,CHI,,WAS,L 3-14,1,10,10.00,0,0,0,,0,0,,,,,,
56,1957,1957-12-08,11,27.250,CHI,@,CRD,W 14-6,2,37,18.50,0,0,0,,0,0,,,,,,
57,1957,1957-12-15,12,27.257,CHI,,DET,L 13-21,1,11,11.00,0,0,0,,0,0,,,,,,
58,1958,1958-10-04,2,28.185,CHI,@,BAL,L 38-51,4,62,15.50,2,0,0,,0,0,,,,,,
59,1958,1958-10-12,3,28.193,CHI,,SFO,W 28-6,2,25,12.50,0,0,0,,0,0,,,,,,
60,1958,1958-10-19,4,28.200,CHI,,RAM,W 31-10,2,13,6.50,1,0,0,,0,0,,,,,,
61,1958,1958-10-26,5,28.207,CHI,@,SFO,W 27-14,4,57,14.25,0,0,0,,0,0,,,,,,
62,1958,1958-11-02,6,28.214,CHI,@,RAM,L 35-41,3,41,13.67,2,0,0,,0,0,,,,,,
63,1958,1958-11-09,7,28.221,CHI,,GNB,W 24-10,1,17,17.00,0,0,0,,0,0,,,,,,
64,1958,1958-11-16,8,28.228,CHI,,BAL,L 0-17,1,15,15.00,0,0,0,,0,0,,,,,,
65,1958,1958-11-23,9,28.235,CHI,@,DET,W 20-7,6,123,20.50,2,0,0,,0,0,,,,,,
66,1958,1958-11-30,10,28.242,CHI,@,PIT,L 10-24,5,60,12.00,0,0,0,,0,0,,,,,,
67,1958,1958-12-07,11,28.249,CHI,,CRD,W 30-14,3,36,12.00,0,0,0,,0,0,,,,,,
68,1958,1958-12-14,12,28.256,CHI,,DET,W 21-16,4,68,17.00,1,0,0,,0,0,,,,,,
69,1959,1959-10-25,5,29.206,CHI,@,SFO,L 17-20,1,21,21.00,0,0,0,,0,0,,,,,,
70,1959,1959-11-01,6,29.213,CHI,@,RAM,W 26-21,1,6,6.00,0,0,0,,0,0,,,,,,
71,1959,1959-12-06,11,29.248,CHI,,PIT,W 27-21,5,41,8.20,0,0,0,,0,0,,,,,,
72,1959,1959-12-13,12,29.255,CHI,,DET,W 25-14,1,26,26.00,0,0,0,,0,0,,,,,,
