ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-20,2,23.121,NWE,@,NYJ,L 9-16,*,16,8,98,12.25,0,50.0%,6.13,0,0,,0,2,39,19.50,0,1,2,2.00,0,,0,0,0.0,0,0
2,2009,2009-09-27,3,23.128,NWE,,ATL,W 26-10,,5,3,20,6.67,0,60.0%,4.00,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
3,2009,2009-10-04,4,23.135,NWE,,BAL,W 27-21,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2009,2009-10-11,5,23.142,NWE,@,DEN,L 17-20,,3,3,15,5.00,0,100.0%,5.00,0,0,,0,4,93,23.25,0,2,22,11.00,0,,0,0,0.0,0,0
5,2009,2009-10-18,6,23.149,NWE,,TEN,W 59-0,*,6,6,43,7.17,0,100.0%,7.17,0,0,,0,1,25,25.00,0,3,39,13.00,0,,0,0,0.0,0,0
6,2009,2009-11-15,9,23.177,NWE,@,IND,L 34-35,,2,2,14,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
7,2009,2009-11-22,10,23.184,NWE,,NYJ,W 31-14,*,3,3,26,8.67,0,100.0%,8.67,1,0,0.00,0,3,68,22.67,0,0,0,,0,,0,0,0.0,0,0
8,2009,2009-12-13,13,23.205,NWE,,CAR,W 20-10,*,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,
9,2009,2009-12-20,14,23.212,NWE,@,BUF,W 17-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
10,2009,2009-12-27,15,23.219,NWE,,JAX,W 35-7,*,2,1,28,28.00,0,50.0%,14.00,0,0,,0,1,16,16.00,0,0,0,,0,,0,0,0.0,0,0
11,2009,2010-01-03,16,23.226,NWE,@,HOU,L 27-34,*,15,10,103,10.30,0,66.7%,6.87,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2010,2010-09-19,2,24.120,NWE,@,NYJ,L 14-28,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,2,26,13.00,0,,0,0,0.0,0,0
13,2010,2010-09-26,3,24.127,NWE,,BUF,W 38-30,*,3,3,8,2.67,0,100.0%,2.67,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2010,2010-10-04,4,24.135,NWE,@,MIA,W 41-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
15,2010,2010-10-17,5,24.148,NWE,,BAL,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,2,16,8.00,0,,0,0,0.0,0,0
16,2010,2010-10-24,6,24.155,NWE,@,SDG,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,37,18.50,0,,0,0,0.0,0,0
17,2010,2010-10-31,7,24.162,NWE,,MIN,W 28-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
18,2010,2010-11-07,8,24.169,NWE,@,CLE,L 14-34,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,1,0
19,2010,2010-11-14,9,24.176,NWE,@,PIT,W 39-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
20,2010,2010-11-21,10,24.183,NWE,,IND,W 31-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2010,2010-11-25,11,24.187,NWE,@,DET,W 45-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,47,15.67,0,,0,0,0.0,0,0
22,2010,2010-12-06,12,24.198,NWE,,NYJ,W 45-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,13,13.00,0,,0,0,0.0,0,0
23,2010,2010-12-12,13,24.204,NWE,@,CHI,W 36-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,43,21.50,0,,0,0,0.0,0,0
24,2010,2010-12-19,14,24.211,NWE,,GNB,W 31-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,3,11,3.67,0,,0,0,0.0,0,0
25,2010,2010-12-26,15,24.218,NWE,@,BUF,W 34-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
26,2010,2011-01-02,16,24.225,NWE,,MIA,W 38-7,*,5,3,72,24.00,0,60.0%,14.40,1,13,13.00,0,0,0,,0,4,112,28.00,1,,1,6,0.0,0,0
27,2011,2011-09-12,1,25.113,NWE,@,MIA,W 38-24,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,2,65,32.50,0,5,59,11.80,0,,0,0,0.0,0,0
28,2011,2011-09-18,2,25.119,NWE,,SDG,W 35-21,,0,0,0,,0,0.0%,,0,0,,0,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0
29,2011,2011-09-25,3,25.126,NWE,@,BUF,L 31-34,,3,1,5,5.00,0,33.3%,1.67,2,3,1.50,0,3,63,21.00,0,3,31,10.33,0,,0,0,0.0,0,0
30,2011,2011-10-02,4,25.133,NWE,@,OAK,W 31-19,,1,1,11,11.00,0,100.0%,11.00,1,-1,-1.00,0,2,47,23.50,0,1,15,15.00,0,,0,0,0.0,0,0
31,2011,2011-11-06,8,25.168,NWE,,NYG,L 20-24,,2,0,2,,0,0.0%,1.00,0,0,,0,1,22,22.00,0,5,17,3.40,0,,0,0,0.0,0,0
32,2011,2011-11-13,9,25.175,NWE,@,NYJ,W 37-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,16,16.00,0,,0,0,0.0,1,0
33,2011,2011-11-21,10,25.183,NWE,,KAN,W 34-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,81,40.50,1,,0,6,0.0,1,0
34,2011,2011-11-27,11,25.189,NWE,@,PHI,W 38-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,13,6.50,0,,0,0,0.0,2,1
35,2011,2011-12-04,12,25.196,NWE,,IND,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,2,48,24.00,0,2,15,7.50,0,,0,0,0.0,0,0
36,2011,2011-12-11,13,25.203,NWE,@,WAS,W 34-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,18,9.00,0,,0,0,0.0,1,3
37,2011,2011-12-18,14,25.210,NWE,@,DEN,W 41-23,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,3,23,7.67,0,,0,0,0.0,0,0
38,2011,2011-12-24,15,25.216,NWE,,MIA,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0
39,2011,2012-01-01,16,25.224,NWE,,BUF,W 49-21,,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,4,1
40,2012,2012-09-09,1,26.110,NWE,@,TEN,W 34-13,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,3,27,9.00,0,,0,0,0.0,0,0
41,2012,2012-09-16,2,26.117,NWE,,ARI,L 18-20,*,6,5,50,10.00,0,83.3%,8.33,0,0,,0,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
42,2012,2012-09-23,3,26.124,NWE,@,BAL,L 30-31,,7,4,28,7.00,1,57.1%,4.00,2,-5,-2.50,0,0,0,,0,1,11,11.00,0,,1,6,0.0,0,0
43,2012,2012-10-21,7,26.152,NWE,,NYJ,W 29-26,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,1,6,6.00,0,0,0,,0,,0,0,0.0,0,0
44,2012,2012-10-28,8,26.159,NWE,@,STL,W 45-7,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,3,16,5.33,0,,0,0,0.0,0,0
45,2012,2012-11-11,9,26.173,NWE,,BUF,W 37-31,,0,0,0,,0,0.0%,,0,0,,0,1,32,32.00,0,2,10,5.00,0,,0,0,0.0,0,0
46,2012,2012-11-18,10,26.180,NWE,,IND,W 59-24,*,7,5,58,11.60,1,71.4%,8.29,1,47,47.00,0,0,0,,0,2,117,58.50,1,,1,12,0.0,0,0
47,2012,2012-11-22,11,26.184,NWE,@,NYJ,W 49-19,,3,2,64,32.00,1,66.7%,21.33,1,3,3.00,0,1,0,0.00,0,2,32,16.00,0,,1,12,0.0,0,0
48,2012,2012-12-02,12,26.194,NWE,@,MIA,W 23-16,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
49,2013,2013-09-08,1,27.109,NWE,@,BUF,W 23-21,,9,7,79,11.29,2,77.8%,8.78,0,0,,0,0,0,,0,3,32,10.67,0,,2,12,0.0,0,0
50,2013,2013-09-12,2,27.113,NWE,,NYJ,W 13-10,*,18,13,78,6.00,0,72.2%,4.33,1,4,4.00,0,0,0,,0,6,72,12.00,0,,0,0,0.0,0,0
51,2013,2013-09-22,3,27.123,NWE,,TAM,W 23-3,*,7,7,44,6.29,0,100.0%,6.29,0,0,,0,0,0,,0,2,29,14.50,0,,0,0,0.0,0,0
52,2013,2013-09-29,4,27.130,NWE,@,ATL,W 30-23,*,9,7,118,16.86,0,77.8%,13.11,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2013,2013-10-06,5,27.137,NWE,@,CIN,L 6-13,*,7,2,35,17.50,0,28.6%,5.00,1,7,7.00,0,0,0,,0,4,43,10.75,0,,0,0,0.0,0,0
54,2013,2013-10-13,6,27.144,NWE,,NOR,W 30-27,,11,5,57,11.40,0,45.5%,5.18,0,0,,0,0,0,,0,3,9,3.00,0,,0,0,0.0,0,0
55,2013,2013-10-20,7,27.151,NWE,@,NYJ,L 27-30,*,7,5,44,8.80,0,71.4%,6.29,0,0,,0,0,0,,0,3,58,19.33,0,,0,0,0.0,0,0
56,2013,2013-10-27,8,27.158,NWE,,MIA,W 27-17,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,3,13,4.33,0,,0,0,0.0,0,0
57,2013,2013-11-03,9,27.165,NWE,,PIT,W 55-31,,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0,,0,2,43,21.50,0,,0,0,0.0,0,0
58,2013,2013-11-18,10,27.180,NWE,@,CAR,L 20-24,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
59,2013,2013-11-24,11,27.186,NWE,,DEN,W 34-31,*,11,9,110,12.22,2,81.8%,10.00,0,0,,0,0,0,,0,3,39,13.00,0,,2,12,0.0,0,0
60,2013,2013-12-01,12,27.193,NWE,@,HOU,W 34-31,*,12,9,101,11.22,0,75.0%,8.42,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
61,2013,2013-12-08,13,27.200,NWE,,CLE,W 27-26,*,9,6,64,10.67,1,66.7%,7.11,0,0,,0,0,0,,0,2,7,3.50,0,1,1,8,0.0,0,0
62,2013,2013-12-15,14,27.207,NWE,@,MIA,L 20-24,*,19,13,139,10.69,1,68.4%,7.32,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
63,2013,2013-12-22,15,27.214,NWE,@,BAL,W 41-7,*,11,7,77,11.00,0,63.6%,7.00,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
64,2013,2013-12-29,16,27.221,NWE,,BUF,W 34-20,*,11,9,65,7.22,0,81.8%,5.91,0,0,,0,0,0,,0,2,7,3.50,0,1,0,2,0.0,0,0
65,2014,2014-09-07,1,28.108,NWE,@,MIA,L 20-33,*,8,6,95,15.83,0,75.0%,11.88,2,21,10.50,0,0,0,,0,2,15,7.50,0,,0,0,0.0,0,0
