ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2001,2001-09-09,1,23.202,DET,@,GNB,L 6-28,,,,,
2,2001,2001-09-23,2,23.216,DET,@,CLE,L 14-24,,,,,
3,2001,2001-10-14,4,23.237,DET,@,MIN,L 26-31,,,,,
4,2001,2001-10-21,5,23.244,DET,,TEN,L 24-27,,,,,
5,2001,2001-10-28,6,23.251,DET,,CIN,L 27-31,,,,,
6,2001,2001-11-04,7,23.258,DET,@,SFO,L 13-21,,,,,
7,2001,2001-11-18,9,23.272,DET,@,ARI,L 38-45,,,,,
8,2001,2001-11-22,10,23.276,DET,,GNB,L 27-29,,,,,
9,2001,2001-12-02,11,23.286,DET,@,CHI,L 10-13,,,,,
10,2001,2001-12-09,12,23.293,DET,@,TAM,L 12-15,,,,,
11,2001,2001-12-16,13,23.300,DET,,MIN,W 27-24,,,,,
12,2001,2001-12-30,15,23.314,DET,,CHI,L 0-24,,,,,
13,2001,2002-01-06,16,23.321,DET,,DAL,W 15-10,*,,,,
14,2002,2002-09-15,2,24.208,PIT,,OAK,L 17-30,,,,,
15,2002,2002-10-06,4,24.229,PIT,@,NOR,L 29-32,,,,,
16,2002,2002-10-13,5,24.236,PIT,@,CIN,W 34-7,,,,,
17,2002,2002-10-21,6,24.244,PIT,,IND,W 28-10,,,,,
18,2002,2002-10-27,7,24.250,PIT,@,BAL,W 31-18,,,,,
19,2002,2002-11-03,8,24.257,PIT,@,CLE,W 23-20,,,,,
20,2002,2002-11-10,9,24.264,PIT,,ATL,T 34-34,,,,,
21,2002,2002-11-17,10,24.271,PIT,@,TEN,L 23-31,,,,,
22,2002,2002-11-24,11,24.278,PIT,,CIN,W 29-21,,,,,
23,2002,2002-12-01,12,24.285,PIT,@,JAX,W 25-23,,,,,
24,2002,2002-12-15,14,24.299,PIT,,CAR,W 30-14,,,,,
25,2002,2002-12-23,15,24.307,PIT,@,TAM,W 17-7,,,,,
26,2002,2002-12-29,16,24.313,PIT,,BAL,W 34-31,,,,,
27,2003,2003-09-07,1,25.200,PIT,,BAL,W 34-15,,,,,
28,2003,2003-09-14,2,25.207,PIT,@,KAN,L 20-41,,,,,
29,2003,2003-09-21,3,25.214,PIT,@,CIN,W 17-10,,,,,
30,2003,2003-09-28,4,25.221,PIT,,TEN,L 13-30,,,,,
31,2003,2003-10-05,5,25.228,PIT,,CLE,L 13-33,,,,,
32,2003,2003-10-26,7,25.249,PIT,,STL,L 21-33,,,,,
33,2003,2003-11-02,8,25.256,PIT,@,SEA,L 16-23,,,,,
34,2003,2003-11-09,9,25.263,PIT,,ARI,W 28-15,,,,,
35,2003,2003-11-17,10,25.271,PIT,@,SFO,L 14-30,,,,,
36,2003,2003-11-23,11,25.277,PIT,@,CLE,W 13-6,,,,,
37,2003,2003-11-30,12,25.284,PIT,,CIN,L 20-24,,,,,
38,2003,2003-12-07,13,25.291,PIT,,OAK,W 27-7,,,,,
39,2003,2003-12-14,14,25.298,PIT,@,NYJ,L 0-6,,,,,
40,2003,2003-12-21,15,25.305,PIT,,SDG,W 40-24,,,,,
41,2003,2003-12-28,16,25.312,PIT,@,BAL,L 10-13,,,,,
42,2004,2004-09-12,1,26.206,PIT,,OAK,W 24-21,,,,,
43,2004,2004-09-19,2,26.213,PIT,@,BAL,L 13-30,,,,,
44,2004,2004-09-26,3,26.220,PIT,@,MIA,W 13-3,,,,,
45,2004,2004-10-10,5,26.234,PIT,,CLE,W 34-23,,,,,
46,2004,2004-10-17,6,26.241,PIT,@,DAL,W 24-20,,,,,
47,2004,2004-10-31,7,26.255,PIT,,NWE,W 34-20,,,,,
48,2004,2004-11-07,8,26.262,PIT,,PHI,W 27-3,,,,,
49,2004,2004-11-14,9,26.269,PIT,@,CLE,W 24-10,,,,,
50,2004,2004-11-28,11,26.283,PIT,,WAS,W 16-7,,,,,
51,2004,2004-12-05,12,26.290,PIT,@,JAX,W 17-16,,,,,
52,2004,2004-12-12,13,26.297,PIT,,NYJ,W 17-6,,,,,
53,2004,2004-12-18,14,26.303,PIT,@,NYG,W 33-30,,,,,
54,2004,2004-12-26,15,26.311,PIT,,BAL,W 20-7,,,,,
55,2004,2005-01-02,16,26.318,PIT,@,BUF,W 29-24,,,,,
56,2005,2005-09-11,1,27.204,PIT,,TEN,W 34-7,,,,,
