ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-24,2,25.242,SFO,,CHI,L 20-32,1,27,27.00,0,0,0,,0
2,1950,1950-10-08,4,25.256,SFO,@,DET,L 7-24,5,43,8.60,0,0,0,,0
3,1950,1950-10-12,5,25.260,SFO,@,NYY,L 24-29,3,39,13.00,0,0,0,,0
4,1950,1950-10-22,6,25.270,SFO,,DET,W 28-27,2,5,2.50,1,0,0,,0
5,1950,1950-11-05,8,25.284,SFO,@,RAM,L 21-28,0,12,,0,0,0,,0
6,1950,1950-11-19,10,25.298,SFO,@,CHI,L 0-17,1,10,10.00,0,0,0,,0
7,1950,1950-11-26,11,25.305,SFO,@,GNB,L 21-25,1,6,6.00,0,0,0,,0
8,1950,1950-12-10,12,25.319,SFO,,GNB,W 30-14,1,28,28.00,0,0,0,,0
9,1951,1951-09-30,1,26.248,SFO,,CLE,W 24-10,1,37,37.00,0,0,0,,0
10,1951,1951-10-06,2,26.254,SFO,@,PHI,L 14-21,2,30,15.00,0,0,0,,0
11,1951,1951-10-14,3,26.262,SFO,@,PIT,W 28-24,6,120,20.00,0,0,0,,0
12,1951,1951-10-21,4,26.269,SFO,@,CHI,L 7-13,8,109,13.63,1,0,0,,0
13,1951,1951-10-28,5,26.276,SFO,,RAM,W 44-17,6,132,22.00,3,0,0,,0
14,1951,1951-11-04,6,26.283,SFO,@,RAM,L 16-23,1,9,9.00,0,1,-4,-4.00,0
15,1951,1951-11-11,7,26.290,SFO,,NYY,W 19-14,6,61,10.17,1,0,0,,0
16,1951,1951-11-18,8,26.297,SFO,,CRD,L 21-27,8,110,13.75,0,0,0,,0
17,1951,1951-11-25,9,26.304,SFO,@,NYY,T 10-10,6,50,8.33,0,0,0,,0
18,1951,1951-12-02,10,26.311,SFO,@,DET,W 20-10,3,38,12.67,0,0,0,,0
19,1951,1951-12-09,11,26.318,SFO,,GNB,W 31-19,7,66,9.43,1,0,0,,0
20,1951,1951-12-16,12,26.325,SFO,,DET,W 21-17,5,64,12.80,1,0,0,,0
21,1952,1952-09-28,1,27.247,SFO,,DET,W 17-3,2,13,6.50,0,0,0,,0
22,1952,1952-10-05,2,27.254,SFO,@,DTX,W 37-14,3,52,17.33,1,0,0,,0
23,1952,1952-10-12,3,27.261,SFO,@,DET,W 28-0,5,61,12.20,0,0,0,,0
24,1952,1952-10-19,4,27.268,SFO,@,CHI,W 40-16,6,107,17.83,0,0,0,,0
25,1952,1952-10-26,5,27.275,SFO,,DTX,W 48-21,5,50,10.00,1,0,0,,0
26,1952,1952-11-02,6,27.282,SFO,,CHI,L 17-20,5,61,12.20,1,0,0,,0
27,1952,1952-11-09,7,27.289,SFO,@,NYG,L 14-23,10,196,19.60,1,0,0,,0
28,1952,1952-11-16,8,27.296,SFO,@,WAS,W 23-17,6,86,14.33,0,0,0,,0
29,1952,1952-11-23,9,27.303,SFO,@,RAM,L 9-35,6,52,8.67,1,0,0,,0
30,1952,1952-11-30,10,27.310,SFO,,RAM,L 21-34,2,12,6.00,1,0,0,,0
31,1952,1952-12-07,11,27.317,SFO,,PIT,L 7-24,5,84,16.80,1,0,0,,0
32,1953,1953-09-27,1,28.245,SFO,,PHI,W 31-21,2,17,8.50,0,0,0,,0
33,1953,1953-10-04,2,28.252,SFO,,RAM,W 31-30,2,28,14.00,0,0,0,,0
34,1953,1953-10-11,3,28.259,SFO,@,DET,L 21-24,4,37,9.25,1,0,0,,0
35,1953,1953-10-18,4,28.266,SFO,@,CHI,W 35-28,2,11,5.50,0,0,0,,0
36,1953,1953-10-25,5,28.273,SFO,,DET,L 10-14,2,24,12.00,0,0,0,,0
37,1953,1953-11-01,6,28.280,SFO,,CHI,W 24-14,7,102,14.57,0,0,0,,0
38,1953,1953-11-08,7,28.287,SFO,@,RAM,W 31-27,5,90,18.00,1,0,0,,0
39,1953,1953-11-15,8,28.294,SFO,@,CLE,L 21-23,3,48,16.00,0,0,0,,0
40,1953,1953-11-22,9,28.301,SFO,@,GNB,W 37-7,3,9,3.00,0,0,0,,0
41,1953,1953-11-29,10,28.308,SFO,@,BAL,W 38-21,4,123,30.75,2,0,0,,0
42,1953,1953-12-06,11,28.315,SFO,,GNB,W 48-14,2,39,19.50,0,0,0,,0
43,1953,1953-12-13,12,28.322,SFO,,BAL,W 45-14,7,92,13.14,2,0,0,,0
44,1954,1954-10-31,6,29.279,SFO,,CHI,L 27-31,2,33,16.50,0,0,0,,0
45,1954,1954-11-07,7,29.286,SFO,,RAM,L 34-42,5,105,21.00,1,0,0,,0
46,1954,1954-11-14,8,29.293,SFO,@,DET,L 7-48,3,27,9.00,0,0,0,,0
47,1954,1954-11-20,9,29.299,SFO,@,PIT,W 31-3,3,27,9.00,0,0,0,,0
48,1954,1954-11-28,10,29.307,SFO,@,BAL,L 13-17,3,36,12.00,0,0,0,,0
49,1954,1954-12-05,11,29.314,SFO,,GNB,W 35-0,4,63,15.75,1,0,0,,0
50,1954,1954-12-11,12,29.320,SFO,,BAL,W 10-7,2,25,12.50,0,0,0,,0
51,1955,1955-09-25,1,30.243,SFO,,RAM,L 14-23,4,49,12.25,0,0,0,,0
52,1955,1955-10-02,2,30.250,SFO,,CLE,L 3-38,1,19,19.00,0,0,0,,0
53,1955,1955-10-09,3,30.257,SFO,@,CHI,W 20-19,3,44,14.67,0,0,0,,0
54,1955,1955-10-16,4,30.264,SFO,@,DET,W 27-24,3,39,13.00,0,0,0,,0
55,1955,1955-10-23,5,30.271,SFO,,CHI,L 23-34,2,17,8.50,0,0,0,,0
56,1955,1955-10-30,6,30.278,SFO,,DET,W 38-21,3,39,13.00,0,0,0,,0
57,1955,1955-11-06,7,30.285,SFO,@,RAM,L 14-27,1,14,14.00,0,0,0,,0
58,1955,1955-11-13,8,30.292,SFO,@,WAS,L 0-7,1,7,7.00,0,0,0,,0
59,1955,1955-11-20,9,30.299,SFO,@,GNB,L 21-27,4,72,18.00,0,0,0,,0
60,1955,1955-11-27,10,30.306,SFO,@,BAL,L 14-26,2,36,18.00,1,0,0,,0
61,1955,1955-12-11,12,30.320,SFO,,BAL,W 35-24,2,22,11.00,0,0,0,,0
62,1956,1956-09-30,1,31.249,SFO,,NYG,L 21-38,4,53,13.25,0,0,0,,0
63,1956,1956-10-07,2,31.256,SFO,,RAM,W 33-30,2,9,4.50,0,0,0,,0
64,1956,1956-10-14,3,31.263,SFO,@,CHI,L 7-31,2,38,19.00,0,0,0,,0
65,1956,1956-10-21,4,31.270,SFO,@,DET,L 17-20,1,12,12.00,0,0,0,,0
66,1956,1956-10-28,5,31.277,SFO,,CHI,L 21-38,5,114,22.80,1,0,0,,0
67,1956,1956-11-04,6,31.284,SFO,,DET,L 13-17,1,24,24.00,0,0,0,,0
68,1956,1956-11-18,8,31.298,SFO,@,GNB,W 17-16,2,32,16.00,0,0,0,,0
69,1956,1956-11-25,9,31.305,SFO,@,PHI,T 10-10,1,17,17.00,0,0,0,,0
70,1957,1957-09-29,1,32.247,SFO,,CRD,L 10-20,1,12,12.00,0,0,0,,0
71,1957,1957-11-17,8,32.296,SFO,@,DET,L 10-31,3,35,11.67,0,0,0,,0
72,1957,1957-12-08,11,32.317,SFO,,BAL,W 17-13,1,0,0.00,0,0,0,,0
73,1958,1958-09-28,1,33.246,SFO,,PIT,W 23-20,1,7,7.00,0,0,0,,0
74,1958,1958-11-09,7,33.288,SFO,@,RAM,L 7-56,1,11,11.00,0,0,0,,0
75,1958,1958-12-07,11,33.316,SFO,,GNB,W 48-21,5,59,11.80,0,0,0,,0
