ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks
1,1985,1985-09-08,1,22.266,CHI,,TAM,W 38-28,0,0,,0,,0,0,,0,,,0,,
2,1985,1985-09-15,2,22.273,CHI,,NWE,W 20-7,0,0,,0,,0,0,,0,,,0,,
3,1985,1985-09-19,3,22.277,CHI,@,MIN,W 33-24,0,0,,0,,0,0,,0,,,0,,
4,1985,1985-09-29,4,22.287,CHI,,WAS,W 45-10,0,0,,0,,0,0,,0,,,0,,
5,1985,1985-10-06,5,22.294,CHI,@,TAM,W 27-19,0,0,,0,,0,0,,0,,,0,,
6,1985,1985-10-13,6,22.301,CHI,@,SFO,W 26-10,2,4,2.00,0,,0,0,,0,,,0,0,0.0
7,1985,1985-10-21,7,22.309,CHI,,GNB,W 23-7,1,1,1.00,1,,0,0,,0,,,1,6,0.0
8,1985,1985-10-27,8,22.315,CHI,,MIN,W 27-9,0,0,,0,,0,0,,0,,,0,0,1.0
9,1985,1985-11-03,9,22.322,CHI,@,GNB,W 16-10,0,0,,0,,1,4,4.00,1,,,1,6,0.0
10,1985,1985-11-10,10,22.329,CHI,,DET,W 24-3,0,0,,0,,0,0,,0,,,0,0,2.0
11,1985,1985-11-17,11,22.336,CHI,@,DAL,W 44-0,1,1,1.00,0,,0,0,,0,,,0,0,0.0
12,1985,1985-11-24,12,22.343,CHI,,ATL,W 36-0,1,1,1.00,1,,0,0,,0,,,1,6,1.0
13,1985,1985-12-02,13,22.351,CHI,@,MIA,L 24-38,0,0,,0,,0,0,,0,,,0,,
14,1985,1985-12-08,14,22.357,CHI,,IND,W 17-10,0,0,,0,,0,0,,0,,,0,,
15,1985,1985-12-14,15,22.363,CHI,@,NYJ,W 19-6,0,0,,0,,0,0,,0,,,0,,
16,1985,1985-12-22,16,23.006,CHI,@,DET,W 37-17,0,0,,0,,0,0,,0,,,0,0,1.0
17,1986,1986-09-07,1,23.265,CHI,,CLE,W 41-31,0,0,,0,,,,,,,,,,
18,1986,1986-09-14,2,23.272,CHI,,PHI,W 13-10,0,0,,0,,0,0,,0,,,0,0,1.0
19,1986,1986-09-22,3,23.280,CHI,@,GNB,W 25-12,0,0,,0,,,,,,,,,,
20,1986,1986-09-28,4,23.286,CHI,@,CIN,W 44-7,0,0,,0,,,,,,,,,,
21,1986,1986-10-05,5,23.293,CHI,,MIN,W 23-0,0,0,,0,,,,,,,,,,
22,1986,1986-10-12,6,23.300,CHI,@,HOU,W 20-7,0,0,,0,,,,,,,,,,
23,1986,1986-10-19,7,23.307,CHI,@,MIN,L 7-23,0,0,,0,,,,,,,,,,
24,1986,1986-10-26,8,23.314,CHI,,DET,W 13-7,0,0,,0,,0,0,,0,,,0,0,1.0
25,1986,1986-11-03,9,23.322,CHI,,RAM,L 17-20,0,0,,0,,,,,,,,,,
26,1986,1986-11-09,10,23.328,CHI,@,TAM,W 23-3,0,0,,0,,0,0,,0,,,0,0,2.0
27,1986,1986-11-16,11,23.335,CHI,@,ATL,W 13-10,0,0,,0,,,,,,,,,,
28,1986,1986-11-23,12,23.342,CHI,,GNB,W 12-10,1,-1,-1.00,0,,0,0,,0,,,0,0,0.0
29,1986,1986-11-30,13,23.349,CHI,,PIT,W 13-10,0,0,,0,,,,,,,,,,
30,1986,1986-12-07,14,23.356,CHI,,TAM,W 48-14,0,0,,0,,,,,,,,,,
31,1986,1986-12-15,15,23.364,CHI,@,DET,W 16-13,0,0,,0,,,,,,,,,,
32,1986,1986-12-21,16,24.005,CHI,@,DAL,W 24-10,0,0,,0,,0,0,,0,,,0,0,1.0
33,1987,1987-09-14,1,24.272,CHI,,NYG,W 34-19,0,0,,0,,,,,,,,,,
34,1987,1987-09-20,2,24.278,CHI,,TAM,W 20-3,0,0,,0,,0,0,,0,,,0,0,1.0
35,1987,1987-10-25,6,24.313,CHI,@,TAM,W 27-26,0,0,,0,,,,,,,,,,
36,1987,1987-11-01,7,24.320,CHI,,KAN,W 31-28,0,0,,0,,,,,,,,,,
37,1987,1987-11-08,8,24.327,CHI,@,GNB,W 26-24,0,0,,0,,,,,,,,,,
38,1987,1987-11-16,9,24.335,CHI,@,DEN,L 29-31,1,0,0.00,0,,0,0,,0,,,0,0,0.0
39,1987,1987-11-22,10,24.341,CHI,,DET,W 30-10,0,0,,0,,,,,,,,,,
40,1987,1987-11-29,11,24.348,CHI,,GNB,W 23-10,0,0,,0,,0,0,,0,,,0,0,1.0
41,1987,1987-12-06,12,24.355,CHI,@,MIN,W 30-24,0,0,,0,,0,0,,0,,,0,0,1.0
