ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1986,1986-09-07,1,22.221,MIA,@,SDG,L 28-50,0,0,,0,,,,,0,0,,0,,
2,1986,1986-09-14,2,22.228,MIA,,IND,W 30-10,1,24,24.00,0,0,0,,0,2,106,53.00,1,1,6
3,1986,1986-09-21,3,22.235,MIA,@,NYJ,L 45-51,2,16,8.00,1,0,0,,0,1,2,2.00,0,1,6
4,1986,1986-09-28,4,22.242,MIA,,SFO,L 16-31,1,19,19.00,0,0,0,,0,3,7,2.33,0,0,0
5,1986,1986-10-05,5,22.249,MIA,@,NWE,L 7-34,0,0,,0,0,0,,0,3,24,8.00,0,0,0
6,1986,1986-10-12,6,22.256,MIA,,BUF,W 27-14,3,62,20.67,0,0,0,,0,0,0,,0,0,0
7,1986,1986-10-19,7,22.263,MIA,,RAI,L 28-30,0,0,,0,0,0,,0,2,11,5.50,0,0,0
8,1986,1986-10-26,8,22.270,MIA,@,IND,W 17-13,3,35,11.67,0,0,0,,0,0,0,,0,0,0
9,1986,1986-11-02,9,22.277,MIA,,HOU,W 28-7,1,22,22.00,0,0,0,,0,0,0,,0,0,0
10,1986,1986-11-10,10,22.285,MIA,@,CLE,L 16-26,0,0,,0,,,,,0,0,,0,,
11,1986,1986-11-16,11,22.291,MIA,@,BUF,W 34-24,1,24,24.00,0,0,0,,0,0,0,,0,0,0
12,1986,1986-11-24,12,22.299,MIA,,NYJ,W 45-3,0,0,,0,,,,,0,0,,0,,
13,1986,1986-11-30,13,22.305,MIA,,ATL,L 14-20,2,27,13.50,0,0,0,,0,0,0,,0,0,0
14,1986,1986-12-07,14,22.312,MIA,@,NOR,W 31-27,0,0,,0,,,,,0,0,,0,,
15,1986,1986-12-14,15,22.319,MIA,@,RAM,W 37-31,1,6,6.00,1,0,0,,0,0,0,,0,1,6
16,1986,1986-12-22,16,22.327,MIA,,NWE,L 27-34,0,0,,0,,,,,0,0,,0,,
17,1987,1987-09-13,1,23.227,MIA,@,NWE,L 21-28,0,0,,0,,,,,,,,,,
18,1987,1987-09-20,2,23.234,MIA,@,IND,W 23-10,1,9,9.00,0,0,0,,0,0,0,,0,0,0
19,1987,1987-10-25,6,23.269,MIA,,BUF,L 31-34,2,45,22.50,1,0,0,,0,0,0,,0,1,6
20,1987,1987-11-01,7,23.276,MIA,,PIT,W 35-24,2,45,22.50,0,0,0,,0,0,0,,0,0,0
21,1987,1987-11-08,8,23.283,MIA,@,CIN,W 20-14,6,90,15.00,0,0,0,,0,0,0,,0,0,0
