ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1962,1962-11-04,8,22.261,PIT,,MIN,W 39-31,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0
2,1962,1962-11-11,9,22.268,PIT,@,STL,W 26-17,0,0,,0,2,88,44.00,0,0,0,,0,0,0,0
3,1962,1962-11-18,10,22.275,PIT,,WAS,W 23-21,0,0,,0,4,47,11.75,0,0,,,0,0,0,0
4,1962,1962-11-25,11,22.282,PIT,@,CLE,L 14-35,0,0,,0,3,67,22.33,0,0,0,,0,0,0,0
5,1962,1962-12-02,12,22.289,PIT,,STL,W 19-7,0,0,,0,1,17,17.00,0,0,0,,0,0,0,0
6,1962,1962-12-09,13,22.296,PIT,@,PHI,W 26-17,0,0,,0,2,56,28.00,0,0,0,,0,0,0,0
7,1962,1962-12-16,14,22.303,PIT,@,WAS,W 27-24,0,0,,0,2,82,41.00,0,0,,,0,0,0,0
8,1963,1963-09-22,2,23.218,PIT,,NYG,W 31-0,0,0,,0,0,0,,0,0,0,,0,1,29,0
9,1963,1963-10-05,4,23.231,PIT,@,CLE,L 23-35,0,0,,0,2,46,23.00,0,0,0,,0,0,0,0
10,1964,1964-10-11,5,24.238,PHI,@,WAS,L 20-35,0,0,,0,0,0,,0,0,0,,0,1,18,0
11,1964,1964-10-25,7,24.252,PHI,@,PIT,W 34-10,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0
12,1964,1964-12-06,13,24.294,PHI,,DAL,W 24-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
13,1965,1965-09-19,1,25.215,PHI,,STL,W 34-27,1,9,9.00,0,0,0,,0,0,0,,0,0,0,0
14,1965,1965-10-31,7,25.257,PHI,@,WAS,L 21-23,4,93,23.25,0,0,0,,0,0,0,,0,0,0,0
15,1965,1965-11-07,8,25.264,PHI,@,CLE,L 34-38,4,51,12.75,0,0,0,,0,0,0,,0,0,0,0
16,1965,1965-11-14,9,25.271,PHI,,WAS,W 21-14,4,32,8.00,0,0,0,,0,0,0,,0,0,0,0
17,1965,1965-11-21,10,25.278,PHI,@,BAL,L 24-34,1,15,15.00,0,0,0,,0,0,0,,0,0,0,0
18,1965,1965-12-05,12,25.292,PHI,,DAL,L 19-21,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0
19,1966,1966-10-09,5,26.235,ATL,@,WAS,L 20-33,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0
