ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2006,2006-10-02,4,25.171,GNB,@,PHI,L 9-31,*,2,2,9,4.50,0,100.0%,4.50
2,2006,2006-10-08,5,25.177,GNB,,STL,L 20-23,,,0,0,,0,0.0%,
3,2006,2006-10-22,6,25.191,GNB,@,MIA,W 34-24,*,3,2,13,6.50,0,66.7%,4.33
4,2006,2006-10-29,7,25.198,GNB,,ARI,W 31-14,*,4,4,31,7.75,0,100.0%,7.75
5,2006,2006-11-27,11,25.227,GNB,@,SEA,L 24-34,,1,0,0,,0,0.0%,0.00
6,2006,2006-12-03,12,25.233,GNB,,NYJ,L 10-38,,1,0,0,,0,0.0%,0.00
7,2006,2006-12-10,13,25.240,GNB,@,SFO,W 30-19,,,0,0,,0,0.0%,
8,2006,2006-12-17,14,25.247,GNB,,DET,W 17-9,,1,1,4,4.00,0,100.0%,4.00
9,2006,2006-12-21,15,25.251,GNB,,MIN,W 9-7,,,0,0,,0,0.0%,
10,2006,2006-12-31,16,25.261,GNB,@,CHI,W 26-7,,1,0,0,,0,0.0%,0.00
