ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-14,2,26.125,STL,,SFO,W 27-24,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
2,2003,2003-09-21,3,26.132,STL,@,SEA,L 23-24,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
3,2003,2003-09-28,4,26.139,STL,,ARI,W 37-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
4,2003,2003-10-13,5,26.154,STL,,ATL,W 36-0,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
5,2003,2003-11-02,8,26.174,STL,@,SFO,L 10-30,,0,0,0,,0,0.0%,,0,0,,0,5,97,19.40,0,0,0,,0,0,0,0.0,,,0,0,0
6,2003,2003-11-09,9,26.181,STL,,BAL,W 33-22,,0,0,0,,0,0.0%,,0,0,,0,2,43,21.50,0,2,22,11.00,0,0,0,0.0,,,0,0,0
7,2003,2003-11-16,10,26.188,STL,@,CHI,W 23-21,,5,2,14,7.00,0,40.0%,2.80,2,4,2.00,0,0,0,,0,3,44,14.67,0,0,0,0.0,,,0,0,0
8,2003,2003-11-23,11,26.195,STL,@,ARI,W 30-27,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
9,2003,2003-11-30,12,26.202,STL,,MIN,W 48-17,,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,,,0,0,0
10,2003,2003-12-08,13,26.210,STL,@,CLE,W 26-20,,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,2,23,11.50,0,0,0,0.0,,,0,0,0
11,2003,2003-12-14,14,26.216,STL,,SEA,W 27-22,,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,,,0,0,0
12,2003,2003-12-21,15,26.223,STL,,CIN,W 27-10,,5,3,34,11.33,0,60.0%,6.80,1,1,1.00,0,0,0,,0,1,16,16.00,0,0,0,0.0,,,0,0,0
13,2003,2003-12-28,16,26.230,STL,@,DET,L 20-30,,4,2,1,0.50,0,50.0%,0.25,0,0,,0,0,0,,0,1,4,4.00,0,0,0,0.0,,,0,0,0
14,2004,2004-09-12,1,27.123,STL,,ARI,W 17-10,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
15,2004,2004-09-26,3,27.137,STL,,NOR,L 25-28,,0,0,0,,0,0.0%,,0,0,,0,4,82,20.50,0,0,0,,0,0,0,0.0,,,0,0,0
16,2004,2004-10-03,4,27.144,STL,@,SFO,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0.0,,,0,0,0
17,2004,2004-10-10,5,27.151,STL,@,SEA,W 33-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
18,2004,2004-10-18,6,27.159,STL,,TAM,W 28-21,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
19,2004,2004-10-24,7,27.165,STL,@,MIA,L 14-31,,0,0,0,,0,0.0%,,0,0,,0,2,31,15.50,0,0,0,,0,0,0,0.0,,,0,0,0
20,2004,2004-11-07,8,27.179,STL,,NWE,L 22-40,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
21,2004,2004-11-14,9,27.186,STL,,SEA,W 23-12,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
22,2005,2005-09-11,1,28.122,STL,@,SFO,L 25-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
23,2005,2005-09-18,2,28.129,STL,@,ARI,W 17-12,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
24,2005,2005-09-25,3,28.136,STL,,TEN,W 31-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
25,2005,2005-10-02,4,28.143,STL,@,NYG,L 24-44,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
26,2005,2005-10-09,5,28.150,STL,,SEA,L 31-37,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
27,2005,2005-10-17,6,28.158,STL,@,IND,L 28-45,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
28,2005,2005-10-23,7,28.164,STL,,NOR,W 28-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,1,67,1
29,2005,2005-10-30,8,28.171,STL,,JAX,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,37,0
30,2005,2005-11-13,9,28.185,STL,@,SEA,L 16-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,33,0
31,2005,2005-11-20,10,28.192,STL,,ARI,L 28-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
32,2005,2005-11-27,11,28.199,STL,@,HOU,W 33-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
33,2005,2005-12-04,12,28.206,STL,,WAS,L 9-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
34,2005,2005-12-11,13,28.213,STL,@,MIN,L 13-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0.0,,,0,0,0
35,2005,2005-12-18,14,28.220,STL,,PHI,L 16-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,6,0
36,2005,2005-12-24,15,28.226,STL,,SFO,L 20-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
37,2005,2006-01-01,16,28.234,STL,@,DAL,W 20-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0.0,,,0,0,0
38,2006,2006-09-10,1,29.121,DET,,SEA,L 6-9,,6,5,55,11.00,0,83.3%,9.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
39,2006,2006-09-17,2,29.128,DET,@,CHI,L 7-34,*,8,6,67,11.17,0,75.0%,8.38,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
40,2006,2006-09-24,3,29.135,DET,,GNB,L 24-31,*,7,3,38,12.67,0,42.9%,5.43,0,0,,0,1,23,23.00,0,0,0,,0,0,0,0.0,,,0,0,0
41,2006,2006-10-01,4,29.142,DET,@,STL,L 34-41,*,10,8,82,10.25,2,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,,,0,0,0
42,2006,2006-10-08,5,29.149,DET,@,MIN,L 17-26,*,9,3,41,13.67,0,33.3%,4.56,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
43,2006,2006-10-15,6,29.156,DET,,BUF,W 20-17,*,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
44,2006,2006-10-22,7,29.163,DET,@,NYJ,L 24-31,*,13,9,109,12.11,1,69.2%,8.38,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,,,0,0,0
45,2006,2006-11-05,8,29.177,DET,,ATL,W 30-14,*,6,4,72,18.00,0,66.7%,12.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
46,2006,2006-11-12,9,29.184,DET,,SFO,L 13-19,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
47,2006,2006-11-19,10,29.191,DET,@,ARI,L 10-17,*,8,6,67,11.17,0,75.0%,8.38,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
48,2006,2006-11-23,11,29.195,DET,,MIA,L 10-27,*,14,7,67,9.57,0,50.0%,4.79,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,0,0,0
