ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1997,1997-08-31,1,23.203,NYG,,PHI,W 31-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,363,45.38,0
2,1997,1997-09-07,2,23.210,NYG,@,JAX,L 13-40,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,9,407,45.22,0
3,1997,1997-09-14,3,23.217,NYG,,BAL,L 23-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,214,42.80,0
4,1997,1997-09-21,4,23.224,NYG,@,STL,L 3-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,280,40.00,0
5,1997,1997-09-28,5,23.231,NYG,,NOR,W 14-9,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,172,34.40,0
6,1997,1997-10-05,6,23.238,NYG,,DAL,W 20-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,355,44.38,0
7,1997,1997-10-12,7,23.245,NYG,@,ARI,W 27-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,244,40.67,1
8,1997,1997-10-19,8,23.252,NYG,@,DET,W 26-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,366,45.75,0
9,1997,1997-10-26,9,23.259,NYG,,CIN,W 29-27,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,248,41.33,0
10,1997,1997-11-09,10,23.273,NYG,@,TEN,L 6-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,284,35.50,0
11,1997,1997-11-16,11,23.280,NYG,,ARI,W 19-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,106,35.33,0
12,1997,1997-11-23,12,23.287,NYG,@,WAS,T 7-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,13,537,41.31,0
13,1997,1997-11-30,13,23.294,NYG,,TAM,L 8-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,228,45.60,0
14,1997,1997-12-07,14,23.301,NYG,@,PHI,W 31-21,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,169,28.17,0
15,1997,1997-12-13,15,23.307,NYG,,WAS,W 30-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,241,40.17,0
16,1997,1997-12-21,16,23.315,NYG,@,DAL,W 20-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,317,39.63,0
17,1998,1998-09-06,1,24.209,NYG,,WAS,W 31-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,8,362,45.25,0
18,1998,1998-09-13,2,24.216,NYG,@,OAK,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,8,353,44.13,0
19,1998,1998-09-21,3,24.224,NYG,,DAL,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,10,438,43.80,0
20,1998,1998-09-27,4,24.230,NYG,@,SDG,W 34-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,6,285,47.50,0
21,1998,1998-10-04,5,24.237,NYG,@,TAM,L 3-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,,,7,323,46.14,0
22,1998,1998-10-11,6,24.244,NYG,,ATL,L 20-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,7,343,49.00,0
23,1998,1998-10-18,7,24.251,NYG,,ARI,W 34-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,3,162,54.00,0
24,1998,1998-11-01,8,24.265,NYG,@,WAS,L 14-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,11,497,45.18,0
25,1998,1998-11-08,9,24.272,NYG,@,DAL,L 6-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,5,211,42.20,0
26,1998,1998-11-15,10,24.279,NYG,,GNB,L 3-37,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,8,377,47.13,0
27,1998,1998-11-22,11,24.286,NYG,,PHI,W 20-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,6,230,38.33,0
28,1998,1998-11-30,12,24.294,NYG,@,SFO,L 7-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,5,214,42.80,0
29,1998,1998-12-06,13,24.300,NYG,@,ARI,W 23-19,,0,0,,0,0,0,,0,0,,,1,-5,-5.00,0,0.0,,,5,238,47.60,0
30,1998,1998-12-13,14,24.307,NYG,,DEN,W 20-16,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,3,115,38.33,0
31,1998,1998-12-20,15,24.314,NYG,,KAN,W 28-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,5,228,45.60,0
32,1998,1998-12-27,16,24.321,NYG,@,PHI,W 20-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,,,4,190,47.50,0
33,1999,1999-09-12,1,25.215,NYG,@,TAM,W 17-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,12,526,43.83,0
34,1999,1999-09-19,2,25.222,NYG,,WAS,L 21-50,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,233,46.60,0
35,1999,1999-09-26,3,25.229,NYG,@,NWE,L 14-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,182,36.40,0
36,1999,1999-10-03,4,25.236,NYG,,PHI,W 16-15,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,104,34.67,0
37,1999,1999-10-10,5,25.243,NYG,@,ARI,L 3-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,284,47.33,0
38,1999,1999-10-18,6,25.251,NYG,,DAL,W 13-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,285,35.63,0
39,1999,1999-10-24,7,25.257,NYG,,NOR,W 31-3,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,241,40.17,0
40,1999,1999-10-31,8,25.264,NYG,@,PHI,W 23-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,338,42.25,0
41,1999,1999-11-14,9,25.278,NYG,,IND,L 19-27,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,189,37.80,0
42,1999,1999-11-21,10,25.285,NYG,@,WAS,L 13-23,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,218,43.60,0
43,1999,1999-11-28,11,25.292,NYG,,ARI,L 24-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,253,42.17,0
44,1999,1999-12-05,12,25.299,NYG,,NYJ,W 41-28,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,94,31.33,0
45,1999,1999-12-12,13,25.306,NYG,@,BUF,W 19-17,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,233,46.60,0
46,1999,1999-12-19,14,25.313,NYG,@,STL,L 10-31,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,199,39.80,0
47,1999,1999-12-26,15,25.320,NYG,,MIN,L 17-34,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,2,93,46.50,0
48,1999,2000-01-02,16,25.327,NYG,@,DAL,L 18-26,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,179,35.80,0
49,2000,2000-09-03,1,26.207,NYG,,ARI,W 21-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,256,42.67,0
50,2000,2000-09-10,2,26.214,NYG,@,PHI,W 33-18,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,2,70,35.00,0
51,2000,2000-09-17,3,26.221,NYG,@,CHI,W 14-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,162,40.50,0
52,2000,2000-09-24,4,26.228,NYG,,WAS,L 6-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,8,337,42.13,0
53,2000,2000-10-01,5,26.235,NYG,@,TEN,L 14-28,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,277,55.40,0
54,2000,2000-10-08,6,26.242,NYG,@,ATL,W 13-6,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,247,35.29,0
55,2000,2000-10-15,7,26.249,NYG,,DAL,W 19-14,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,278,39.71,0
56,2000,2000-10-29,8,26.263,NYG,,PHI,W 24-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,274,45.67,0
57,2000,2000-11-05,9,26.270,NYG,@,CLE,W 24-3,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,136,45.33,0
58,2000,2000-11-12,10,26.277,NYG,,STL,L 24-38,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,303,50.50,0
59,2000,2000-11-19,11,26.284,NYG,,DET,L 21-31,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,170,42.50,1
60,2000,2000-11-26,12,26.291,NYG,@,ARI,W 31-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,163,40.75,0
61,2000,2000-12-03,13,26.298,NYG,@,WAS,W 9-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,172,34.40,0
62,2000,2000-12-10,14,26.305,NYG,,PIT,W 30-10,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,1,25,25.00,0
63,2000,2000-12-17,15,26.312,NYG,@,DAL,W 17-13,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,6,191,31.83,0
64,2000,2000-12-23,16,26.318,NYG,,JAX,W 28-25,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,149,29.80,0
65,2001,2001-09-09,1,27.212,CHI,@,BAL,L 6-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,196,39.20,0
66,2001,2001-09-23,2,27.226,CHI,,MIN,W 17-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,282,40.29,0
67,2001,2001-10-07,3,27.240,CHI,@,ATL,W 31-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,171,42.75,0
68,2001,2001-10-14,4,27.247,CHI,,ARI,W 20-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,179,44.75,0
69,2001,2001-10-21,5,27.254,CHI,@,CIN,W 24-0,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,145,48.33,0
70,2001,2001-10-28,6,27.261,CHI,,SFO,W 37-31,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,203,40.60,0
71,2001,2001-11-04,7,27.268,CHI,,CLE,W 27-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,189,47.25,0
72,2001,2001-11-11,8,27.275,CHI,,GNB,L 12-20,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,233,46.60,0
73,2001,2001-11-18,9,27.282,CHI,@,TAM,W 27-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,347,49.57,0
74,2001,2001-11-25,10,27.289,CHI,@,MIN,W 13-6,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,8,345,43.13,0
75,2001,2001-12-02,11,27.296,CHI,,DET,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,182,45.50,0
76,2001,2001-12-09,12,27.303,CHI,@,GNB,L 7-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,276,39.43,0
77,2001,2001-12-16,13,27.310,CHI,,TAM,W 27-3,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,310,44.29,0
78,2001,2001-12-23,14,27.317,CHI,@,WAS,W 20-15,,1,1,100.00,27,1,0,158.3,0,0,27.00,47.00,1,-10,-10.00,0,0.0,,,6,220,36.67,0
79,2001,2001-12-30,15,27.324,CHI,@,DET,W 24-0,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,8,333,41.63,0
80,2001,2002-01-06,16,27.331,CHI,,JAX,W 33-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,98,32.67,0
81,2002,2002-09-08,1,28.211,CHI,,MIN,W 27-23,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,122,40.67,0
82,2002,2002-09-15,2,28.218,CHI,@,ATL,W 14-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,295,42.14,0
83,2002,2002-09-22,3,28.225,CHI,,NOR,L 23-29,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,204,40.80,0
84,2002,2002-09-29,4,28.232,CHI,@,BUF,L 27-33,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,232,38.67,0
85,2002,2002-10-07,5,28.240,CHI,,GNB,L 21-34,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,226,45.20,0
86,2002,2002-10-20,6,28.253,CHI,@,DET,L 20-23,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,4,186,46.50,0
87,2002,2002-10-27,7,28.260,CHI,@,MIN,L 7-25,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,122,40.67,0
88,2002,2002-11-03,8,28.267,CHI,,PHI,L 13-19,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,262,37.43,0
89,2002,2002-11-10,9,28.274,CHI,,NWE,L 30-33,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,243,40.50,0
90,2002,2002-11-18,10,28.282,CHI,@,STL,L 16-21,,0,0,,0,0,0,,0,,,,1,20,20.00,0,0.0,,,6,256,42.67,0
91,2002,2002-11-24,11,28.288,CHI,,DET,W 20-17,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,5,199,39.80,0
92,2002,2002-12-01,12,28.295,CHI,@,GNB,L 20-30,,1,1,100.00,12,1,0,156.2,0,0,12.00,32.00,0,0,,0,0.0,,,4,164,41.00,0
93,2002,2002-12-09,13,28.303,CHI,@,MIA,L 9-27,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,7,304,43.43,0
94,2002,2002-12-15,14,28.309,CHI,,NYJ,W 20-13,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,3,133,44.33,0
95,2002,2002-12-22,15,28.316,CHI,@,CAR,L 14-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,10,445,44.50,0
96,2002,2002-12-29,16,28.323,CHI,,TAM,L 0-15,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,,,6,286,47.67,0
97,2003,2003-09-07,1,29.210,CHI,@,SFO,L 7-49,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,283,40.43,1
98,2003,2003-09-14,2,29.217,CHI,@,MIN,L 13-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,5,205,41.00,0
99,2003,2003-09-29,3,29.232,CHI,,GNB,L 23-38,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,162,40.50,1
100,2003,2003-10-05,4,29.238,CHI,,OAK,W 24-21,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,171,42.75,0
101,2003,2003-10-12,5,29.245,CHI,@,NOR,L 13-20,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,167,41.75,0
102,2003,2003-10-19,6,29.252,CHI,@,SEA,L 17-24,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,3,133,44.33,0
103,2003,2003-10-26,7,29.259,CHI,,DET,W 24-16,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,318,45.43,0
104,2003,2003-11-02,8,29.266,CHI,,SDG,W 20-7,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,4,151,37.75,0
105,2003,2003-11-09,9,29.273,CHI,@,DET,L 10-12,,0,0,,0,0,0,,,,,,0,0,,0,0.0,,,7,268,38.29,0
