ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1998,1998-09-06,1,21.358,DET,@,GNB,L 19-38,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0
2,1998,1998-09-13,2,22.000,DET,,CIN,L 28-34,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0
3,1998,1998-09-28,4,22.015,DET,,TAM,W 27-6,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
4,1998,1998-10-04,5,22.021,DET,@,CHI,L 27-31,,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0
5,1998,1998-10-15,6,22.032,DET,,GNB,W 27-20,,3,3,81,27.00,1,100.0%,27.00,0,0,,0,1,6
6,1998,1998-10-25,7,22.042,DET,,MIN,L 13-34,,3,,,,,0.0%,,,,,,,
7,1998,1998-11-01,8,22.049,DET,,ARI,L 15-17,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0
8,1998,1998-11-08,9,22.056,DET,@,PHI,L 9-10,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
9,1998,1998-11-15,10,22.063,DET,,CHI,W 26-3,,4,3,57,19.00,0,75.0%,14.25,0,0,,0,0,0
10,1998,1998-11-22,11,22.070,DET,@,TAM,W 28-25,,4,3,82,27.33,1,75.0%,20.50,0,0,,0,1,6
11,1998,1998-11-26,12,22.074,DET,,PIT,W 19-16,,3,1,16,16.00,0,33.3%,5.33,1,35,35.00,0,0,0
12,1998,1998-12-06,13,22.084,DET,@,JAX,L 22-37,,7,2,72,36.00,1,28.6%,10.29,0,0,,0,1,6
13,1998,1998-12-14,14,22.092,DET,@,SFO,L 13-35,,8,5,83,16.60,0,62.5%,10.38,0,0,,0,0,0
14,1999,1999-09-12,1,22.364,DET,@,SEA,W 28-20,,11,7,141,20.14,2,63.6%,12.82,0,0,,0,2,12
15,1999,1999-09-19,2,23.006,DET,,GNB,W 23-15,*,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0
16,1999,1999-09-26,3,23.013,DET,@,KAN,L 21-31,*,3,2,48,24.00,0,66.7%,16.00,1,20,20.00,0,0,0
17,1999,1999-10-10,4,23.027,DET,,SDG,L 10-20,*,16,6,99,16.50,1,37.5%,6.19,0,0,,0,1,6
18,1999,1999-10-17,5,23.034,DET,,MIN,W 25-23,*,9,8,61,7.63,0,88.9%,6.78,1,2,2.00,0,0,0
19,1999,1999-10-24,6,23.041,DET,@,CAR,W 24-9,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0
20,1999,1999-10-31,7,23.048,DET,,TAM,W 20-3,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
21,1999,1999-11-07,8,23.055,DET,,STL,W 31-27,*,13,8,163,20.38,1,61.5%,12.54,0,0,,0,1,6
22,1999,1999-11-14,9,23.062,DET,@,ARI,L 19-23,*,10,5,142,28.40,1,50.0%,14.20,0,0,,0,1,6
23,1999,1999-11-21,10,23.069,DET,@,GNB,L 17-26,*,14,8,112,14.00,1,57.1%,8.00,1,4,4.00,0,1,6
24,1999,1999-11-25,11,23.073,DET,,CHI,W 21-17,*,12,7,91,13.00,1,58.3%,7.58,0,0,,0,1,6
25,1999,1999-12-05,12,23.083,DET,,WAS,W 33-17,*,8,5,122,24.40,0,62.5%,15.25,1,4,4.00,0,0,0
26,1999,1999-12-12,13,23.090,DET,@,TAM,L 16-23,*,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0
27,1999,1999-12-19,14,23.097,DET,@,CHI,L 10-28,*,7,3,41,13.67,0,42.9%,5.86,0,0,,0,0,0
28,1999,1999-12-25,15,23.103,DET,,DEN,L 7-17,*,10,5,95,19.00,0,50.0%,9.50,1,8,8.00,0,0,0
29,1999,2000-01-02,16,23.111,DET,@,MIN,L 17-24,*,13,8,120,15.00,0,61.5%,9.23,0,0,,0,0,0
30,2000,2000-09-03,1,23.356,DET,@,NOR,W 14-10,*,5,2,5,2.50,0,40.0%,1.00,0,0,,0,0,0
31,2000,2000-09-10,2,23.363,DET,,WAS,W 15-10,*,9,6,51,8.50,0,66.7%,5.67,0,0,,0,0,0
32,2000,2000-09-17,3,24.004,DET,,TAM,L 10-31,,7,6,93,15.50,1,85.7%,13.29,0,0,,0,1,6
33,2000,2000-09-24,4,24.011,DET,@,CHI,W 21-14,*,5,2,65,32.50,1,40.0%,13.00,0,0,,0,1,6
34,2000,2000-10-01,5,24.018,DET,,MIN,L 24-31,*,14,8,85,10.63,1,57.1%,6.07,0,0,,0,1,6
35,2000,2000-10-08,6,24.025,DET,,GNB,W 31-24,,9,3,21,7.00,0,33.3%,2.33,1,12,12.00,0,0,0
36,2000,2000-12-10,14,24.088,DET,@,GNB,L 13-26,*,8,3,86,28.67,0,37.5%,10.75,0,0,,0,0,0
