ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1981,1981-09-06,1,22.097,DET,,SFO,W 24-17,0,0,,0,,,,,,,,,,,,,
2,1981,1981-09-13,2,22.104,DET,@,SDG,L 23-28,0,0,,0,,,,,,,,,,,,,
3,1981,1981-09-20,3,22.111,DET,@,MIN,L 24-26,0,0,,0,,,,,,,,,,,,,
4,1981,1981-10-04,5,22.125,DET,@,TAM,L 10-28,0,0,,0,,,,,,,,,,,,,
5,1981,1981-10-11,6,22.132,DET,@,DEN,L 21-27,0,0,,0,,,,,,,,,,,,,
6,1981,1981-10-19,7,22.140,DET,,CHI,W 48-17,0,0,,0,,,,,,,,,,,,,
7,1981,1981-10-25,8,22.146,DET,,GNB,W 31-27,0,0,,0,,,,,,,,,,,,,
8,1981,1981-11-08,10,22.160,DET,@,WAS,L 31-33,0,0,,0,,,,,,,,,,,,,
9,1981,1981-11-26,13,22.178,DET,,KAN,W 27-10,0,0,,0,,,,,,,,,,,,,
10,1981,1981-12-06,14,22.188,DET,@,GNB,L 17-31,0,0,,0,,,,,,,,,,,,,
11,1981,1981-12-12,15,22.194,DET,,MIN,W 45-7,3,63,21.00,1,0,0,,0,0,0,,,,,,1,6
12,1981,1981-12-20,16,22.202,DET,,TAM,L 17-20,0,0,,0,,,,,,,,,,,,,
13,1982,1982-09-12,1,23.103,DET,,CHI,W 17-10,1,23,23.00,0,0,0,,0,0,0,,0,,,,0,0
14,1982,1982-09-19,2,23.110,DET,@,RAM,W 19-14,2,13,6.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
15,1982,1982-11-21,3,23.173,DET,@,CHI,L 17-20,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0
16,1982,1982-11-25,4,23.177,DET,,NYG,L 6-13,1,20,20.00,0,0,0,,0,0,0,,0,,,,0,0
17,1982,1982-12-06,5,23.188,DET,,NYJ,L 13-28,1,19,19.00,0,0,0,,0,0,0,,0,,,,0,0
18,1982,1982-12-12,6,23.194,DET,@,GNB,W 30-10,2,23,11.50,0,0,0,,0,0,0,,0,,,,0,0
19,1982,1982-12-19,7,23.201,DET,,MIN,L 31-34,0,0,,0,0,0,,0,0,0,,0,,,,,
20,1982,1983-01-02,9,23.215,DET,,GNB,W 27-24,1,23,23.00,0,0,0,,0,0,0,,0,,,,0,0
21,1983,1983-09-04,1,24.095,BAL,@,NWE,W 29-23,3,43,14.33,0,0,0,,0,0,0,,,,,,0,0
22,1983,1983-09-11,2,24.102,BAL,,DEN,L 10-17,1,13,13.00,0,0,0,,0,0,0,,,,,,0,0
23,1983,1983-09-18,3,24.109,BAL,@,BUF,L 23-28,2,47,23.50,0,0,0,,0,0,0,,,,,,0,0
24,1983,1983-09-25,4,24.116,BAL,,CHI,W 22-19,4,38,9.50,0,0,0,,0,0,0,,,,,,0,0
25,1983,1983-10-02,5,24.123,BAL,@,CIN,W 34-31,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0
