ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-10-07,5,23.019,SFO,,BAL,L 7-9,,,,,,,,,,,,,
2,2007,2007-10-21,6,23.033,SFO,@,NYG,L 15-33,,,,,,,,,,,,,
3,2007,2007-10-28,7,23.040,SFO,,NOR,L 10-31,,,,,,,,,,,,,
4,2007,2007-11-04,8,23.047,SFO,@,ATL,L 16-20,,,,,,,,,,,,,
5,2007,2007-11-12,9,23.055,SFO,@,SEA,L 0-24,,,,,,,,,,,,,
6,2007,2007-12-02,12,23.075,SFO,@,CAR,L 14-31,,,,,,,,,,,,,
7,2007,2007-12-09,13,23.082,SFO,,MIN,L 7-27,,,,,,,,,,,,,
8,2007,2007-12-15,14,23.088,SFO,,CIN,W 20-13,,,,,,,,,,,,,
9,2007,2007-12-23,15,23.096,SFO,,TAM,W 21-19,,,,,,,,,,,,,
10,2007,2007-12-30,16,23.103,SFO,@,CLE,L 7-20,,,,,,,,,,,,,
11,2008,2008-09-07,1,23.355,SFO,,ARI,L 13-23,,0,0,,0,0,0,0.0,2,1,0,0,0
12,2008,2008-09-14,2,23.362,SFO,@,SEA,W 33-30,*,0,0,,0,0,0,0.0,2,0,0,0,0
13,2008,2008-09-21,3,24.003,SFO,,DET,W 31-13,,0,0,,0,0,0,0.0,1,0,0,0,0
14,2008,2008-09-28,4,24.010,SFO,@,NOR,L 17-31,*,0,0,,0,0,0,0.0,3,1,0,0,0
15,2008,2008-10-05,5,24.017,SFO,,NWE,L 21-30,,0,0,,0,0,0,0.0,0,1,0,0,0
16,2008,2008-10-12,6,24.024,SFO,,PHI,L 26-40,,0,0,,0,0,0,0.0,2,0,0,0,0
17,2008,2008-10-19,7,24.031,SFO,@,NYG,L 17-29,,0,0,,0,0,0,0.0,1,0,0,0,0
18,2008,2008-12-21,15,24.094,SFO,@,STL,W 17-16,,,,,,,,,,,,,
19,2008,2008-12-28,16,24.101,SFO,,WAS,W 27-24,,0,0,,0,0,0,0.0,4,0,0,0,0
20,2009,2009-09-13,1,24.360,SFO,@,ARI,W 20-16,*,0,0,,0,0,0,0.0,3,0,0,0,0
21,2009,2009-09-20,2,25.002,SFO,,SEA,W 23-10,*,0,0,,0,0,0,0.0,3,0,1,0,0
22,2009,2009-09-27,3,25.009,SFO,@,MIN,L 24-27,*,0,0,,0,0,0,0.0,5,2,0,0,0
23,2009,2009-10-04,4,25.016,SFO,,STL,W 35-0,*,0,0,,0,0,0,1.0,7,0,0,0,0
24,2009,2009-10-11,5,25.023,SFO,,ATL,L 10-45,*,0,0,,0,0,0,0.0,5,2,0,0,0
25,2009,2009-10-25,6,25.037,SFO,@,HOU,L 21-24,*,0,0,,0,0,0,0.0,6,3,0,0,0
26,2009,2009-11-01,7,25.044,SFO,@,IND,L 14-18,*,0,0,,0,0,0,0.0,9,1,0,0,0
27,2009,2009-11-08,8,25.051,SFO,,TEN,L 27-34,*,0,0,,0,0,0,0.0,4,0,0,0,0
28,2009,2009-11-12,9,25.055,SFO,,CHI,W 10-6,*,0,0,,0,0,0,0.0,5,0,1,2,0
29,2009,2009-11-22,10,25.065,SFO,@,GNB,L 24-30,*,0,0,,0,0,0,0.0,8,1,0,0,0
