ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2017,2017-09-10,1,25.020,DET,,ARI,W 35-23,,0,0,0,,0,0.0%,
2,2017,2017-09-18,2,25.028,DET,@,NYG,W 24-10,,0,0,0,,0,0.0%,
3,2017,2017-09-24,3,25.034,DET,,ATL,L 26-30,,0,0,0,,0,0.0%,
4,2017,2017-10-01,4,25.041,DET,@,MIN,W 14-7,,0,0,0,,0,0.0%,
5,2017,2017-10-08,5,25.048,DET,,CAR,L 24-27,,0,0,0,,0,0.0%,
6,2017,2017-10-15,6,25.055,DET,@,NOR,L 38-52,,0,0,0,,0,0.0%,
7,2017,2017-10-29,7,25.069,DET,,PIT,L 15-20,*,0,0,0,,0,0.0%,
8,2017,2017-11-06,8,25.077,DET,@,GNB,W 30-17,*,1,1,-4,-4.00,0,100.0%,-4.00
9,2017,2017-11-12,9,25.083,DET,,CLE,W 38-24,,0,0,0,,0,0.0%,
10,2017,2017-11-19,10,25.090,DET,@,CHI,W 27-24,,0,0,0,,0,0.0%,
11,2017,2017-11-23,11,25.094,DET,,MIN,L 23-30,,0,0,0,,0,0.0%,
12,2017,2017-12-03,12,25.104,DET,@,BAL,L 20-44,,0,0,0,,0,0.0%,
13,2017,2017-12-10,13,25.111,DET,@,TAM,W 24-21,,0,0,0,,0,0.0%,
14,2017,2017-12-16,14,25.117,DET,,CHI,W 20-10,,0,0,0,,0,0.0%,
15,2017,2017-12-24,15,25.125,DET,@,CIN,L 17-26,,0,0,0,,0,0.0%,
