ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-09-13,1,22.088,WAS,,MIA,L 10-17,,1,1,0,0.00,0,100.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,0,0,0.0,0,0
2,2015,2015-09-20,2,22.095,WAS,,STL,W 24-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,12,2.40,0,,0,0,0.0,0,0
3,2015,2015-09-24,3,22.099,WAS,@,NYG,L 21-32,,6,6,45,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,1,0,2,0.0,0,0
4,2015,2015-10-04,4,22.109,WAS,,PHI,W 23-20,,12,7,65,9.29,0,58.3%,5.42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,,0,0,0.0,0,0
5,2015,2015-10-11,5,22.116,WAS,@,ATL,L 19-25,*,8,8,87,10.88,0,100.0%,10.88,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0
6,2015,2015-10-18,6,22.123,WAS,@,NYJ,L 20-34,,9,4,40,10.00,0,44.4%,4.44,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2015,2015-10-25,7,22.130,WAS,,TAM,W 31-30,*,5,5,48,9.60,0,100.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
8,2015,2015-11-08,8,22.144,WAS,@,NWE,L 10-27,*,8,6,50,8.33,0,75.0%,6.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0
9,2015,2015-11-15,9,22.151,WAS,,NOR,W 47-14,,5,4,60,15.00,1,80.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,26,6.50,0,,1,6,0.0,0,0
10,2015,2015-11-22,10,22.158,WAS,@,CAR,L 16-44,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,2,3,1.50,0,,0,0,0.0,0,0
11,2015,2015-11-29,11,22.165,WAS,,NYG,W 20-14,,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,,0,0,0.0,0,0
12,2015,2015-12-07,12,22.173,WAS,,DAL,L 16-19,*,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,6,,0,1,7,7.00,0,,0,0,0.0,0,0
13,2015,2015-12-13,13,22.179,WAS,@,CHI,W 24-21,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0
14,2015,2015-12-20,14,22.186,WAS,,BUF,W 35-25,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,5,2.50,0,,0,0,0.0,0,0
15,2015,2015-12-26,15,22.192,WAS,@,PHI,W 38-24,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,1,0,2,0.0,0,0
16,2015,2016-01-03,16,22.200,WAS,@,DAL,W 34-23,,7,5,109,21.80,1,71.4%,15.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0
17,2016,2016-09-12,1,23.087,WAS,,PIT,L 16-38,*,10,6,58,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,17,17.00,0,,0,0,0.0,0,0
18,2016,2016-09-18,2,23.093,WAS,,DAL,L 23-27,,8,6,39,6.50,1,75.0%,4.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,30,15.00,0,,1,6,0.0,0,0
19,2016,2016-09-25,3,23.100,WAS,@,NYG,W 29-27,*,7,4,78,19.50,1,57.1%,11.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,58,29.00,0,,1,6,0.0,0,0
20,2016,2016-10-02,4,23.107,WAS,,CLE,W 31-20,*,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
21,2016,2016-10-09,5,23.114,WAS,@,BAL,W 16-10,,3,3,35,11.67,0,100.0%,11.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,89,44.50,1,,1,6,0.0,0,0
22,2016,2016-10-16,6,23.121,WAS,,PHI,W 27-20,,4,3,52,17.33,1,75.0%,13.00,1,-9,-9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,13,4.33,0,,1,6,0.0,0,0
23,2016,2016-10-23,7,23.128,WAS,@,DET,L 17-20,*,9,7,108,15.43,0,77.8%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
24,2016,2016-10-30,8,23.135,WAS,@,CIN,T 27-27,,13,9,107,11.89,1,69.2%,8.23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,,1,6,0.0,0,0
25,2016,2016-11-13,9,23.149,WAS,,MIN,W 26-20,,6,4,37,9.25,1,66.7%,6.17,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,,1,6,0.0,0,0
26,2016,2016-11-20,10,23.156,WAS,,GNB,W 42-24,,3,3,102,34.00,1,100.0%,34.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,,1,6,0.0,0,0
27,2016,2016-11-24,11,23.160,WAS,@,DAL,L 26-31,,10,8,88,11.00,0,80.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2016,2016-12-04,12,23.170,WAS,@,ARI,L 23-31,*,8,3,42,14.00,1,37.5%,5.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,,1,6,0.0,0,0
