ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1971,1971-09-19,1,22.148,BUF,,DAL,L 37-49,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1971,1971-10-03,3,22.162,BUF,@,MIN,L 0-19,,,,,,,,,,,,,,,,,,,,,,,,,
3,1971,1971-10-10,4,22.169,BUF,,BAL,L 0-43,,,,,,,,,,,,,,,,,,,,,,,,,
4,1971,1971-10-17,5,22.176,BUF,@,NYJ,L 17-28,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1971,1971-10-23,6,22.182,BUF,@,SDG,L 3-20,,,,,,,,,,,,,,,,,,,,,,,,,
6,1971,1971-10-31,7,22.190,BUF,,STL,L 23-28,,,,,,,,,,,,,,,,,,,,,,,,,
7,1971,1971-11-07,8,22.197,BUF,@,MIA,L 0-34,,,,,,,,,,,,,,,,,,,,,,,,,
8,1971,1971-11-14,9,22.204,BUF,@,NWE,L 33-38,,,,,,,,,,,,,,,,,,,,,,,,,
9,1971,1971-11-21,10,22.211,BUF,,NYJ,L 7-20,,,,,,,,,,,,,,,,,,,,,,,,,
10,1971,1971-11-28,11,22.218,BUF,,NWE,W 27-20,,,,,,,,,,,,,,,,,,,,,,,,,
11,1971,1971-12-05,12,22.225,BUF,@,BAL,L 0-24,,,,,,,,,,,,,,,,,,,,,,,,,
12,1971,1971-12-12,13,22.232,BUF,,HOU,L 14-20,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1971,1971-12-19,14,22.239,BUF,@,KAN,L 9-22,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1972,1972-09-17,1,23.146,BUF,,NYJ,L 24-41,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
