ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1994,1994-09-04,1,26.192,KAN,@,NOR,W 30-17,,0,0,,0,
2,1994,1994-09-11,2,26.199,KAN,,SFO,W 24-17,,0,0,,0,
3,1994,1994-09-25,4,26.213,KAN,,RAM,L 0-16,,1,10,10.00,0,0.0
4,1994,1994-10-09,5,26.227,KAN,@,SDG,L 6-20,,0,0,,0,
5,1994,1994-10-17,6,26.235,KAN,@,DEN,W 31-28,,0,0,,0,
6,1994,1994-10-23,7,26.241,KAN,,SEA,W 38-23,,0,0,,0,
7,1994,1994-10-30,8,26.248,KAN,@,BUF,L 10-44,,1,0,0.00,0,0.0
8,1994,1994-11-06,9,26.255,KAN,,RAI,W 13-3,,0,0,,0,
9,1994,1994-11-20,11,26.269,KAN,,CLE,W 20-13,,0,0,,0,
10,1994,1994-11-27,12,26.276,KAN,@,SEA,L 9-10,,0,0,,0,
11,1994,1994-12-04,13,26.283,KAN,,DEN,L 17-20,,0,0,,0,
12,1994,1994-12-12,14,26.291,KAN,@,MIA,L 28-45,,0,0,,0,
13,1994,1994-12-24,16,26.303,KAN,@,RAI,W 19-9,,0,0,,0,
14,1995,1995-09-03,1,27.191,KAN,@,SEA,W 34-10,,,,,,
15,1995,1995-09-10,2,27.198,KAN,,NYG,W 20-17,,,,,,
16,1995,1995-09-17,3,27.205,KAN,,OAK,W 23-17,,,,,,
17,1995,1995-09-24,4,27.212,KAN,@,CLE,L 17-35,,,,,,
18,1995,1995-10-01,5,27.219,KAN,@,ARI,W 24-3,,,,,,
19,1995,1995-10-09,6,27.227,KAN,,SDG,W 29-23,,,,,,
20,1995,1995-10-15,7,27.233,KAN,,NWE,W 31-26,,,,,,
21,1995,1995-10-22,8,27.240,KAN,@,DEN,W 21-7,,0,0,,0,0.5
22,1995,1995-11-05,9,27.254,KAN,,WAS,W 24-3,,,,,,
23,1995,1995-11-12,10,27.261,KAN,@,SDG,W 22-7,,0,0,,0,1.0
24,1995,1995-11-19,11,27.268,KAN,,HOU,W 20-13,,,,,,
25,1995,1995-11-23,12,27.272,KAN,@,DAL,L 12-24,,,,,,
26,1995,1995-12-03,13,27.282,KAN,@,OAK,W 29-23,,,,,,
27,1995,1995-12-11,14,27.290,KAN,@,MIA,L 6-13,,,,,,
28,1995,1995-12-17,15,27.296,KAN,,DEN,W 20-17,,,,,,
29,1995,1995-12-24,16,27.303,KAN,,SEA,W 26-3,,,,,,
30,1996,1996-09-01,1,28.190,KAN,@,HOU,W 20-19,,,,,,
31,1996,1996-09-08,2,28.197,KAN,,OAK,W 19-3,,,,,,
32,1996,1996-09-15,3,28.204,KAN,@,SEA,W 35-17,,0,0,,0,1.0
33,1996,1996-09-22,4,28.211,KAN,,DEN,W 17-14,,,,,,
34,1996,1996-09-29,5,28.218,KAN,@,SDG,L 19-22,,,,,,
35,1996,1996-10-07,6,28.226,KAN,,PIT,L 7-17,,,,,,
36,1996,1996-10-17,7,28.236,KAN,,SEA,W 34-16,,,,,,
37,1996,1996-10-27,8,28.246,KAN,@,DEN,L 7-34,,,,,,
