ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1994,1994-09-04,1,22.245,KAN,@,NOR,W 30-17,3,3,70,23.33,0,100.0%,23.33,0,0,,0,0,0
2,1994,1994-09-11,2,22.252,KAN,,SFO,W 24-17,,0,0,,0,0.0%,,0,0,,0,0,
3,1994,1994-09-18,3,22.259,KAN,@,ATL,W 30-10,4,2,52,26.00,0,50.0%,13.00,0,0,,0,0,0
4,1994,1994-10-23,7,22.294,KAN,,SEA,W 38-23,5,5,93,18.60,1,100.0%,18.60,1,9,9.00,0,1,6
5,1994,1994-10-30,8,22.301,KAN,@,BUF,L 10-44,12,6,74,12.33,0,50.0%,6.17,0,0,,0,0,0
6,1994,1994-11-06,9,22.308,KAN,,RAI,W 13-3,8,1,3,3.00,0,12.5%,0.38,0,0,,0,0,0
7,1994,1994-11-13,10,22.315,KAN,,SDG,L 13-14,8,2,35,17.50,0,25.0%,4.38,0,0,,0,0,0
8,1994,1994-11-20,11,22.322,KAN,,CLE,W 20-13,3,2,18,9.00,0,66.7%,6.00,1,2,2.00,0,0,0
9,1994,1994-11-27,12,22.329,KAN,@,SEA,L 9-10,14,8,66,8.25,0,57.1%,4.71,0,0,,0,0,0
10,1994,1994-12-12,14,22.344,KAN,@,MIA,L 28-45,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0
11,1994,1994-12-18,15,22.350,KAN,,HOU,W 31-9,6,5,101,20.20,1,83.3%,16.83,0,0,,0,1,6
12,1994,1994-12-24,16,22.356,KAN,@,RAI,W 19-9,,0,0,,0,0.0%,,1,13,13.00,0,0,0
13,1995,1995-09-03,1,23.244,KAN,@,SEA,W 34-10,4,3,29,9.67,1,75.0%,7.25,1,-9,-9.00,0,1,6
14,1995,1995-09-10,2,23.251,KAN,,NYG,W 20-17,4,1,11,11.00,0,25.0%,2.75,0,0,,0,0,0
15,1995,1995-09-17,3,23.258,KAN,,OAK,W 23-17,5,2,9,4.50,1,40.0%,1.80,0,0,,0,1,6
16,1995,1995-09-24,4,23.265,KAN,@,CLE,L 17-35,7,4,52,13.00,0,57.1%,7.43,0,0,,0,0,0
17,1995,1995-10-01,5,23.272,KAN,@,ARI,W 24-3,4,2,29,14.50,1,50.0%,7.25,0,0,,0,1,6
18,1995,1995-10-09,6,23.280,KAN,,SDG,W 29-23,6,4,86,21.50,0,66.7%,14.33,0,0,,0,0,0
19,1995,1995-10-15,7,23.286,KAN,,NWE,W 31-26,7,2,34,17.00,0,28.6%,4.86,0,0,,0,0,0
