ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1981,1981-09-07,1,22.253,SDG,@,CLE,W 44-14,8,28,3.50,1,,2,9,4.50,1,,,0,0,,0,0,0,,,,,,1,29,29.00,0,2,22,11.00,0,2,12
2,1981,1981-09-13,2,22.259,SDG,,DET,W 28-23,0,0,,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,3,88,29.33,0,0,0,,0,0,0
3,1981,1981-09-20,3,22.266,SDG,@,KAN,W 42-31,2,7,3.50,0,,2,30,15.00,1,,,0,0,,0,0,0,,,,,,5,119,23.80,0,1,23,23.00,0,1,6
4,1981,1981-09-27,4,22.273,SDG,@,DEN,L 24-42,7,41,5.86,0,,2,6,3.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
5,1981,1981-10-18,7,22.294,SDG,@,BAL,W 43-14,14,72,5.14,0,,4,23,5.75,0,,,0,0,,0,0,0,,,,,,1,17,17.00,0,3,32,10.67,0,0,0
6,1981,1981-10-25,8,22.301,SDG,@,CHI,L 17-20,7,39,5.57,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,3,93,31.00,0,3,51,17.00,0,0,0
7,1981,1981-11-01,9,22.308,SDG,,KAN,W 22-20,5,23,4.60,0,,6,62,10.33,0,,,0,0,,0,0,0,,,,,,3,48,16.00,0,0,0,,0,0,0
8,1981,1981-11-08,10,22.315,SDG,,CIN,L 17-40,4,45,11.25,0,,1,3,3.00,0,,,0,0,,0,0,0,,,,,,6,111,18.50,0,2,12,6.00,0,0,0
9,1981,1981-11-16,11,22.323,SDG,@,SEA,L 23-44,6,28,4.67,0,,9,90,10.00,0,,,0,0,,0,0,0,,,,,,5,123,24.60,0,2,9,4.50,0,0,0
10,1981,1981-11-22,12,22.329,SDG,@,OAK,W 55-21,17,97,5.71,0,,5,38,7.60,1,,,0,0,,0,0,0,,,,,,2,68,34.00,0,2,79,39.50,0,1,6
11,1981,1981-11-29,13,22.336,SDG,,DEN,W 34-17,11,44,4.00,0,,3,15,5.00,0,,,0,0,,0,0,0,,,,,,3,51,17.00,0,2,17,8.50,0,0,0
